Node  ,stress,X,Y,Z
92108  ,2.539e-01   ,300  ,1000  ,-76.5
92109  ,2.553e-01   ,300  ,2000  ,-76.5
92112  ,2.574e-01   ,300  ,2000  ,-73.5
92114  ,2.556e-01   ,300  ,1000  ,-73.5
92116  ,1.330e-01   ,300  ,1002  ,-76.5
92117  ,1.150e-01   ,300  ,1004  ,-76.5
92118  ,1.085e-01   ,300  ,1006  ,-76.5
92119  ,8.879e-02   ,300  ,1008  ,-76.5
92120  ,1.026e-01   ,300  ,1010  ,-76.5
92121  ,8.665e-02   ,300  ,1012  ,-76.5
92122  ,9.147e-02   ,300  ,1014  ,-76.5
92123  ,9.316e-02   ,300  ,1016  ,-76.5
92124  ,8.399e-02   ,300  ,1018  ,-76.5
92125  ,8.215e-02   ,300  ,1020  ,-76.5
92126  ,7.882e-02   ,300  ,1022  ,-76.5
92127  ,8.108e-02   ,300  ,1024  ,-76.5
92128  ,8.094e-02   ,300  ,1025.9  ,-76.5
92129  ,9.590e-02   ,300  ,1027.9  ,-76.5
92130  ,7.749e-02   ,300  ,1029.9  ,-76.5
92131  ,7.803e-02   ,300  ,1031.9  ,-76.5
92132  ,9.651e-02   ,300  ,1033.9  ,-76.5
92133  ,7.074e-02   ,300  ,1035.9  ,-76.5
92134  ,9.559e-02   ,300  ,1037.9  ,-76.5
92135  ,7.299e-02   ,300  ,1039.9  ,-76.5
92136  ,9.145e-02   ,300  ,1041.9  ,-76.5
92137  ,6.621e-02   ,300  ,1043.9  ,-76.5
92138  ,6.966e-02   ,300  ,1045.9  ,-76.5
92139  ,8.784e-02   ,300  ,1047.9  ,-76.5
92140  ,6.694e-02   ,300  ,1049.9  ,-76.5
92141  ,8.052e-02   ,300  ,1051.9  ,-76.5
92142  ,7.330e-02   ,300  ,1053.9  ,-76.5
92143  ,7.232e-02   ,300  ,1055.9  ,-76.5
92144  ,6.202e-02   ,300  ,1057.9  ,-76.5
92145  ,6.048e-02   ,300  ,1059.9  ,-76.5
92146  ,6.280e-02   ,300  ,1061.9  ,-76.5
92147  ,7.067e-02   ,300  ,1063.9  ,-76.5
92148  ,7.303e-02   ,300  ,1065.9  ,-76.5
92149  ,5.886e-02   ,300  ,1067.9  ,-76.5
92150  ,6.975e-02   ,300  ,1069.9  ,-76.5
92151  ,6.636e-02   ,300  ,1071.9  ,-76.5
92152  ,5.698e-02   ,300  ,1073.9  ,-76.5
92153  ,6.633e-02   ,300  ,1075.8  ,-76.5
92154  ,7.087e-02   ,300  ,1077.8  ,-76.5
92155  ,5.309e-02   ,300  ,1079.8  ,-76.5
92156  ,5.239e-02   ,300  ,1081.8  ,-76.5
92157  ,6.365e-02   ,300  ,1083.8  ,-76.5
92158  ,5.051e-02   ,300  ,1085.8  ,-76.5
92159  ,6.101e-02   ,300  ,1087.8  ,-76.5
92160  ,5.753e-02   ,300  ,1089.8  ,-76.5
92161  ,5.337e-02   ,300  ,1091.8  ,-76.5
92162  ,5.705e-02   ,300  ,1093.8  ,-76.5
92163  ,4.558e-02   ,300  ,1095.8  ,-76.5
92164  ,5.321e-02   ,300  ,1097.8  ,-76.5
92165  ,5.394e-02   ,300  ,1099.8  ,-76.5
92166  ,5.124e-02   ,300  ,1101.8  ,-76.5
92167  ,4.842e-02   ,300  ,1103.8  ,-76.5
92168  ,4.280e-02   ,300  ,1105.8  ,-76.5
92169  ,4.033e-02   ,300  ,1107.8  ,-76.5
92170  ,4.226e-02   ,300  ,1109.8  ,-76.5
92171  ,4.815e-02   ,300  ,1111.8  ,-76.5
92172  ,4.488e-02   ,300  ,1113.8  ,-76.5
92173  ,4.560e-02   ,300  ,1115.8  ,-76.5
92174  ,4.887e-02   ,300  ,1117.8  ,-76.5
92175  ,4.418e-02   ,300  ,1119.8  ,-76.5
92176  ,4.285e-02   ,300  ,1121.8  ,-76.5
92177  ,4.327e-02   ,300  ,1123.8  ,-76.5
92178  ,3.353e-02   ,300  ,1125.7  ,-76.5
92179  ,3.562e-02   ,300  ,1127.7  ,-76.5
92180  ,4.053e-02   ,300  ,1129.7  ,-76.5
92181  ,4.178e-02   ,300  ,1131.7  ,-76.5
92182  ,3.100e-02   ,300  ,1133.7  ,-76.5
92183  ,3.403e-02   ,300  ,1135.7  ,-76.5
92184  ,3.210e-02   ,300  ,1137.7  ,-76.5
92185  ,3.124e-02   ,300  ,1139.7  ,-76.5
92186  ,3.556e-02   ,300  ,1141.7  ,-76.5
92187  ,3.555e-02   ,300  ,1143.7  ,-76.5
92188  ,3.432e-02   ,300  ,1145.7  ,-76.5
92189  ,3.380e-02   ,300  ,1147.7  ,-76.5
92190  ,3.413e-02   ,300  ,1149.7  ,-76.5
92191  ,3.486e-02   ,300  ,1151.7  ,-76.5
92192  ,3.357e-02   ,300  ,1153.7  ,-76.5
92193  ,3.122e-02   ,300  ,1155.7  ,-76.5
92194  ,3.108e-02   ,300  ,1157.7  ,-76.5
92195  ,2.732e-02   ,300  ,1159.7  ,-76.5
92196  ,2.519e-02   ,300  ,1161.7  ,-76.5
92197  ,3.160e-02   ,300  ,1163.7  ,-76.5
92198  ,3.011e-02   ,300  ,1165.7  ,-76.5
92199  ,2.522e-02   ,300  ,1167.7  ,-76.5
92200  ,3.009e-02   ,300  ,1169.7  ,-76.5
92201  ,2.435e-02   ,300  ,1171.7  ,-76.5
92202  ,2.279e-02   ,300  ,1173.7  ,-76.5
92203  ,2.234e-02   ,300  ,1175.6  ,-76.5
92204  ,2.364e-02   ,300  ,1177.6  ,-76.5
92205  ,2.760e-02   ,300  ,1179.6  ,-76.5
92206  ,2.565e-02   ,300  ,1181.6  ,-76.5
92207  ,2.166e-02   ,300  ,1183.6  ,-76.5
92208  ,2.732e-02   ,300  ,1185.6  ,-76.5
92209  ,2.095e-02   ,300  ,1187.6  ,-76.5
92210  ,2.521e-02   ,300  ,1189.6  ,-76.5
92211  ,2.002e-02   ,300  ,1191.6  ,-76.5
92212  ,2.477e-02   ,300  ,1193.6  ,-76.5
92213  ,2.044e-02   ,300  ,1195.6  ,-76.5
92214  ,2.138e-02   ,300  ,1197.6  ,-76.5
92215  ,1.908e-02   ,300  ,1199.6  ,-76.5
92216  ,1.798e-02   ,300  ,1201.6  ,-76.5
92217  ,2.074e-02   ,300  ,1203.6  ,-76.5
92218  ,2.056e-02   ,300  ,1205.6  ,-76.5
92219  ,2.189e-02   ,300  ,1207.6  ,-76.5
92220  ,2.116e-02   ,300  ,1209.6  ,-76.5
92221  ,2.003e-02   ,300  ,1211.6  ,-76.5
92222  ,1.905e-02   ,300  ,1213.6  ,-76.5
92223  ,1.565e-02   ,300  ,1215.6  ,-76.5
92224  ,1.615e-02   ,300  ,1217.6  ,-76.5
92225  ,1.507e-02   ,300  ,1219.6  ,-76.5
92226  ,1.575e-02   ,300  ,1221.6  ,-76.5
92227  ,1.518e-02   ,300  ,1223.6  ,-76.5
92228  ,1.444e-02   ,300  ,1225.5  ,-76.5
92229  ,1.383e-02   ,300  ,1227.5  ,-76.5
92230  ,1.449e-02   ,300  ,1229.5  ,-76.5
92231  ,1.721e-02   ,300  ,1231.5  ,-76.5
92232  ,1.620e-02   ,300  ,1233.5  ,-76.5
92233  ,1.415e-02   ,300  ,1235.5  ,-76.5
92234  ,1.535e-02   ,300  ,1237.5  ,-76.5
92235  ,1.669e-02   ,300  ,1239.5  ,-76.5
92236  ,1.584e-02   ,300  ,1241.5  ,-76.5
92237  ,1.581e-02   ,300  ,1243.5  ,-76.5
92238  ,1.511e-02   ,300  ,1245.5  ,-76.5
92239  ,1.262e-02   ,300  ,1247.5  ,-76.5
92240  ,1.574e-02   ,300  ,1249.5  ,-76.5
92241  ,1.248e-02   ,300  ,1251.5  ,-76.5
92242  ,1.243e-02   ,300  ,1253.5  ,-76.5
92243  ,1.356e-02   ,300  ,1255.5  ,-76.5
92244  ,1.162e-02   ,300  ,1257.5  ,-76.5
92245  ,1.406e-02   ,300  ,1259.5  ,-76.5
92246  ,1.097e-02   ,300  ,1261.5  ,-76.5
92247  ,1.284e-02   ,300  ,1263.5  ,-76.5
92248  ,1.331e-02   ,300  ,1265.5  ,-76.5
92249  ,1.071e-02   ,300  ,1267.5  ,-76.5
92250  ,1.278e-02   ,300  ,1269.5  ,-76.5
92251  ,1.219e-02   ,300  ,1271.5  ,-76.5
92252  ,9.967e-03   ,300  ,1273.5  ,-76.5
92253  ,1.003e-02   ,300  ,1275.4  ,-76.5
92254  ,1.010e-02   ,300  ,1277.4  ,-76.5
92255  ,1.161e-02   ,300  ,1279.4  ,-76.5
92256  ,9.919e-03   ,300  ,1281.4  ,-76.5
92257  ,9.404e-03   ,300  ,1283.4  ,-76.5
92258  ,9.599e-03   ,300  ,1285.4  ,-76.5
92259  ,1.169e-02   ,300  ,1287.4  ,-76.5
92260  ,1.112e-02   ,300  ,1289.4  ,-76.5
92261  ,9.016e-03   ,300  ,1291.4  ,-76.5
92262  ,8.557e-03   ,300  ,1293.4  ,-76.5
92263  ,8.760e-03   ,300  ,1295.4  ,-76.5
92264  ,8.637e-03   ,300  ,1297.4  ,-76.5
92265  ,8.741e-03   ,300  ,1299.4  ,-76.5
92266  ,8.441e-03   ,300  ,1301.4  ,-76.5
92267  ,8.980e-03   ,300  ,1303.4  ,-76.5
92268  ,8.581e-03   ,300  ,1305.4  ,-76.5
92269  ,8.582e-03   ,300  ,1307.4  ,-76.5
92270  ,1.041e-02   ,300  ,1309.4  ,-76.5
92271  ,1.050e-02   ,300  ,1311.4  ,-76.5
92272  ,8.668e-03   ,300  ,1313.4  ,-76.5
92273  ,8.760e-03   ,300  ,1315.4  ,-76.5
92274  ,9.857e-03   ,300  ,1317.4  ,-76.5
92275  ,1.060e-02   ,300  ,1319.4  ,-76.5
92276  ,8.454e-03   ,300  ,1321.4  ,-76.5
92277  ,8.028e-03   ,300  ,1323.4  ,-76.5
92278  ,8.150e-03   ,300  ,1325.3  ,-76.5
92279  ,1.022e-02   ,300  ,1327.3  ,-76.5
92280  ,8.308e-03   ,300  ,1329.3  ,-76.5
92281  ,8.342e-03   ,300  ,1331.3  ,-76.5
92282  ,1.030e-02   ,300  ,1333.3  ,-76.5
92283  ,9.669e-03   ,300  ,1335.3  ,-76.5
92284  ,8.017e-03   ,300  ,1337.3  ,-76.5
92285  ,8.677e-03   ,300  ,1339.3  ,-76.5
92286  ,1.019e-02   ,300  ,1341.3  ,-76.5
92287  ,9.380e-03   ,300  ,1343.3  ,-76.5
92288  ,7.964e-03   ,300  ,1345.3  ,-76.5
92289  ,8.442e-03   ,300  ,1347.3  ,-76.5
92290  ,9.793e-03   ,300  ,1349.3  ,-76.5
92291  ,9.905e-03   ,300  ,1351.3  ,-76.5
92292  ,9.508e-03   ,300  ,1353.3  ,-76.5
92293  ,8.326e-03   ,300  ,1355.3  ,-76.5
92294  ,9.293e-03   ,300  ,1357.3  ,-76.5
92295  ,9.440e-03   ,300  ,1359.3  ,-76.5
