Node  ,stress,X,Y,Z
122531  ,1.373e-01   ,3.7064E-06  ,750  ,-73.5
122532  ,1.290e-01   ,3.7064E-06  ,2250  ,-73.5
122535  ,1.391e-01   ,1.207E-05  ,2250  ,-76.5
122537  ,1.148e-01   ,1.207E-05  ,750  ,-76.5
122539  ,6.620e-02   ,3.7064E-06  ,752.44  ,-73.5
122540  ,5.750e-02   ,3.7064E-06  ,754.89  ,-73.5
122541  ,5.207e-02   ,3.7064E-06  ,757.33  ,-73.5
122542  ,4.959e-02   ,3.7064E-06  ,759.77  ,-73.5
122543  ,4.864e-02   ,3.7064E-06  ,762.21  ,-73.5
122544  ,4.818e-02   ,3.7064E-06  ,764.66  ,-73.5
122545  ,4.886e-02   ,3.7064E-06  ,767.1  ,-73.5
122546  ,4.923e-02   ,3.7064E-06  ,769.54  ,-73.5
122547  ,4.895e-02   ,3.7064E-06  ,771.99  ,-73.5
122548  ,4.908e-02   ,3.7064E-06  ,774.43  ,-73.5
122549  ,4.892e-02   ,3.7064E-06  ,776.87  ,-73.5
122550  ,4.928e-02   ,3.7064E-06  ,779.32  ,-73.5
122551  ,4.849e-02   ,3.7064E-06  ,781.76  ,-73.5
122552  ,4.871e-02   ,3.7064E-06  ,784.2  ,-73.5
122553  ,4.837e-02   ,3.7064E-06  ,786.64  ,-73.5
122554  ,4.777e-02   ,3.7064E-06  ,789.09  ,-73.5
122555  ,4.719e-02   ,3.7064E-06  ,791.53  ,-73.5
122556  ,4.684e-02   ,3.7064E-06  ,793.97  ,-73.5
122557  ,4.670e-02   ,3.7064E-06  ,796.42  ,-73.5
122558  ,4.655e-02   ,3.7064E-06  ,798.86  ,-73.5
122559  ,4.580e-02   ,3.7064E-06  ,801.3  ,-73.5
122560  ,4.579e-02   ,3.7064E-06  ,803.75  ,-73.5
122561  ,4.540e-02   ,3.7064E-06  ,806.19  ,-73.5
122562  ,4.468e-02   ,3.7064E-06  ,808.63  ,-73.5
122563  ,4.412e-02   ,3.7064E-06  ,811.07  ,-73.5
122564  ,4.413e-02   ,3.7064E-06  ,813.52  ,-73.5
122565  ,4.368e-02   ,3.7064E-06  ,815.96  ,-73.5
122566  ,4.304e-02   ,3.7064E-06  ,818.4  ,-73.5
122567  ,5.620e-02   ,3.7064E-06  ,820.85  ,-73.5
122568  ,4.232e-02   ,3.7064E-06  ,823.29  ,-73.5
122569  ,4.305e-02   ,3.7064E-06  ,825.73  ,-73.5
122570  ,4.235e-02   ,3.7064E-06  ,828.18  ,-73.5
122571  ,4.182e-02   ,3.7064E-06  ,830.62  ,-73.5
122572  ,4.157e-02   ,3.7064E-06  ,833.06  ,-73.5
122573  ,4.111e-02   ,3.7064E-06  ,835.5  ,-73.5
122574  ,4.091e-02   ,3.7064E-06  ,837.95  ,-73.5
122575  ,4.006e-02   ,3.7064E-06  ,840.39  ,-73.5
122576  ,3.988e-02   ,3.7064E-06  ,842.83  ,-73.5
122577  ,3.996e-02   ,3.7064E-06  ,845.28  ,-73.5
122578  ,3.919e-02   ,3.7064E-06  ,847.72  ,-73.5
122579  ,3.781e-02   ,3.7064E-06  ,850.16  ,-73.5
122580  ,5.030e-02   ,3.7064E-06  ,852.61  ,-73.5
122581  ,3.816e-02   ,3.7064E-06  ,855.05  ,-73.5
122582  ,3.832e-02   ,3.7064E-06  ,857.49  ,-73.5
122583  ,3.759e-02   ,3.7064E-06  ,859.93  ,-73.5
122584  ,3.688e-02   ,3.7064E-06  ,862.38  ,-73.5
122585  ,3.658e-02   ,3.7064E-06  ,864.82  ,-73.5
122586  ,3.687e-02   ,3.7064E-06  ,867.26  ,-73.5
122587  ,3.622e-02   ,3.7064E-06  ,869.71  ,-73.5
122588  ,3.598e-02   ,3.7064E-06  ,872.15  ,-73.5
122589  ,3.423e-02   ,3.7064E-06  ,874.59  ,-73.5
122590  ,3.587e-02   ,3.7064E-06  ,877.04  ,-73.5
122591  ,3.490e-02   ,3.7064E-06  ,879.48  ,-73.5
122592  ,3.405e-02   ,3.7064E-06  ,881.92  ,-73.5
122593  ,3.409e-02   ,3.7064E-06  ,884.36  ,-73.5
122594  ,3.432e-02   ,3.7064E-06  ,886.81  ,-73.5
122595  ,3.366e-02   ,3.7064E-06  ,889.25  ,-73.5
122596  ,3.318e-02   ,3.7064E-06  ,891.69  ,-73.5
122597  ,3.339e-02   ,3.7064E-06  ,894.14  ,-73.5
122598  ,3.295e-02   ,3.7064E-06  ,896.58  ,-73.5
122599  ,3.246e-02   ,3.7064E-06  ,899.02  ,-73.5
122600  ,3.215e-02   ,3.7064E-06  ,901.47  ,-73.5
122601  ,3.158e-02   ,3.7064E-06  ,903.91  ,-73.5
122602  ,3.137e-02   ,3.7064E-06  ,906.35  ,-73.5
122603  ,3.095e-02   ,3.7064E-06  ,908.79  ,-73.5
122604  ,3.068e-02   ,3.7064E-06  ,911.24  ,-73.5
122605  ,3.059e-02   ,3.7064E-06  ,913.68  ,-73.5
122606  ,3.045e-02   ,3.7064E-06  ,916.12  ,-73.5
122607  ,3.074e-02   ,3.7064E-06  ,918.57  ,-73.5
122608  ,3.056e-02   ,3.7064E-06  ,921.01  ,-73.5
122609  ,3.789e-02   ,3.7064E-06  ,923.45  ,-73.5
122610  ,2.823e-02   ,3.7064E-06  ,925.9  ,-73.5
122611  ,2.875e-02   ,3.7064E-06  ,928.34  ,-73.5
122612  ,2.874e-02   ,3.7064E-06  ,930.78  ,-73.5
122613  ,2.833e-02   ,3.7064E-06  ,933.22  ,-73.5
122614  ,2.821e-02   ,3.7064E-06  ,935.67  ,-73.5
122615  ,2.808e-02   ,3.7064E-06  ,938.11  ,-73.5
122616  ,2.765e-02   ,3.7064E-06  ,940.55  ,-73.5
122617  ,2.760e-02   ,3.7064E-06  ,943  ,-73.5
122618  ,2.722e-02   ,3.7064E-06  ,945.44  ,-73.5
