Node  ,stress,X,Y,Z
58061  ,5.473e-01   ,300  ,3000  ,-73.5
58062  ,6.091e-01   ,300  ,-3.5328E-13  ,-73.5
58065  ,6.237e-01   ,300  ,-3.5328E-13  ,-76.484
58067  ,6.284e-01   ,300  ,3000  ,-76.484
58069  ,4.299e-01   ,300  ,2995.6  ,-73.5
58070  ,2.736e-01   ,300  ,2991.2  ,-73.5
58071  ,2.412e-01   ,300  ,2986.9  ,-73.5
58072  ,2.801e-01   ,300  ,2982.5  ,-73.5
58073  ,2.810e-01   ,300  ,2978.1  ,-73.5
58074  ,3.188e-01   ,300  ,2973.7  ,-73.5
58075  ,2.222e-01   ,300  ,2969.3  ,-73.5
58076  ,2.211e-01   ,300  ,2965  ,-73.5
58077  ,2.476e-01   ,300  ,2960.6  ,-73.5
58078  ,1.875e-01   ,300  ,2956.2  ,-73.5
58079  ,1.954e-01   ,300  ,2951.8  ,-73.5
58080  ,1.894e-01   ,300  ,2947.4  ,-73.5
58081  ,1.670e-01   ,300  ,2943.1  ,-73.5
58082  ,1.901e-01   ,300  ,2938.7  ,-73.5
58083  ,1.479e-01   ,300  ,2934.3  ,-73.5
58084  ,1.463e-01   ,300  ,2929.9  ,-73.5
58085  ,1.465e-01   ,300  ,2925.5  ,-73.5
58086  ,1.386e-01   ,300  ,2921.2  ,-73.5
58087  ,1.332e-01   ,300  ,2916.8  ,-73.5
58088  ,1.366e-01   ,300  ,2912.4  ,-73.5
58089  ,1.381e-01   ,300  ,2908  ,-73.5
58090  ,9.815e-02   ,300  ,2903.6  ,-73.5
58091  ,1.035e-01   ,300  ,2899.3  ,-73.5
58092  ,1.030e-01   ,300  ,2894.9  ,-73.5
58093  ,1.034e-01   ,300  ,2890.5  ,-73.5
58094  ,1.081e-01   ,300  ,2886.1  ,-73.5
58095  ,8.725e-02   ,300  ,2881.8  ,-73.5
58096  ,7.343e-02   ,300  ,2877.4  ,-73.5
58097  ,7.826e-02   ,300  ,2873  ,-73.5
58098  ,7.852e-02   ,300  ,2868.6  ,-73.5
58099  ,6.889e-02   ,300  ,2864.2  ,-73.5
58100  ,5.665e-02   ,300  ,2859.9  ,-73.5
58101  ,6.661e-02   ,300  ,2855.5  ,-73.5
58102  ,5.135e-02   ,300  ,2851.1  ,-73.5
58103  ,5.143e-02   ,300  ,2846.7  ,-73.5
58104  ,4.712e-02   ,300  ,2842.3  ,-73.5
58105  ,4.228e-02   ,300  ,2838  ,-73.5
58106  ,4.035e-02   ,300  ,2833.6  ,-73.5
58107  ,3.648e-02   ,300  ,2829.2  ,-73.5
58108  ,3.233e-02   ,300  ,2824.8  ,-73.5
58109  ,2.727e-02   ,300  ,2820.4  ,-73.5
58110  ,2.668e-02   ,300  ,2816.1  ,-73.5
58111  ,2.423e-02   ,300  ,2811.7  ,-73.5
58112  ,2.084e-02   ,300  ,2807.3  ,-73.5
58113  ,1.920e-02   ,300  ,2802.9  ,-73.5
58114  ,1.220e-02   ,300  ,2798.5  ,-73.5
58115  ,9.407e-03   ,300  ,2794.2  ,-73.5
58116  ,1.117e-02   ,300  ,2789.8  ,-73.5
58117  ,1.032e-02   ,300  ,2785.4  ,-73.5
58118  ,7.880e-03   ,300  ,2781  ,-73.5
58119  ,6.901e-03   ,300  ,2776.6  ,-73.5
58120  ,7.571e-03   ,300  ,2772.3  ,-73.5
58121  ,6.625e-03   ,300  ,2767.9  ,-73.5
58122  ,8.182e-03   ,300  ,2763.5  ,-73.5
58123  ,9.235e-03   ,300  ,2759.1  ,-73.5
58124  ,1.164e-02   ,300  ,2754.7  ,-73.5
58125  ,1.045e-02   ,300  ,2750.4  ,-73.5
