Node;stress;X;Y;Z
101605;2,30E-02;299,9999085;2 944,76416016;-75
116588;1,92E-01;299,9999085;2 943,03808594;-76,5
121327;1,72E-01;299,9999085;2 943,03808594;-73,5
121328;3,07E-02;299,9999085;2 943,03808594;-75
92967;1,95E-01;299,9999085;2 941,31176758;-76,5
94738;1,48E-01;299,9999085;2 941,31176758;-73,5
102434;2,93E-02;299,9999085;2 941,31176758;-75
105676;1,73E-01;299,9999085;2 939,58569336;-76,5
105677;1,43E-02;299,9999085;2 939,58569336;-75
124331;1,36E-01;299,9999085;2 939,58569336;-73,5
92966;1,83E-01;299,9999085;2 937,85961914;-76,5
94739;1,47E-01;299,9999085;2 937,85961914;-73,5
106086;4,31E-02;299,9999085;2 937,85961914;-75
116101;1,88E-01;299,9999085;2 936,13330078;-76,5
116102;3,15E-02;299,9999085;2 936,13330078;-75
124330;1,74E-01;299,9999085;2 936,13330078;-73,5
92965;1,96E-01;299,9999085;2 934,40747070;-76,5
94740;1,63E-01;299,9999085;2 934,40747070;-73,5
106528;3,75E-02;299,9999085;2 934,40747070;-75
116401;1,95E-01;299,9999085;2 932,68139648;-76,5
116402;4,06E-02;299,9999085;2 932,68139648;-75
117372;1,81E-01;299,9999085;2 932,68139648;-73,5
92964;2,01E-01;299,9999085;2 930,95507813;-76,5
94741;1,79E-01;299,9999085;2 930,95507813;-73,5
117373;5,35E-02;299,9999085;2 930,95507813;-75
115874;4,58E-02;299,9999085;2 929,22900391;-75
118662;2,03E-01;299,9999085;2 929,22900391;-76,5
118663;1,66E-01;299,9999085;2 929,22900391;-73,5
92963;1,67E-01;299,9999085;2 927,50292969;-76,5
94742;1,81E-01;299,9999085;2 927,50292969;-73,5
104764;3,68E-02;299,9999085;2 927,50292969;-75
120630;3,70E-02;299,9999085;2 925,77661133;-75
120632;1,59E-01;299,9999085;2 925,77661133;-73,5
122931;1,71E-01;299,9999085;2 925,77661133;-76,5
92962;1,64E-01;299,9999085;2 924,05053711;-76,5
94743;1,54E-01;299,9999085;2 924,05053711;-73,5
122932;2,81E-02;299,9999085;2 924,05053711;-75
111695;2,58E-02;299,9999085;2 922,32470703;-75
111696;1,60E-01;299,9999085;2 922,32470703;-73,5
122936;1,49E-01;299,9999085;2 922,32470703;-76,5
92961;1,47E-01;299,9999085;2 920,59838867;-76,5
94744;1,40E-01;299,9999085;2 920,59838867;-73,5
110152;2,26E-02;299,9999085;2 920,59838867;-75
111648;1,56E-01;299,9999085;2 918,87231445;-76,5
111649;3,01E-02;299,9999085;2 918,87231445;-75
123473;1,42E-01;299,9999085;2 918,87231445;-73,5
92960;1,58E-01;299,9999085;2 917,14624023;-76,5
94745;1,26E-01;299,9999085;2 917,14624023;-73,5
111650;2,27E-02;299,9999085;2 917,14624023;-75
116066;1,45E-01;299,9999085;2 915,42016602;-76,5
116067;1,57E-02;299,9999085;2 915,42016602;-75
122025;1,18E-01;299,9999085;2 915,42016602;-73,5
92959;1,49E-01;299,9999085;2 913,69384766;-76,5
94746;1,12E-01;299,9999085;2 913,69384766;-73,5
112550;3,09E-02;299,9999085;2 913,69384766;-75
112549;1,48E-01;299,9999085;2 911,96777344;-76,5
112551;1,90E-02;299,9999085;2 911,96777344;-75
115892;1,30E-01;299,9999085;2 911,96777344;-73,5
92958;1,50E-01;299,9999085;2 910,24169922;-76,5
94747;1,26E-01;299,9999085;2 910,24169922;-73,5
101874;2,43E-02;299,9999085;2 910,24169922;-75
115893;1,45E-01;299,9999085;2 908,51538086;-76,5
122512;1,80E-02;299,9999085;2 908,51538086;-75
124076;1,31E-01;299,9999085;2 908,51538086;-73,5
92957;1,25E-01;299,9999085;2 906,78930664;-76,5
94748;1,19E-01;299,9999085;2 906,78930664;-73,5
107472;2,63E-02;299,9999085;2 906,78930664;-75
123234;1,26E-01;299,9999085;2 905,06323242;-76,5
123235;3,21E-02;299,9999085;2 905,06323242;-75
124722;1,19E-01;299,9999085;2 905,06323242;-73,5
92956;1,28E-01;299,9999085;2 903,33715820;-76,5
94749;1,19E-01;299,9999085;2 903,33715820;-73,5
116590;3,36E-02;299,9999085;2 903,33715820;-75
117041;1,10E-01;299,9999085;2 901,61108398;-73,5
118197;3,61E-02;299,9999085;2 901,61108398;-75
124591;1,35E-01;299,9999085;2 901,61108398;-76,5
92955;1,31E-01;299,9999085;2 899,88500977;-76,5
94750;1,19E-01;299,9999085;2 899,88500977;-73,5
100322;2,42E-02;299,9999085;2 899,88500977;-75
123263;1,18E-01;299,9999085;2 898,15869141;-76,5
123738;1,30E-02;299,9999085;2 898,15869141;-75
124077;1,21E-01;299,9999085;2 898,15869141;-73,5
92954;1,23E-01;299,9999085;2 896,43261719;-76,5
94751;1,03E-01;299,9999085;2 896,43261719;-73,5
123363;1,83E-02;299,9999085;2 896,43261719;-75
122432;1,18E-01;299,9999085;2 894,70654297;-76,5
123362;2,79E-02;299,9999085;2 894,70654297;-75
123365;1,06E-01;299,9999085;2 894,70654297;-73,5
92953;1,12E-01;299,9999085;2 892,98022461;-76,5
94752;9,74E-02;299,9999085;2 892,98022461;-73,5
105687;1,66E-02;299,9999085;2 892,98022461;-75
121864;1,11E-01;299,9999085;2 891,25439453;-76,5
121865;2,31E-02;299,9999085;2 891,25439453;-75
124060;9,63E-02;299,9999085;2 891,25439453;-73,5
92952;1,09E-01;299,9999085;2 889,52832031;-76,5
94753;8,39E-02;299,9999085;2 889,52832031;-73,5
120495;1,50E-02;299,9999085;2 889,52832031;-75
119393;1,00E-01;299,9999085;2 887,80224609;-76,5
