Node  ;stress;X;Y;Z
73556;2,45E-01;3514,044189;35,94972229;0
73561;2,36E-01;3514,044189;38,95225143;0
74231;2,37E-01;3514,044189;37,45098495;0
74228;4,99E-02;3514,044189;38,95225143;37,5
74236;5,21E-02;3514,044189;37,45098495;37,5
74237;5,89E-02;3514,044189;35,94972229;37,5
73640;1,42E-02;3514,044189;35,94972229;75
73718;1,41E-02;3514,044189;38,95225143;75
74342;4,59E-03;3514,044189;37,45098495;75
74344;1,06E-02;3514,044189;35,94972229;112,5000076
74345;3,46E-03;3514,044189;37,45098495;112,5000076
74351;1,07E-02;3514,044189;38,95225143;112,5000076
73639;4,22E-03;3514,044189;35,94972229;150
73717;4,44E-03;3514,044189;38,95225143;150
73908;3,10E-03;3514,044189;37,45098495;150
73932;2,37E-03;3514,044189;37,45098495;187,5
73933;2,16E-03;3514,044189;38,95225143;187,5
74535;3,83E-03;3514,044189;35,94972229;187,5
73638;1,80E-03;3514,044189;35,94972229;225
73716;4,34E-03;3514,044189;38,95225143;225
73934;1,36E-03;3514,044189;37,45098495;225
74013;3,85E-03;3514,044189;35,94972229;262,5
74469;5,66E-03;3514,044189;38,95225143;262,5
74471;1,47E-03;3514,044189;37,45098495;262,5
73637;4,72E-03;3514,044189;35,94972229;300
73715;6,93E-03;3514,044189;38,95225143;300
74007;1,10E-03;3514,044189;37,45098495;300
74006;5,49E-03;3514,044189;35,94972229;337,5
74008;1,14E-03;3514,044189;37,45098495;337,5
74018;7,86E-03;3514,044189;38,95225143;337,5
73636;3,60E-03;3514,044189;35,94972229;375
73714;9,88E-03;3514,044189;38,95225143;375
74019;1,07E-03;3514,044189;37,45098495;375
74309;2,84E-03;3514,044189;35,94972229;412,5
74414;6,12E-03;3514,044189;38,95225143;412,5
74415;1,73E-03;3514,044189;37,45098495;412,5
73635;6,46E-03;3514,044189;35,94972229;450
73713;6,38E-03;3514,044189;38,95225143;450
74054;3,24E-03;3514,044189;37,45098495;450
74049;3,67E-03;3514,044189;35,94972229;487,4999695
74055;2,15E-03;3514,044189;37,45098495;487,4999695
74306;8,13E-03;3514,044189;38,95225143;487,4999695
73634;3,80E-03;3514,044189;35,94972229;525
73712;9,43E-03;3514,044189;38,95225143;525
73954;1,79E-03;3514,044189;37,45098495;525
73946;1,49E-03;3514,044189;37,45098495;562,5
73947;9,20E-03;3514,044189;38,95225143;562,5
73953;7,26E-03;3514,044189;35,94972229;562,5
73633;7,83E-03;3514,044189;35,94972229;600
73711;9,72E-03;3514,044189;38,95225143;600
73948;2,09E-03;3514,044189;37,45098495;600
74365;4,04E-03;3514,044189;37,45098495;637,500061
74437;4,21E-03;3514,044189;35,94972229;637,500061
74440;5,22E-03;3514,044189;38,95225143;637,500061
73632;7,46E-03;3514,044189;35,94972229;675
73710;7,34E-03;3514,044189;38,95225143;675
74438;3,44E-03;3514,044189;37,45098495;675
74511;7,31E-03;3514,044189;35,94972229;712,5
74529;2,83E-03;3514,044189;37,45098495;712,5
74530;5,20E-03;3514,044189;38,95225143;712,5
73631;7,02E-03;3514,044189;35,94972229;750
73709;3,40E-03;3514,044189;38,95225143;750
74088;1,87E-03;3514,044189;37,45098495;750
74090;2,98E-03;3514,044189;35,94972229;787,5
74091;1,59E-03;3514,044189;37,45098495;787,5
74367;6,49E-03;3514,044189;38,95225143;787,5
73630;4,61E-03;3514,044189;35,94972229;825
73708;1,07E-02;3514,044189;38,95225143;825
73863;2,31E-03;3514,044189;37,45098495;825
73839;7,68E-03;3514,044189;38,95225143;862,499939
73841;4,66E-03;3514,044189;37,45098495;862,499939
73862;3,35E-03;3514,044189;35,94972229;862,499939
73629;6,31E-03;3514,044189;35,94972229;900
73707;8,90E-03;3514,044189;38,95225143;900
73842;4,88E-03;3514,044189;37,45098495;900
74348;6,12E-03;3514,044189;38,95225143;937,5
74349;2,59E-03;3514,044189;37,45098495;937,5
74423;3,40E-03;3514,044189;35,94972229;937,5
73628;6,28E-03;3514,044189;35,94972229;975
73706;7,80E-03;3514,044189;38,95225143;975
74243;1,29E-03;3514,044189;37,45098495;975
74244;6,00E-03;3514,044189;38,95225143;1012,500061
74245;1,03E-03;3514,044189;37,45098495;1012,500061
74275;6,56E-03;3514,044189;35,94972229;1012,500061
73627;9,44E-03;3514,044189;35,94972229;1050
73705;8,02E-03;3514,044189;38,95225143;1050
74172;3,98E-03;3514,044189;37,45098495;1050
73815;9,57E-03;3514,044189;35,94972229;1087,5
74173;8,22E-03;3514,044189;38,95225143;1087,5
74174;2,44E-03;3514,044189;37,45098495;1087,5
73626;1,17E-02;3514,044189;35,94972229;1125
73704;6,27E-03;3514,044189;38,95225143;1125
73917;2,89E-03;3514,044189;37,45098495;1125
73808;3,37E-03;3514,044189;37,45098495;1162,5
73809;6,66E-03;3514,044189;38,95225143;1162,5
73916;9,28E-03;3514,044189;35,94972229;1162,5
73625;8,25E-03;3514,044189;35,94972229;1200
73703;5,21E-03;3514,044189;38,95225143;1200
73810;2,32E-03;3514,044189;37,45098495;1200
73967;5,08E-03;3514,044189;38,95225143;1237,5
73972;1,76E-03;3514,044189;37,45098495;1237,5
74541;4,42E-03;3514,044189;35,94972229;1237,5
73624;4,62E-03;3514,044189;35,94972229;1275
