Location,stress,X,Y,Z
58855  ,6.360e-02   ,305  ,2548.9  ,-73.5
58856  ,6.151e-02   ,305  ,2544.5  ,-73.5
58857  ,6.159e-02   ,305  ,2540.1  ,-73.5
58858  ,6.116e-02   ,305  ,2535.8  ,-73.5
58859  ,6.046e-02   ,305  ,2531.4  ,-73.5
58860  ,5.537e-02   ,305  ,2527  ,-73.5
58861  ,5.450e-02   ,305  ,2522.6  ,-73.5
58862  ,5.721e-02   ,305  ,2518.2  ,-73.5
58863  ,5.959e-02   ,305  ,2513.9  ,-73.5
58864  ,5.661e-02   ,305  ,2509.5  ,-73.5
58865  ,5.829e-02   ,305  ,2505.1  ,-73.5
58866  ,5.268e-02   ,305  ,2500.7  ,-73.5
58867  ,5.440e-02   ,305  ,2496.4  ,-73.5
58868  ,5.484e-02   ,305  ,2492  ,-73.5
58869  ,4.601e-02   ,305  ,2487.6  ,-73.5
58870  ,4.834e-02   ,305  ,2483.2  ,-73.5
58871  ,5.017e-02   ,305  ,2478.8  ,-73.5
58872  ,5.217e-02   ,305  ,2474.5  ,-73.5
58873  ,5.427e-02   ,305  ,2470.1  ,-73.5
58874  ,8.936e-02   ,305  ,2465.7  ,-73.5
58875  ,8.330e-02   ,305  ,2461.3  ,-73.5
58876  ,6.277e-02   ,305  ,2456.9  ,-73.5
58877  ,5.000e-02   ,305  ,2452.6  ,-73.5
58878  ,4.826e-02   ,305  ,2448.2  ,-73.5
58879  ,4.803e-02   ,305  ,2443.8  ,-73.5
58880  ,4.621e-02   ,305  ,2439.4  ,-73.5
58881  ,4.631e-02   ,305  ,2435  ,-73.5
58882  ,4.464e-02   ,305  ,2430.7  ,-73.5
58883  ,4.554e-02   ,305  ,2426.3  ,-73.5
58884  ,4.401e-02   ,305  ,2421.9  ,-73.5
58885  ,4.281e-02   ,305  ,2417.5  ,-73.5
58886  ,4.344e-02   ,305  ,2413.1  ,-73.5
58887  ,4.197e-02   ,305  ,2408.8  ,-73.5
58888  ,3.949e-02   ,305  ,2404.4  ,-73.5
58889  ,4.089e-02   ,305  ,2400  ,-73.5
58890  ,3.401e-02   ,305  ,2395.6  ,-73.5
58891  ,4.106e-02   ,305  ,2391.2  ,-73.5
58892  ,3.882e-02   ,305  ,2386.9  ,-73.5
58893  ,4.982e-02   ,305  ,2382.5  ,-73.5
58894  ,6.903e-02   ,305  ,2378.1  ,-73.5
58895  ,3.805e-02   ,305  ,2373.7  ,-73.5
58896  ,6.172e-02   ,305  ,2369.3  ,-73.5
58897  ,4.215e-02   ,305  ,2365  ,-73.5
58898  ,3.721e-02   ,305  ,2360.6  ,-73.5
58899  ,3.696e-02   ,305  ,2356.2  ,-73.5
58900  ,3.566e-02   ,305  ,2351.8  ,-73.5
58901  ,3.594e-02   ,305  ,2347.4  ,-73.5
58902  ,3.511e-02   ,305  ,2343.1  ,-73.5
58903  ,3.474e-02   ,305  ,2338.7  ,-73.5
58904  ,3.409e-02   ,305  ,2334.3  ,-73.5
58905  ,3.440e-02   ,305  ,2329.9  ,-73.5
58906  ,3.364e-02   ,305  ,2325.5  ,-73.5
58907  ,3.290e-02   ,305  ,2321.2  ,-73.5
58908  ,3.283e-02   ,305  ,2316.8  ,-73.5
58909  ,3.233e-02   ,305  ,2312.4  ,-73.5
58910  ,3.270e-02   ,305  ,2308  ,-73.5
58911  ,3.204e-02   ,305  ,2303.6  ,-73.5
58912  ,3.160e-02   ,305  ,2299.3  ,-73.5
58913  ,3.049e-02   ,305  ,2294.9  ,-73.5
58914  ,3.092e-02   ,305  ,2290.5  ,-73.5
58915  ,3.111e-02   ,305  ,2286.1  ,-73.5
58916  ,3.100e-02   ,305  ,2281.8  ,-73.5
58917  ,3.031e-02   ,305  ,2277.4  ,-73.5
58918  ,2.978e-02   ,305  ,2273  ,-73.5
58919  ,2.995e-02   ,305  ,2268.6  ,-73.5
58920  ,3.004e-02   ,305  ,2264.2  ,-73.5
58921  ,2.972e-02   ,305  ,2259.9  ,-73.5
58922  ,2.899e-02   ,305  ,2255.5  ,-73.5
58923  ,2.881e-02   ,305  ,2251.1  ,-73.5
58924  ,2.973e-02   ,305  ,2246.7  ,-73.5
58925  ,2.885e-02   ,305  ,2242.3  ,-73.5
58926  ,2.849e-02   ,305  ,2238  ,-73.5
58927  ,2.832e-02   ,305  ,2233.6  ,-73.5
58928  ,2.854e-02   ,305  ,2229.2  ,-73.5
58929  ,2.854e-02   ,305  ,2224.8  ,-73.5
58930  ,2.810e-02   ,305  ,2220.4  ,-73.5
58931  ,2.821e-02   ,305  ,2216.1  ,-73.5
58932  ,2.871e-02   ,305  ,2211.7  ,-73.5
58933  ,2.778e-02   ,305  ,2207.3  ,-73.5
58934  ,2.750e-02   ,305  ,2202.9  ,-73.5
58935  ,2.849e-02   ,305  ,2198.5  ,-73.5
58936  ,2.814e-02   ,305  ,2194.2  ,-73.5
58937  ,2.802e-02   ,305  ,2189.8  ,-73.5
58938  ,2.740e-02   ,305  ,2185.4  ,-73.5
58939  ,2.691e-02   ,305  ,2181  ,-73.5
58940  ,2.760e-02   ,305  ,2176.6  ,-73.5
58941  ,2.780e-02   ,305  ,2172.3  ,-73.5
58942  ,2.784e-02   ,305  ,2167.9  ,-73.5
58943  ,2.695e-02   ,305  ,2163.5  ,-73.5
58944  ,2.765e-02   ,305  ,2159.1  ,-73.5
58945  ,2.726e-02   ,305  ,2154.7  ,-73.5
58946  ,2.737e-02   ,305  ,2150.4  ,-73.5
58947  ,2.706e-02   ,305  ,2146  ,-73.5
58948  ,2.717e-02   ,305  ,2141.6  ,-73.5
58949  ,2.764e-02   ,305  ,2137.2  ,-73.5
58950  ,2.771e-02   ,305  ,2132.8  ,-73.5
58951  ,3.032e-02   ,305  ,2128.5  ,-73.5
58952  ,3.061e-02   ,305  ,2124.1  ,-73.5
58953  ,4.759e-02   ,305  ,2119.7  ,-73.5
58954  ,5.212e-02   ,305  ,2115.3  ,-73.5
58955  ,4.367e-02   ,305  ,2110.9  ,-73.5
58956  ,4.844e-02   ,305  ,2106.6  ,-73.5
58957  ,3.633e-02   ,305  ,2102.2  ,-73.5
58958  ,4.524e-02   ,305  ,2097.8  ,-73.5
58959  ,3.555e-02   ,305  ,2093.4  ,-73.5
58960  ,3.290e-02   ,305  ,2089.1  ,-73.5
58961  ,2.801e-02   ,305  ,2084.7  ,-73.5
58962  ,2.805e-02   ,305  ,2080.3  ,-73.5
58963  ,2.727e-02   ,305  ,2075.9  ,-73.5
58964  ,2.683e-02   ,305  ,2071.5  ,-73.5
58965  ,2.721e-02   ,305  ,2067.2  ,-73.5
58966  ,2.811e-02   ,305  ,2062.8  ,-73.5
58967  ,2.782e-02   ,305  ,2058.4  ,-73.5
58968  ,2.726e-02   ,305  ,2054  ,-73.5
58969  ,2.762e-02   ,305  ,2049.6  ,-73.5
58970  ,2.780e-02   ,305  ,2045.3  ,-73.5
58971  ,2.725e-02   ,305  ,2040.9  ,-73.5
58972  ,2.724e-02   ,305  ,2036.5  ,-73.5
58973  ,2.756e-02   ,305  ,2032.1  ,-73.5
58974  ,2.850e-02   ,305  ,2027.7  ,-73.5
58975  ,2.786e-02   ,305  ,2023.4  ,-73.5
58976  ,2.772e-02   ,305  ,2019  ,-73.5
58977  ,2.803e-02   ,305  ,2014.6  ,-73.5
58978  ,2.754e-02   ,305  ,2010.2  ,-73.5
58979  ,2.780e-02   ,305  ,2005.8  ,-73.5
58980  ,2.647e-02   ,305  ,2001.5  ,-73.5
58981  ,2.754e-02   ,305  ,1997.1  ,-73.5
58982  ,2.741e-02   ,305  ,1992.7  ,-73.5
58983  ,2.740e-02   ,305  ,1988.3  ,-73.5
58984  ,2.779e-02   ,305  ,1983.9  ,-73.5
58985  ,2.787e-02   ,305  ,1979.6  ,-73.5
58986  ,2.813e-02   ,305  ,1975.2  ,-73.5
58987  ,2.766e-02   ,305  ,1970.8  ,-73.5
58988  ,2.790e-02   ,305  ,1966.4  ,-73.5
58989  ,2.736e-02   ,305  ,1962  ,-73.5
58990  ,2.826e-02   ,305  ,1957.7  ,-73.5
58991  ,2.738e-02   ,305  ,1953.3  ,-73.5
