Node  ,stress,X,Y,Z
118979  ,1.575e-01   ,3.7064E-06  ,500  ,-73.5
118980  ,1.293e-01   ,3.7064E-06  ,2500  ,-73.5
118983  ,1.451e-01   ,1.207E-05  ,2500  ,-76.5
118985  ,1.263e-01   ,1.207E-05  ,500  ,-76.5
118987  ,8.176e-02   ,3.7064E-06  ,502.82  ,-73.5
118988  ,5.995e-02   ,3.7064E-06  ,505.63  ,-73.5
118989  ,5.334e-02   ,3.7064E-06  ,508.45  ,-73.5
118990  ,5.287e-02   ,3.7064E-06  ,511.27  ,-73.5
118991  ,5.220e-02   ,3.7064E-06  ,514.08  ,-73.5
118992  ,4.578e-02   ,3.7064E-06  ,516.9  ,-73.5
118993  ,4.485e-02   ,3.7064E-06  ,519.72  ,-73.5
118994  ,4.028e-02   ,3.7064E-06  ,522.54  ,-73.5
118995  ,4.504e-02   ,3.7064E-06  ,525.35  ,-73.5
118996  ,4.195e-02   ,3.7064E-06  ,528.17  ,-73.5
118997  ,3.783e-02   ,3.7064E-06  ,530.99  ,-73.5
118998  ,3.654e-02   ,3.7064E-06  ,533.8  ,-73.5
118999  ,3.067e-02   ,3.7064E-06  ,536.62  ,-73.5
119000  ,2.682e-02   ,3.7064E-06  ,539.44  ,-73.5
119001  ,2.251e-02   ,3.7064E-06  ,542.25  ,-73.5
119002  ,2.416e-02   ,3.7064E-06  ,545.07  ,-73.5
119003  ,2.382e-02   ,3.7064E-06  ,547.89  ,-73.5
119004  ,2.119e-02   ,3.7064E-06  ,550.7  ,-73.5
119005  ,1.868e-02   ,3.7064E-06  ,553.52  ,-73.5
119006  ,1.507e-02   ,3.7064E-06  ,556.34  ,-73.5
119007  ,1.305e-02   ,3.7064E-06  ,559.15  ,-73.5
119008  ,1.254e-02   ,3.7064E-06  ,561.97  ,-73.5
119009  ,1.111e-02   ,3.7064E-06  ,564.79  ,-73.5
119010  ,9.861e-03   ,3.7064E-06  ,567.61  ,-73.5
119011  ,7.987e-03   ,3.7064E-06  ,570.42  ,-73.5
119012  ,7.549e-03   ,3.7064E-06  ,573.24  ,-73.5
119013  ,7.659e-03   ,3.7064E-06  ,576.06  ,-73.5
119014  ,8.056e-03   ,3.7064E-06  ,578.87  ,-73.5
119015  ,8.306e-03   ,3.7064E-06  ,581.69  ,-73.5
119016  ,8.832e-03   ,3.7064E-06  ,584.51  ,-73.5
119017  ,9.475e-03   ,3.7064E-06  ,587.32  ,-73.5
119018  ,1.015e-02   ,3.7064E-06  ,590.14  ,-73.5
119019  ,1.149e-02   ,3.7064E-06  ,592.96  ,-73.5
119020  ,1.353e-02   ,3.7064E-06  ,595.77  ,-73.5
119021  ,1.224e-02   ,3.7064E-06  ,598.59  ,-73.5
119022  ,1.505e-02   ,3.7064E-06  ,601.41  ,-73.5
119023  ,1.485e-02   ,3.7064E-06  ,604.23  ,-73.5
119024  ,1.868e-02   ,3.7064E-06  ,607.04  ,-73.5
119025  ,1.972e-02   ,3.7064E-06  ,609.86  ,-73.5
119026  ,1.756e-02   ,3.7064E-06  ,612.68  ,-73.5
119027  ,1.779e-02   ,3.7064E-06  ,615.49  ,-73.5
119028  ,2.164e-02   ,3.7064E-06  ,618.31  ,-73.5
119029  ,2.143e-02   ,3.7064E-06  ,621.13  ,-73.5
119030  ,2.514e-02   ,3.7064E-06  ,623.94  ,-73.5
119031  ,2.204e-02   ,3.7064E-06  ,626.76  ,-73.5
119032  ,2.349e-02   ,3.7064E-06  ,629.58  ,-73.5
119033  ,2.208e-02   ,3.7064E-06  ,632.39  ,-73.5
119034  ,2.648e-02   ,3.7064E-06  ,635.21  ,-73.5
119035  ,2.796e-02   ,3.7064E-06  ,638.03  ,-73.5
119036  ,2.781e-02   ,3.7064E-06  ,640.85  ,-73.5
119037  ,3.148e-02   ,3.7064E-06  ,643.66  ,-73.5
119038  ,2.838e-02   ,3.7064E-06  ,646.48  ,-73.5
119039  ,3.009e-02   ,3.7064E-06  ,649.3  ,-73.5
119040  ,3.229e-02   ,3.7064E-06  ,652.11  ,-73.5
119041  ,2.872e-02   ,3.7064E-06  ,654.93  ,-73.5
119042  ,3.443e-02   ,3.7064E-06  ,657.75  ,-73.5
119043  ,3.494e-02   ,3.7064E-06  ,660.56  ,-73.5
119044  ,3.411e-02   ,3.7064E-06  ,663.38  ,-73.5
119045  ,3.458e-02   ,3.7064E-06  ,666.2  ,-73.5
119046  ,3.390e-02   ,3.7064E-06  ,669.01  ,-73.5
119047  ,3.932e-02   ,3.7064E-06  ,671.83  ,-73.5
119048  ,3.718e-02   ,3.7064E-06  ,674.65  ,-73.5
119049  ,3.678e-02   ,3.7064E-06  ,677.46  ,-73.5
119050  ,4.018e-02   ,3.7064E-06  ,680.28  ,-73.5
119051  ,3.427e-02   ,3.7064E-06  ,683.1  ,-73.5
119052  ,3.485e-02   ,3.7064E-06  ,685.92  ,-73.5
119053  ,3.242e-02   ,3.7064E-06  ,688.73  ,-73.5
119054  ,2.976e-02   ,3.7064E-06  ,691.55  ,-73.5
119055  ,3.512e-02   ,3.7064E-06  ,694.37  ,-73.5
119056  ,3.135e-02   ,3.7064E-06  ,697.18  ,-73.5
119057  ,3.596e-02   ,3.7064E-06  ,700  ,-73.5
119058  ,4.060e-02   ,3.7064E-06  ,702.82  ,-73.5
119059  ,3.453e-02   ,3.7064E-06  ,705.63  ,-73.5
119060  ,3.648e-02   ,3.7064E-06  ,708.45  ,-73.5
119061  ,3.194e-02   ,3.7064E-06  ,711.27  ,-73.5
119062  ,3.609e-02   ,3.7064E-06  ,714.08  ,-73.5
119063  ,3.632e-02   ,3.7064E-06  ,716.9  ,-73.5
119064  ,3.792e-02   ,3.7064E-06  ,719.72  ,-73.5
119065  ,3.988e-02   ,3.7064E-06  ,722.54  ,-73.5
119066  ,3.961e-02   ,3.7064E-06  ,725.35  ,-73.5
119067  ,4.671e-02   ,3.7064E-06  ,728.17  ,-73.5
119068  ,4.735e-02   ,3.7064E-06  ,730.99  ,-73.5
