Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,1.021e+07   ,1500  ,0  ,10
2  ,1.029e+07   ,1500  ,0  ,-10
3  ,6.609e+06   ,-1.1776E-12  ,0  ,10
4  ,6.882e+06   ,-1.1776E-12  ,0  ,-10
5  ,6.720e+06   ,3000  ,0  ,-10
6  ,6.321e+06   ,3000  ,10000  ,-10
7  ,6.328e+06   ,-1.1776E-12  ,10000  ,-10
8  ,6.441e+06   ,-1.1776E-12  ,10000  ,10
9  ,6.658e+06   ,3000  ,0  ,10
10  ,5.996e+06   ,3000  ,10000  ,10
11  ,8.147e+06   ,214.29  ,0  ,10
12  ,9.762e+06   ,428.57  ,0  ,10
13  ,1.025e+07   ,642.86  ,0  ,10
14  ,1.032e+07   ,857.14  ,0  ,10
15  ,1.039e+07   ,1071.4  ,0  ,10
16  ,1.039e+07   ,1285.7  ,0  ,10
17  ,8.244e+06   ,214.29  ,0  ,-10
18  ,9.490e+06   ,428.57  ,0  ,-10
19  ,9.932e+06   ,642.86  ,0  ,-10
20  ,1.019e+07   ,857.14  ,0  ,-10
21  ,1.037e+07   ,1071.4  ,0  ,-10
22  ,1.038e+07   ,1285.7  ,0  ,-10
23  ,7.157e+06   ,3000  ,200  ,-10
24  ,8.470e+06   ,3000  ,400  ,-10
25  ,8.905e+06   ,3000  ,600  ,-10
26  ,9.142e+06   ,3000  ,800  ,-10
27  ,9.259e+06   ,3000  ,1000  ,-10
28  ,9.369e+06   ,3000  ,1200  ,-10
29  ,9.465e+06   ,3000  ,1400  ,-10
30  ,9.477e+06   ,3000  ,1600  ,-10
31  ,9.471e+06   ,3000  ,1800  ,-10
32  ,9.507e+06   ,3000  ,2000  ,-10
33  ,9.472e+06   ,3000  ,2200  ,-10
34  ,9.476e+06   ,3000  ,2400  ,-10
35  ,9.435e+06   ,3000  ,2600  ,-10
36  ,9.412e+06   ,3000  ,2800  ,-10
37  ,9.422e+06   ,3000  ,3000  ,-10
38  ,9.375e+06   ,3000  ,3200  ,-10
39  ,9.362e+06   ,3000  ,3400  ,-10
40  ,9.344e+06   ,3000  ,3600  ,-10
41  ,9.301e+06   ,3000  ,3800  ,-10
42  ,9.335e+06   ,3000  ,4000  ,-10
43  ,9.301e+06   ,3000  ,4200  ,-10
44  ,9.287e+06   ,3000  ,4400  ,-10
45  ,9.276e+06   ,3000  ,4600  ,-10
46  ,9.275e+06   ,3000  ,4800  ,-10
47  ,9.246e+06   ,3000  ,5000  ,-10
48  ,9.254e+06   ,3000  ,5200  ,-10
49  ,9.249e+06   ,3000  ,5400  ,-10
50  ,9.224e+06   ,3000  ,5600  ,-10
51  ,9.245e+06   ,3000  ,5800  ,-10
52  ,9.246e+06   ,3000  ,6000  ,-10
53  ,9.252e+06   ,3000  ,6200  ,-10
