Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,1.891e+07   ,1500  ,0  ,20
2  ,1.909e+07   ,1500  ,0  ,-20
3  ,8.003e+06   ,-1.1776E-12  ,0  ,20
4  ,8.474e+06   ,-1.1776E-12  ,0  ,-20
5  ,8.761e+06   ,3000  ,0  ,-20
6  ,8.361e+06   ,3000  ,10000  ,-20
7  ,8.698e+06   ,-1.1776E-12  ,10000  ,-20
8  ,7.904e+06   ,-1.1776E-12  ,10000  ,20
9  ,7.929e+06   ,3000  ,0  ,20
10  ,7.506e+06   ,3000  ,10000  ,20
11  ,1.257e+07   ,214.29  ,0  ,20
12  ,1.757e+07   ,428.57  ,0  ,20
13  ,1.928e+07   ,642.86  ,0  ,20
14  ,2.017e+07   ,857.14  ,0  ,20
15  ,1.958e+07   ,1071.4  ,0  ,20
16  ,1.970e+07   ,1285.7  ,0  ,20
17  ,1.328e+07   ,214.29  ,0  ,-20
18  ,1.674e+07   ,428.57  ,0  ,-20
19  ,1.855e+07   ,642.86  ,0  ,-20
20  ,1.905e+07   ,857.14  ,0  ,-20
21  ,1.982e+07   ,1071.4  ,0  ,-20
22  ,1.929e+07   ,1285.7  ,0  ,-20
23  ,9.957e+06   ,3000  ,200  ,-20
24  ,1.296e+07   ,3000  ,400  ,-20
25  ,1.446e+07   ,3000  ,600  ,-20
26  ,1.517e+07   ,3000  ,800  ,-20
27  ,1.586e+07   ,3000  ,1000  ,-20
28  ,1.627e+07   ,3000  ,1200  ,-20
29  ,1.616e+07   ,3000  ,1400  ,-20
30  ,1.663e+07   ,3000  ,1600  ,-20
31  ,1.669e+07   ,3000  ,1800  ,-20
32  ,1.677e+07   ,3000  ,2000  ,-20
33  ,1.690e+07   ,3000  ,2200  ,-20
34  ,1.679e+07   ,3000  ,2400  ,-20
35  ,1.695e+07   ,3000  ,2600  ,-20
36  ,1.683e+07   ,3000  ,2800  ,-20
37  ,1.675e+07   ,3000  ,3000  ,-20
38  ,1.697e+07   ,3000  ,3200  ,-20
39  ,1.699e+07   ,3000  ,3400  ,-20
40  ,1.680e+07   ,3000  ,3600  ,-20
41  ,1.685e+07   ,3000  ,3800  ,-20
42  ,1.689e+07   ,3000  ,4000  ,-20
43  ,1.692e+07   ,3000  ,4200  ,-20
44  ,1.699e+07   ,3000  ,4400  ,-20
45  ,1.683e+07   ,3000  ,4600  ,-20
46  ,1.690e+07   ,3000  ,4800  ,-20
47  ,1.687e+07   ,3000  ,5000  ,-20
48  ,1.684e+07   ,3000  ,5200  ,-20
49  ,1.683e+07   ,3000  ,5400  ,-20
50  ,1.685e+07   ,3000  ,5600  ,-20
51  ,1.692e+07   ,3000  ,5800  ,-20
52  ,1.661e+07   ,3000  ,6000  ,-20
53  ,1.692e+07   ,3000  ,6200  ,-20
