Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,3.730e+07   ,1500  ,0  ,25
2  ,3.758e+07   ,1500  ,0  ,-25
3  ,1.085e+07   ,-1.1776E-12  ,0  ,25
4  ,1.312e+07   ,-1.1776E-12  ,0  ,-25
5  ,1.173e+07   ,3000  ,0  ,-25
6  ,1.099e+07   ,3000  ,10000  ,-25
7  ,1.103e+07   ,-1.1776E-12  ,10000  ,-25
8  ,1.023e+07   ,-1.1776E-12  ,10000  ,25
9  ,1.233e+07   ,3000  ,0  ,25
10  ,1.277e+07   ,3000  ,10000  ,25
11  ,1.924e+07   ,214.29  ,0  ,25
12  ,2.740e+07   ,428.57  ,0  ,25
13  ,3.237e+07   ,642.86  ,0  ,25
14  ,3.472e+07   ,857.14  ,0  ,25
15  ,3.558e+07   ,1071.4  ,0  ,25
16  ,3.534e+07   ,1285.7  ,0  ,25
17  ,2.032e+07   ,214.29  ,0  ,-25
18  ,2.651e+07   ,428.57  ,0  ,-25
19  ,2.952e+07   ,642.86  ,0  ,-25
20  ,3.221e+07   ,857.14  ,0  ,-25
21  ,3.365e+07   ,1071.4  ,0  ,-25
22  ,3.539e+07   ,1285.7  ,0  ,-25
23  ,1.416e+07   ,3000  ,200  ,-25
24  ,1.980e+07   ,3000  ,400  ,-25
25  ,2.306e+07   ,3000  ,600  ,-25
26  ,2.458e+07   ,3000  ,800  ,-25
27  ,2.541e+07   ,3000  ,1000  ,-25
28  ,2.693e+07   ,3000  ,1200  ,-25
29  ,2.666e+07   ,3000  ,1400  ,-25
30  ,2.788e+07   ,3000  ,1600  ,-25
31  ,2.776e+07   ,3000  ,1800  ,-25
32  ,2.793e+07   ,3000  ,2000  ,-25
33  ,2.810e+07   ,3000  ,2200  ,-25
34  ,2.776e+07   ,3000  ,2400  ,-25
35  ,2.888e+07   ,3000  ,2600  ,-25
36  ,2.811e+07   ,3000  ,2800  ,-25
37  ,2.832e+07   ,3000  ,3000  ,-25
