Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,6.784e+07   ,1500  ,0  ,40
2  ,6.551e+07   ,1500  ,0  ,-40
3  ,7.441e+06   ,-1.1776E-12  ,0  ,40
4  ,1.046e+07   ,-1.1776E-12  ,0  ,-40
5  ,9.499e+06   ,3000  ,0  ,-40
6  ,9.201e+06   ,3000  ,10000  ,-40
7  ,1.028e+07   ,-1.1776E-12  ,10000  ,-40
8  ,7.268e+06   ,-1.1776E-12  ,10000  ,40
9  ,7.174e+06   ,3000  ,0  ,40
10  ,6.847e+06   ,3000  ,10000  ,40
11  ,1.712e+07   ,214.29  ,0  ,40
12  ,2.592e+07   ,428.57  ,0  ,40
13  ,2.852e+07   ,642.86  ,0  ,40
14  ,3.259e+07   ,857.14  ,0  ,40
15  ,3.302e+07   ,1071.4  ,0  ,40
16  ,3.733e+07   ,1285.7  ,0  ,40
17  ,1.839e+07   ,214.29  ,0  ,-40
18  ,2.355e+07   ,428.57  ,0  ,-40
19  ,2.871e+07   ,642.86  ,0  ,-40
20  ,2.914e+07   ,857.14  ,0  ,-40
21  ,3.260e+07   ,1071.4  ,0  ,-40
22  ,4.279e+07   ,1285.7  ,0  ,-40
23  ,1.215e+07   ,3000  ,200  ,-40
24  ,1.771e+07   ,3000  ,400  ,-40
25  ,2.024e+07   ,3000  ,600  ,-40
26  ,2.207e+07   ,3000  ,800  ,-40
27  ,2.236e+07   ,3000  ,1000  ,-40
28  ,2.494e+07   ,3000  ,1200  ,-40
29  ,2.560e+07   ,3000  ,1400  ,-40
30  ,2.705e+07   ,3000  ,1600  ,-40
31  ,2.495e+07   ,3000  ,1800  ,-40
32  ,2.686e+07   ,3000  ,2000  ,-40
33  ,2.553e+07   ,3000  ,2200  ,-40
34  ,2.725e+07   ,3000  ,2400  ,-40
35  ,2.677e+07   ,3000  ,2600  ,-40
36  ,2.580e+07   ,3000  ,2800  ,-40
37  ,2.741e+07   ,3000  ,3000  ,-40
38  ,2.574e+07   ,3000  ,3200  ,-40
39  ,2.827e+07   ,3000  ,3400  ,-40
40  ,2.661e+07   ,3000  ,3600  ,-40
41  ,2.743e+07   ,3000  ,3800  ,-40
42  ,2.815e+07   ,3000  ,4000  ,-40
43  ,2.750e+07   ,3000  ,4200  ,-40
44  ,2.772e+07   ,3000  ,4400  ,-40
45  ,2.587e+07   ,3000  ,4600  ,-40
46  ,2.778e+07   ,3000  ,4800  ,-40
47  ,2.722e+07   ,3000  ,5000  ,-40
48  ,2.697e+07   ,3000  ,5200  ,-40
49  ,2.596e+07   ,3000  ,5400  ,-40
50  ,2.701e+07   ,3000  ,5600  ,-40
51  ,2.760e+07   ,3000  ,5800  ,-40
52  ,2.636e+07   ,3000  ,6000  ,-40
53  ,2.795e+07   ,3000  ,6200  ,-40
54  ,2.698e+07   ,3000  ,6400  ,-40
55  ,2.596e+07   ,3000  ,6600  ,-40
56  ,2.759e+07   ,3000  ,6800  ,-40
57  ,2.730e+07   ,3000  ,7000  ,-40
58  ,2.720e+07   ,3000  ,7200  ,-40
59  ,2.751e+07   ,3000  ,7400  ,-40
60  ,2.569e+07   ,3000  ,7600  ,-40
61  ,2.787e+07   ,3000  ,7800  ,-40
62  ,2.673e+07   ,3000  ,8000  ,-40
63  ,2.651e+07   ,3000  ,8200  ,-40
64  ,2.489e+07   ,3000  ,8400  ,-40
65  ,2.686e+07   ,3000  ,8600  ,-40
66  ,2.461e+07   ,3000  ,8800  ,-40
67  ,2.447e+07   ,3000  ,9000  ,-40
68  ,2.315e+07   ,3000  ,9200  ,-40
69  ,2.131e+07   ,3000  ,9400  ,-40
70  ,1.841e+07   ,3000  ,9600  ,-40
71  ,1.518e+07   ,3000  ,9800  ,-40
72  ,4.440e+07   ,1714.3  ,0  ,-40
73  ,3.415e+07   ,1928.6  ,0  ,-40
74  ,3.098e+07   ,2142.9  ,0  ,-40
75  ,2.920e+07   ,2357.1  ,0  ,-40
76  ,2.547e+07   ,2571.4  ,0  ,-40
