Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,2.198e+07   ,1500  ,0  ,15
2  ,2.175e+07   ,1500  ,0  ,-15
3  ,1.175e+07   ,-1.1776E-12  ,0  ,15
4  ,1.121e+07   ,-1.1776E-12  ,0  ,-15
5  ,1.039e+07   ,3000  ,0  ,-15
6  ,1.043e+07   ,3000  ,10000  ,-15
7  ,9.766e+06   ,-1.1776E-12  ,10000  ,-15
8  ,8.663e+06   ,-1.1776E-12  ,10000  ,15
9  ,1.151e+07   ,3000  ,0  ,15
10  ,1.085e+07   ,3000  ,10000  ,15
11  ,1.582e+07   ,214.29  ,0  ,15
12  ,1.984e+07   ,428.57  ,0  ,15
13  ,2.186e+07   ,642.86  ,0  ,15
14  ,2.245e+07   ,857.14  ,0  ,15
15  ,2.271e+07   ,1071.4  ,0  ,15
16  ,2.230e+07   ,1285.7  ,0  ,15
17  ,1.508e+07   ,214.29  ,0  ,-15
18  ,1.903e+07   ,428.57  ,0  ,-15
19  ,2.038e+07   ,642.86  ,0  ,-15
20  ,2.172e+07   ,857.14  ,0  ,-15
21  ,2.212e+07   ,1071.4  ,0  ,-15
22  ,2.242e+07   ,1285.7  ,0  ,-15
23  ,1.253e+07   ,3000  ,200  ,-15
24  ,1.538e+07   ,3000  ,400  ,-15
25  ,1.666e+07   ,3000  ,600  ,-15
26  ,1.758e+07   ,3000  ,800  ,-15
27  ,1.807e+07   ,3000  ,1000  ,-15
28  ,1.828e+07   ,3000  ,1200  ,-15
29  ,1.864e+07   ,3000  ,1400  ,-15
30  ,1.876e+07   ,3000  ,1600  ,-15
31  ,1.886e+07   ,3000  ,1800  ,-15
32  ,1.891e+07   ,3000  ,2000  ,-15
33  ,1.880e+07   ,3000  ,2200  ,-15
34  ,1.899e+07   ,3000  ,2400  ,-15
35  ,1.906e+07   ,3000  ,2600  ,-15
36  ,1.897e+07   ,3000  ,2800  ,-15
37  ,1.886e+07   ,3000  ,3000  ,-15
38  ,1.892e+07   ,3000  ,3200  ,-15
39  ,1.888e+07   ,3000  ,3400  ,-15
40  ,1.884e+07   ,3000  ,3600  ,-15
41  ,1.869e+07   ,3000  ,3800  ,-15
42  ,1.891e+07   ,3000  ,4000  ,-15
43  ,1.887e+07   ,3000  ,4200  ,-15
44  ,1.876e+07   ,3000  ,4400  ,-15
45  ,1.883e+07   ,3000  ,4600  ,-15
46  ,1.886e+07   ,3000  ,4800  ,-15
47  ,1.862e+07   ,3000  ,5000  ,-15
48  ,1.893e+07   ,3000  ,5200  ,-15
49  ,1.874e+07   ,3000  ,5400  ,-15
