Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,6.496e+06   ,1500  ,0  ,5
2  ,6.309e+06   ,1500  ,0  ,-5
3  ,3.889e+06   ,-1.1776E-12  ,0  ,5
4  ,3.991e+06   ,-1.1776E-12  ,0  ,-5
5  ,4.820e+06   ,3000  ,0  ,-5
6  ,4.919e+06   ,3000  ,10000  ,-5
7  ,3.426e+06   ,-1.1776E-12  ,10000  ,-5
8  ,3.606e+06   ,-1.1776E-12  ,10000  ,5
9  ,5.079e+06   ,3000  ,0  ,5
10  ,4.707e+06   ,3000  ,10000  ,5
11  ,4.294e+06   ,214.29  ,0  ,5
12  ,4.440e+06   ,428.57  ,0  ,5
13  ,4.720e+06   ,642.86  ,0  ,5
14  ,5.280e+06   ,857.14  ,0  ,5
15  ,5.843e+06   ,1071.4  ,0  ,5
16  ,6.263e+06   ,1285.7  ,0  ,5
17  ,4.174e+06   ,214.29  ,0  ,-5
18  ,4.393e+06   ,428.57  ,0  ,-5
19  ,4.652e+06   ,642.86  ,0  ,-5
20  ,5.091e+06   ,857.14  ,0  ,-5
21  ,5.586e+06   ,1071.4  ,0  ,-5
22  ,6.087e+06   ,1285.7  ,0  ,-5
23  ,5.098e+06   ,3000  ,200  ,-5
24  ,5.602e+06   ,3000  ,400  ,-5
25  ,5.913e+06   ,3000  ,600  ,-5
26  ,6.045e+06   ,3000  ,800  ,-5
27  ,6.129e+06   ,3000  ,1000  ,-5
28  ,6.208e+06   ,3000  ,1200  ,-5
29  ,6.227e+06   ,3000  ,1400  ,-5
30  ,6.238e+06   ,3000  ,1600  ,-5
31  ,6.219e+06   ,3000  ,1800  ,-5
32  ,6.188e+06   ,3000  ,2000  ,-5
33  ,6.121e+06   ,3000  ,2200  ,-5
34  ,6.025e+06   ,3000  ,2400  ,-5
35  ,5.930e+06   ,3000  ,2600  ,-5
36  ,5.839e+06   ,3000  ,2800  ,-5
37  ,5.759e+06   ,3000  ,3000  ,-5
38  ,5.660e+06   ,3000  ,3200  ,-5
39  ,5.561e+06   ,3000  ,3400  ,-5
40  ,5.471e+06   ,3000  ,3600  ,-5
41  ,5.388e+06   ,3000  ,3800  ,-5
42  ,5.315e+06   ,3000  ,4000  ,-5
43  ,5.247e+06   ,3000  ,4200  ,-5
44  ,5.183e+06   ,3000  ,4400  ,-5
45  ,5.114e+06   ,3000  ,4600  ,-5
46  ,5.061e+06   ,3000  ,4800  ,-5
47  ,5.006e+06   ,3000  ,5000  ,-5
48  ,4.957e+06   ,3000  ,5200  ,-5
49  ,4.918e+06   ,3000  ,5400  ,-5
50  ,4.882e+06   ,3000  ,5600  ,-5
51  ,4.855e+06   ,3000  ,5800  ,-5
52  ,4.835e+06   ,3000  ,6000  ,-5
53  ,4.824e+06   ,3000  ,6200  ,-5
54  ,4.824e+06   ,3000  ,6400  ,-5
55  ,4.834e+06   ,3000  ,6600  ,-5
56  ,4.872e+06   ,3000  ,6800  ,-5
57  ,4.932e+06   ,3000  ,7000  ,-5
58  ,5.007e+06   ,3000  ,7200  ,-5
59  ,5.128e+06   ,3000  ,7400  ,-5
60  ,5.240e+06   ,3000  ,7600  ,-5
61  ,5.418e+06   ,3000  ,7800  ,-5
62  ,5.621e+06   ,3000  ,8000  ,-5
63  ,5.836e+06   ,3000  ,8200  ,-5
64  ,6.001e+06   ,3000  ,8400  ,-5
65  ,6.074e+06   ,3000  ,8600  ,-5
66  ,6.093e+06   ,3000  ,8800  ,-5
67  ,6.000e+06   ,3000  ,9000  ,-5
68  ,5.722e+06   ,3000  ,9200  ,-5
69  ,5.376e+06   ,3000  ,9400  ,-5
70  ,5.135e+06   ,3000  ,9600  ,-5
71  ,4.950e+06   ,3000  ,9800  ,-5
72  ,6.501e+06   ,1714.3  ,0  ,-5
73  ,6.363e+06   ,1928.6  ,0  ,-5
74  ,6.071e+06   ,2142.9  ,0  ,-5
75  ,5.908e+06   ,2357.1  ,0  ,-5
76  ,5.668e+06   ,2571.4  ,0  ,-5
77  ,5.217e+06   ,2785.7  ,0  ,-5
78  ,4.093e+06   ,-1.1776E-12  ,200  ,-5
79  ,4.573e+06   ,-1.1776E-12  ,400  ,-5
80  ,5.093e+06   ,-1.1776E-12  ,600  ,-5
81  ,5.666e+06   ,-1.1776E-12  ,800  ,-5
82  ,6.096e+06   ,-1.1776E-12  ,1000  ,-5
83  ,6.387e+06   ,-1.1776E-12  ,1200  ,-5
84  ,6.497e+06   ,-1.1776E-12  ,1400  ,-5
85  ,6.559e+06   ,-1.1776E-12  ,1600  ,-5
86  ,6.500e+06   ,-1.1776E-12  ,1800  ,-5
87  ,6.429e+06   ,-1.1776E-12  ,2000  ,-5
88  ,6.353e+06   ,-1.1776E-12  ,2200  ,-5
89  ,6.314e+06   ,-1.1776E-12  ,2400  ,-5
90  ,6.233e+06   ,-1.1776E-12  ,2600  ,-5
91  ,6.179e+06   ,-1.1776E-12  ,2800  ,-5
92  ,6.113e+06   ,-1.1776E-12  ,3000  ,-5
93  ,6.076e+06   ,-1.1776E-12  ,3200  ,-5
94  ,6.021e+06   ,-1.1776E-12  ,3400  ,-5
95  ,6.000e+06   ,-1.1776E-12  ,3600  ,-5
96  ,5.965e+06   ,-1.1776E-12  ,3800  ,-5
97  ,5.928e+06   ,-1.1776E-12  ,4000  ,-5
98  ,5.888e+06   ,-1.1776E-12  ,4200  ,-5
99  ,5.850e+06   ,-1.1776E-12  ,4400  ,-5
100  ,5.797e+06   ,-1.1776E-12  ,4600  ,-5
101  ,5.761e+06   ,-1.1776E-12  ,4800  ,-5
102  ,5.735e+06   ,-1.1776E-12  ,5000  ,-5
103  ,5.667e+06   ,-1.1776E-12  ,5200  ,-5
104  ,5.605e+06   ,-1.1776E-12  ,5400  ,-5
105  ,5.547e+06   ,-1.1776E-12  ,5600  ,-5
106  ,5.488e+06   ,-1.1776E-12  ,5800  ,-5
107  ,5.438e+06   ,-1.1776E-12  ,6000  ,-5
108  ,5.371e+06   ,-1.1776E-12  ,6200  ,-5
109  ,5.311e+06   ,-1.1776E-12  ,6400  ,-5
110  ,5.247e+06   ,-1.1776E-12  ,6600  ,-5
111  ,5.184e+06   ,-1.1776E-12  ,6800  ,-5
112  ,5.146e+06   ,-1.1776E-12  ,7000  ,-5
113  ,5.084e+06   ,-1.1776E-12  ,7200  ,-5
114  ,5.029e+06   ,-1.1776E-12  ,7400  ,-5
115  ,4.970e+06   ,-1.1776E-12  ,7600  ,-5
116  ,4.921e+06   ,-1.1776E-12  ,7800  ,-5
117  ,4.894e+06   ,-1.1776E-12  ,8000  ,-5
118  ,4.838e+06   ,-1.1776E-12  ,8200  ,-5
119  ,4.786e+06   ,-1.1776E-12  ,8400  ,-5
120  ,4.726e+06   ,-1.1776E-12  ,8600  ,-5
121  ,4.702e+06   ,-1.1776E-12  ,8800  ,-5
122  ,4.683e+06   ,-1.1776E-12  ,9000  ,-5
123  ,4.583e+06   ,-1.1776E-12  ,9200  ,-5
124  ,4.522e+06   ,-1.1776E-12  ,9400  ,-5
125  ,4.456e+06   ,-1.1776E-12  ,9600  ,-5
126  ,4.177e+06   ,-1.1776E-12  ,9800  ,-5
127  ,4.057e+06   ,200  ,10000  ,-5
128  ,4.529e+06   ,400  ,10000  ,-5
129  ,4.671e+06   ,600  ,10000  ,-5
130  ,5.186e+06   ,800  ,10000  ,-5
131  ,5.761e+06   ,1000  ,10000  ,-5
132  ,6.230e+06   ,1200  ,10000  ,-5
133  ,6.557e+06   ,1400  ,10000  ,-5
134  ,6.804e+06   ,1600  ,10000  ,-5
135  ,6.860e+06   ,1800  ,10000  ,-5
136  ,6.701e+06   ,2000  ,10000  ,-5
137  ,6.358e+06   ,2200  ,10000  ,-5
138  ,5.976e+06   ,2400  ,10000  ,-5
139  ,5.667e+06   ,2600  ,10000  ,-5
140  ,5.188e+06   ,2800  ,10000  ,-5
141  ,6.241e+06   ,2813.7  ,312.27  ,-5
142  ,6.572e+06   ,2812.6  ,492.89  ,-5
143  ,6.501e+06   ,2826.8  ,700  ,-5
144  ,6.325e+06   ,2826.8  ,900  ,-5
145  ,6.102e+06   ,2826.8  ,1100  ,-5
146  ,5.899e+06   ,2826.8  ,1300  ,-5
147  ,5.747e+06   ,2826.8  ,1500  ,-5
148  ,5.499e+06   ,173.21  ,2300  ,-5
149  ,5.469e+06   ,173.21  ,2500  ,-5
150  ,5.420e+06   ,173.21  ,2700  ,-5
151  ,5.376e+06   ,173.21  ,2900  ,-5
152  ,5.331e+06   ,173.21  ,3100  ,-5
153  ,5.299e+06   ,173.21  ,3300  ,-5
