Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,2.853e+07   ,1500  ,0  ,20
2  ,2.884e+07   ,1500  ,0  ,-20
3  ,1.150e+07   ,-1.1776E-12  ,0  ,20
4  ,1.211e+07   ,-1.1776E-12  ,0  ,-20
5  ,1.196e+07   ,3000  ,0  ,-20
6  ,1.217e+07   ,3000  ,10000  ,-20
7  ,1.134e+07   ,-1.1776E-12  ,10000  ,-20
8  ,9.745e+06   ,-1.1776E-12  ,10000  ,20
9  ,1.095e+07   ,3000  ,0  ,20
10  ,1.083e+07   ,3000  ,10000  ,20
11  ,1.772e+07   ,214.29  ,0  ,20
12  ,2.488e+07   ,428.57  ,0  ,20
13  ,2.758e+07   ,642.86  ,0  ,20
14  ,2.932e+07   ,857.14  ,0  ,20
15  ,2.879e+07   ,1071.4  ,0  ,20
16  ,2.927e+07   ,1285.7  ,0  ,20
17  ,1.852e+07   ,214.29  ,0  ,-20
18  ,2.312e+07   ,428.57  ,0  ,-20
19  ,2.594e+07   ,642.86  ,0  ,-20
20  ,2.715e+07   ,857.14  ,0  ,-20
21  ,2.872e+07   ,1071.4  ,0  ,-20
22  ,2.845e+07   ,1285.7  ,0  ,-20
23  ,1.368e+07   ,3000  ,200  ,-20
24  ,1.790e+07   ,3000  ,400  ,-20
25  ,2.008e+07   ,3000  ,600  ,-20
26  ,2.115e+07   ,3000  ,800  ,-20
27  ,2.219e+07   ,3000  ,1000  ,-20
28  ,2.283e+07   ,3000  ,1200  ,-20
29  ,2.272e+07   ,3000  ,1400  ,-20
30  ,2.342e+07   ,3000  ,1600  ,-20
31  ,2.352e+07   ,3000  ,1800  ,-20
32  ,2.365e+07   ,3000  ,2000  ,-20
33  ,2.383e+07   ,3000  ,2200  ,-20
34  ,2.369e+07   ,3000  ,2400  ,-20
35  ,2.391e+07   ,3000  ,2600  ,-20
36  ,2.372e+07   ,3000  ,2800  ,-20
37  ,2.364e+07   ,3000  ,3000  ,-20
38  ,2.391e+07   ,3000  ,3200  ,-20
39  ,2.395e+07   ,3000  ,3400  ,-20
40  ,2.369e+07   ,3000  ,3600  ,-20
41  ,2.376e+07   ,3000  ,3800  ,-20
42  ,2.379e+07   ,3000  ,4000  ,-20
43  ,2.385e+07   ,3000  ,4200  ,-20
44  ,2.395e+07   ,3000  ,4400  ,-20
45  ,2.371e+07   ,3000  ,4600  ,-20
46  ,2.383e+07   ,3000  ,4800  ,-20
47  ,2.380e+07   ,3000  ,5000  ,-20
48  ,2.375e+07   ,3000  ,5200  ,-20
49  ,2.374e+07   ,3000  ,5400  ,-20
50  ,2.378e+07   ,3000  ,5600  ,-20
51  ,2.389e+07   ,3000  ,5800  ,-20
52  ,2.348e+07   ,3000  ,6000  ,-20
53  ,2.391e+07   ,3000  ,6200  ,-20
54  ,2.383e+07   ,3000  ,6400  ,-20
55  ,2.365e+07   ,3000  ,6600  ,-20
56  ,2.413e+07   ,3000  ,6800  ,-20
57  ,2.391e+07   ,3000  ,7000  ,-20
58  ,2.404e+07   ,3000  ,7200  ,-20
59  ,2.408e+07   ,3000  ,7400  ,-20
60  ,2.393e+07   ,3000  ,7600  ,-20
61  ,2.453e+07   ,3000  ,7800  ,-20
62  ,2.414e+07   ,3000  ,8000  ,-20
63  ,2.422e+07   ,3000  ,8200  ,-20
64  ,2.411e+07   ,3000  ,8400  ,-20
65  ,2.363e+07   ,3000  ,8600  ,-20
66  ,2.343e+07   ,3000  ,8800  ,-20
67  ,2.279e+07   ,3000  ,9000  ,-20
68  ,2.193e+07   ,3000  ,9200  ,-20
69  ,2.025e+07   ,3000  ,9400  ,-20
70  ,1.736e+07   ,3000  ,9600  ,-20
71  ,1.539e+07   ,3000  ,9800  ,-20
72  ,2.918e+07   ,1714.3  ,0  ,-20
73  ,2.887e+07   ,1928.6  ,0  ,-20
74  ,2.853e+07   ,2142.9  ,0  ,-20
75  ,2.717e+07   ,2357.1  ,0  ,-20
76  ,2.420e+07   ,2571.4  ,0  ,-20
77  ,1.758e+07   ,2785.7  ,0  ,-20
78  ,1.397e+07   ,-1.1776E-12  ,200  ,-20
79  ,1.810e+07   ,-1.1776E-12  ,400  ,-20
80  ,2.033e+07   ,-1.1776E-12  ,600  ,-20
81  ,2.169e+07   ,-1.1776E-12  ,800  ,-20
82  ,2.281e+07   ,-1.1776E-12  ,1000  ,-20
83  ,2.296e+07   ,-1.1776E-12  ,1200  ,-20
84  ,2.372e+07   ,-1.1776E-12  ,1400  ,-20
85  ,2.403e+07   ,-1.1776E-12  ,1600  ,-20
86  ,2.433e+07   ,-1.1776E-12  ,1800  ,-20
87  ,2.418e+07   ,-1.1776E-12  ,2000  ,-20
88  ,2.401e+07   ,-1.1776E-12  ,2200  ,-20
89  ,2.417e+07   ,-1.1776E-12  ,2400  ,-20
90  ,2.408e+07   ,-1.1776E-12  ,2600  ,-20
91  ,2.383e+07   ,-1.1776E-12  ,2800  ,-20
92  ,2.353e+07   ,-1.1776E-12  ,3000  ,-20
93  ,2.402e+07   ,-1.1776E-12  ,3200  ,-20
94  ,2.347e+07   ,-1.1776E-12  ,3400  ,-20
95  ,2.386e+07   ,-1.1776E-12  ,3600  ,-20
96  ,2.373e+07   ,-1.1776E-12  ,3800  ,-20
97  ,2.374e+07   ,-1.1776E-12  ,4000  ,-20
98  ,2.396e+07   ,-1.1776E-12  ,4200  ,-20
99  ,2.372e+07   ,-1.1776E-12  ,4400  ,-20
100  ,2.374e+07   ,-1.1776E-12  ,4600  ,-20
101  ,2.331e+07   ,-1.1776E-12  ,4800  ,-20
102  ,2.354e+07   ,-1.1776E-12  ,5000  ,-20
103  ,2.398e+07   ,-1.1776E-12  ,5200  ,-20
104  ,2.375e+07   ,-1.1776E-12  ,5400  ,-20
105  ,2.367e+07   ,-1.1776E-12  ,5600  ,-20
106  ,2.372e+07   ,-1.1776E-12  ,5800  ,-20
107  ,2.366e+07   ,-1.1776E-12  ,6000  ,-20
108  ,2.365e+07   ,-1.1776E-12  ,6200  ,-20
109  ,2.366e+07   ,-1.1776E-12  ,6400  ,-20
110  ,2.368e+07   ,-1.1776E-12  ,6600  ,-20
111  ,2.331e+07   ,-1.1776E-12  ,6800  ,-20
112  ,2.393e+07   ,-1.1776E-12  ,7000  ,-20
113  ,2.352e+07   ,-1.1776E-12  ,7200  ,-20
114  ,2.322e+07   ,-1.1776E-12  ,7400  ,-20
115  ,2.385e+07   ,-1.1776E-12  ,7600  ,-20
116  ,2.324e+07   ,-1.1776E-12  ,7800  ,-20
117  ,2.325e+07   ,-1.1776E-12  ,8000  ,-20
118  ,2.338e+07   ,-1.1776E-12  ,8200  ,-20
119  ,2.288e+07   ,-1.1776E-12  ,8400  ,-20
120  ,2.222e+07   ,-1.1776E-12  ,8600  ,-20
121  ,2.222e+07   ,-1.1776E-12  ,8800  ,-20
122  ,2.122e+07   ,-1.1776E-12  ,9000  ,-20
123  ,2.015e+07   ,-1.1776E-12  ,9200  ,-20
124  ,1.792e+07   ,-1.1776E-12  ,9400  ,-20
125  ,1.439e+07   ,-1.1776E-12  ,9600  ,-20
126  ,1.136e+07   ,-1.1776E-12  ,9800  ,-20
127  ,1.691e+07   ,200  ,10000  ,-20
128  ,2.538e+07   ,400  ,10000  ,-20
129  ,2.912e+07   ,600  ,10000  ,-20
130  ,3.036e+07   ,800  ,10000  ,-20
131  ,3.020e+07   ,1000  ,10000  ,-20
132  ,2.926e+07   ,1200  ,10000  ,-20
133  ,2.944e+07   ,1400  ,10000  ,-20
134  ,2.899e+07   ,1600  ,10000  ,-20
135  ,2.849e+07   ,1800  ,10000  ,-20
136  ,2.791e+07   ,2000  ,10000  ,-20
137  ,2.663e+07   ,2200  ,10000  ,-20
138  ,2.467e+07   ,2400  ,10000  ,-20
139  ,2.213e+07   ,2600  ,10000  ,-20
140  ,1.632e+07   ,2800  ,10000  ,-20
141  ,2.005e+07   ,2813.7  ,312.27  ,-20
142  ,2.210e+07   ,2812.6  ,492.89  ,-20
143  ,2.312e+07   ,2826.8  ,700  ,-20
144  ,2.391e+07   ,2826.8  ,900  ,-20
145  ,2.455e+07   ,2826.8  ,1100  ,-20
146  ,2.456e+07   ,2826.8  ,1300  ,-20
147  ,2.460e+07   ,2826.8  ,1500  ,-20
148  ,2.435e+07   ,173.21  ,2300  ,-20
149  ,2.462e+07   ,173.21  ,2500  ,-20
150  ,2.443e+07   ,173.21  ,2700  ,-20
151  ,2.445e+07   ,173.21  ,2900  ,-20
152  ,2.435e+07   ,173.21  ,3100  ,-20
153  ,2.431e+07   ,173.21  ,3300  ,-20
154  ,2.432e+07   ,173.21  ,3500  ,-20
155  ,2.423e+07   ,173.21  ,3700  ,-20
156  ,2.416e+07   ,173.21  ,3900  ,-20
157  ,2.432e+07   ,173.21  ,4100  ,-20
158  ,2.431e+07   ,173.21  ,4500  ,-20
159  ,2.437e+07   ,2826.8  ,4700  ,-20
160  ,2.426e+07   ,173.21  ,4700  ,-20
161  ,2.413e+07   ,173.21  ,4900  ,-20
162  ,2.421e+07   ,2826.8  ,5300  ,-20
163  ,2.427e+07   ,173.21  ,5300  ,-20
164  ,2.437e+07   ,173.21  ,5700  ,-20
165  ,2.440e+07   ,2826.8  ,5900  ,-20
166  ,2.414e+07   ,173.21  ,5900  ,-20
167  ,2.432e+07   ,2826.8  ,6300  ,-20
168  ,2.430e+07   ,173.21  ,6500  ,-20
169  ,2.418e+07   ,173.21  ,6900  ,-20
170  ,2.428e+07   ,173.21  ,7100  ,-20
171  ,2.443e+07   ,2826.8  ,7300  ,-20
172  ,2.417e+07   ,173.21  ,7300  ,-20
173  ,2.420e+07   ,173.21  ,7500  ,-20
174  ,2.443e+07   ,173.21  ,7700  ,-20
175  ,2.420e+07   ,173.21  ,7900  ,-20
176  ,2.436e+07   ,173.21  ,8100  ,-20
177  ,2.415e+07   ,173.21  ,8300  ,-20
178  ,2.413e+07   ,173.21  ,8500  ,-20
179  ,3.081e+07   ,1300  ,9826.8  ,-20
180  ,3.076e+07   ,700  ,9826.8  ,-20
181  ,2.788e+07   ,491.39  ,9816.8  ,-20
182  ,1.976e+07   ,173.21  ,9500  ,-20
183  ,2.030e+07   ,277.99  ,9823.5  ,-20
184  ,3.018e+07   ,1607.1  ,170.09  ,-20
185  ,3.067e+07   ,1821.4  ,170.09  ,-20
186  ,3.050e+07   ,2035.7  ,170.09  ,-20
187  ,2.974e+07   ,2250  ,170.09  ,-20
188  ,2.772e+07   ,2465.3  ,171.46  ,-20
189  ,2.217e+07   ,2678.6  ,170.09  ,-20
190  ,2.434e+07   ,2826.8  ,6500  ,-20
191  ,2.452e+07   ,2826.8  ,2300  ,-20
192  ,2.444e+07   ,2826.8  ,2100  ,-20
193  ,1.744e+07   ,186.31  ,312.27  ,-20
194  ,2.446e+07   ,2826.8  ,1900  ,-20
195  ,1.945e+07   ,187.42  ,492.89  ,-20
196  ,2.086e+07   ,173.21  ,700  ,-20
197  ,2.190e+07   ,173.21  ,900  ,-20
198  ,2.452e+07   ,2826.8  ,1700  ,-20
199  ,2.052e+07   ,321.43  ,170.09  ,-20
200  ,2.878e+07   ,1178.6  ,170.09  ,-20
201  ,2.380e+07   ,534.76  ,171.49  ,-20
202  ,2.632e+07   ,750  ,170.09  ,-20
203  ,2.963e+07   ,1392.9  ,170.09  ,-20
204  ,2.783e+07   ,964.29  ,170.09  ,-20
205  ,2.292e+07   ,173.21  ,1100  ,-20
206  ,2.337e+07   ,173.21  ,1300  ,-20
207  ,2.402e+07   ,173.21  ,1500  ,-20
208  ,2.434e+07   ,173.21  ,1700  ,-20
209  ,2.443e+07   ,173.21  ,1900  ,-20
210  ,2.460e+07   ,173.21  ,2100  ,-20
211  ,2.431e+07   ,2826.8  ,2500  ,-20
212  ,2.441e+07   ,2826.8  ,2700  ,-20
213  ,2.448e+07   ,2826.8  ,2900  ,-20
214  ,2.422e+07   ,2826.8  ,3100  ,-20
215  ,2.448e+07   ,2826.8  ,3300  ,-20
216  ,2.425e+07   ,2826.8  ,3500  ,-20
217  ,2.430e+07   ,2826.8  ,3700  ,-20
218  ,2.418e+07   ,2826.8  ,3900  ,-20
219  ,2.439e+07   ,2826.8  ,4100  ,-20
220  ,2.435e+07   ,2826.8  ,4300  ,-20
221  ,2.424e+07   ,173.21  ,4300  ,-20
222  ,2.426e+07   ,2826.8  ,4500  ,-20
223  ,2.440e+07   ,2826.8  ,4900  ,-20
224  ,2.417e+07   ,2826.8  ,5100  ,-20
225  ,2.423e+07   ,173.21  ,5100  ,-20
226  ,2.429e+07   ,2826.8  ,5500  ,-20
227  ,2.419e+07   ,173.21  ,5500  ,-20
228  ,2.421e+07   ,2826.8  ,5700  ,-20
229  ,2.430e+07   ,2826.8  ,6100  ,-20
230  ,2.415e+07   ,173.21  ,6100  ,-20
231  ,2.417e+07   ,173.21  ,6300  ,-20
232  ,2.433e+07   ,2826.8  ,6700  ,-20
233  ,2.437e+07   ,173.21  ,6700  ,-20
234  ,2.450e+07   ,2826.8  ,6900  ,-20
235  ,2.471e+07   ,2826.8  ,7100  ,-20
236  ,2.443e+07   ,2826.8  ,7500  ,-20
237  ,2.471e+07   ,2826.8  ,7700  ,-20
238  ,2.449e+07   ,2826.8  ,7900  ,-20
239  ,2.449e+07   ,2826.8  ,8100  ,-20
