Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,3.256e+07   ,1500  ,0  ,30
2  ,3.252e+07   ,1500  ,0  ,-30
3  ,7.648e+06   ,-1.1776E-12  ,0  ,30
4  ,9.443e+06   ,-1.1776E-12  ,0  ,-30
5  ,9.451e+06   ,3000  ,0  ,-30
6  ,7.388e+06   ,3000  ,10000  ,-30
7  ,9.121e+06   ,-1.1776E-12  ,10000  ,-30
8  ,9.337e+06   ,-1.1776E-12  ,10000  ,30
9  ,7.603e+06   ,3000  ,0  ,30
10  ,9.318e+06   ,3000  ,10000  ,30
11  ,1.587e+07   ,214.29  ,0  ,30
12  ,2.221e+07   ,428.57  ,0  ,30
13  ,2.607e+07   ,642.86  ,0  ,30
14  ,2.816e+07   ,857.14  ,0  ,30
15  ,2.932e+07   ,1071.4  ,0  ,30
16  ,2.913e+07   ,1285.7  ,0  ,30
17  ,1.487e+07   ,214.29  ,0  ,-30
18  ,2.042e+07   ,428.57  ,0  ,-30
19  ,2.392e+07   ,642.86  ,0  ,-30
20  ,2.664e+07   ,857.14  ,0  ,-30
21  ,2.789e+07   ,1071.4  ,0  ,-30
22  ,2.967e+07   ,1285.7  ,0  ,-30
23  ,1.174e+07   ,3000  ,200  ,-30
24  ,1.619e+07   ,3000  ,400  ,-30
25  ,1.869e+07   ,3000  ,600  ,-30
26  ,1.980e+07   ,3000  ,800  ,-30
27  ,2.111e+07   ,3000  ,1000  ,-30
28  ,2.183e+07   ,3000  ,1200  ,-30
29  ,2.249e+07   ,3000  ,1400  ,-30
30  ,2.266e+07   ,3000  ,1600  ,-30
31  ,2.270e+07   ,3000  ,1800  ,-30
32  ,2.316e+07   ,3000  ,2000  ,-30
33  ,2.296e+07   ,3000  ,2200  ,-30
34  ,2.316e+07   ,3000  ,2400  ,-30
35  ,2.325e+07   ,3000  ,2600  ,-30
36  ,2.325e+07   ,3000  ,2800  ,-30
37  ,2.279e+07   ,3000  ,3000  ,-30
