Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,1.381e+07   ,1500  ,0  ,40
2  ,1.329e+07   ,1500  ,0  ,-40
3  ,1.459e+06   ,-1.1776E-12  ,0  ,40
4  ,2.028e+06   ,-1.1776E-12  ,0  ,-40
5  ,1.855e+06   ,3000  ,0  ,-40
6  ,1.806e+06   ,3000  ,10000  ,-40
7  ,2.002e+06   ,-1.1776E-12  ,10000  ,-40
8  ,1.416e+06   ,-1.1776E-12  ,10000  ,40
9  ,1.365e+06   ,3000  ,0  ,40
10  ,1.366e+06   ,3000  ,10000  ,40
11  ,3.339e+06   ,214.29  ,0  ,40
12  ,5.060e+06   ,428.57  ,0  ,40
13  ,5.555e+06   ,642.86  ,0  ,40
14  ,6.346e+06   ,857.14  ,0  ,40
15  ,6.418e+06   ,1071.4  ,0  ,40
16  ,7.259e+06   ,1285.7  ,0  ,40
17  ,3.623e+06   ,214.29  ,0  ,-40
18  ,4.702e+06   ,428.57  ,0  ,-40
19  ,5.765e+06   ,642.86  ,0  ,-40
20  ,5.893e+06   ,857.14  ,0  ,-40
21  ,6.597e+06   ,1071.4  ,0  ,-40
22  ,8.775e+06   ,1285.7  ,0  ,-40
23  ,2.364e+06   ,3000  ,200  ,-40
24  ,3.454e+06   ,3000  ,400  ,-40
25  ,3.956e+06   ,3000  ,600  ,-40
26  ,4.329e+06   ,3000  ,800  ,-40
27  ,4.392e+06   ,3000  ,1000  ,-40
28  ,4.915e+06   ,3000  ,1200  ,-40
29  ,5.046e+06   ,3000  ,1400  ,-40
30  ,5.335e+06   ,3000  ,1600  ,-40
31  ,4.921e+06   ,3000  ,1800  ,-40
32  ,5.307e+06   ,3000  ,2000  ,-40
33  ,5.046e+06   ,3000  ,2200  ,-40
34  ,5.387e+06   ,3000  ,2400  ,-40
35  ,5.298e+06   ,3000  ,2600  ,-40
36  ,5.103e+06   ,3000  ,2800  ,-40
37  ,5.425e+06   ,3000  ,3000  ,-40
38  ,5.096e+06   ,3000  ,3200  ,-40
39  ,5.608e+06   ,3000  ,3400  ,-40
40  ,5.270e+06   ,3000  ,3600  ,-40
41  ,5.433e+06   ,3000  ,3800  ,-40
42  ,5.578e+06   ,3000  ,4000  ,-40
43  ,5.447e+06   ,3000  ,4200  ,-40
44  ,5.486e+06   ,3000  ,4400  ,-40
45  ,5.117e+06   ,3000  ,4600  ,-40
46  ,5.517e+06   ,3000  ,4800  ,-40
47  ,5.380e+06   ,3000  ,5000  ,-40
48  ,5.343e+06   ,3000  ,5200  ,-40
49  ,5.137e+06   ,3000  ,5400  ,-40
50  ,5.347e+06   ,3000  ,5600  ,-40
51  ,5.467e+06   ,3000  ,5800  ,-40
52  ,5.230e+06   ,3000  ,6000  ,-40
53  ,5.521e+06   ,3000  ,6200  ,-40
54  ,5.343e+06   ,3000  ,6400  ,-40
55  ,5.134e+06   ,3000  ,6600  ,-40
56  ,5.459e+06   ,3000  ,6800  ,-40
57  ,5.416e+06   ,3000  ,7000  ,-40
58  ,5.369e+06   ,3000  ,7200  ,-40
59  ,5.443e+06   ,3000  ,7400  ,-40
60  ,5.070e+06   ,3000  ,7600  ,-40
61  ,5.511e+06   ,3000  ,7800  ,-40
62  ,5.289e+06   ,3000  ,8000  ,-40
63  ,5.223e+06   ,3000  ,8200  ,-40
64  ,4.911e+06   ,3000  ,8400  ,-40
65  ,5.307e+06   ,3000  ,8600  ,-40
66  ,4.856e+06   ,3000  ,8800  ,-40
67  ,4.828e+06   ,3000  ,9000  ,-40
68  ,4.569e+06   ,3000  ,9200  ,-40
69  ,4.207e+06   ,3000  ,9400  ,-40
70  ,3.632e+06   ,3000  ,9600  ,-40
71  ,2.996e+06   ,3000  ,9800  ,-40
72  ,8.720e+06   ,1714.3  ,0  ,-40
73  ,6.624e+06   ,1928.6  ,0  ,-40
74  ,5.999e+06   ,2142.9  ,0  ,-40
75  ,5.675e+06   ,2357.1  ,0  ,-40
76  ,4.963e+06   ,2571.4  ,0  ,-40
77  ,3.130e+06   ,2785.7  ,0  ,-40
78  ,2.786e+06   ,-1.1776E-12  ,200  ,-40
79  ,3.534e+06   ,-1.1776E-12  ,400  ,-40
80  ,4.164e+06   ,-1.1776E-12  ,600  ,-40
81  ,4.452e+06   ,-1.1776E-12  ,800  ,-40
82  ,4.608e+06   ,-1.1776E-12  ,1000  ,-40
83  ,4.935e+06   ,-1.1776E-12  ,1200  ,-40
84  ,5.000e+06   ,-1.1776E-12  ,1400  ,-40
85  ,5.345e+06   ,-1.1776E-12  ,1600  ,-40
86  ,5.014e+06   ,-1.1776E-12  ,1800  ,-40
87  ,5.431e+06   ,-1.1776E-12  ,2000  ,-40
88  ,5.375e+06   ,-1.1776E-12  ,2200  ,-40
89  ,5.401e+06   ,-1.1776E-12  ,2400  ,-40
90  ,5.361e+06   ,-1.1776E-12  ,2600  ,-40
91  ,5.130e+06   ,-1.1776E-12  ,2800  ,-40
92  ,5.452e+06   ,-1.1776E-12  ,3000  ,-40
93  ,5.365e+06   ,-1.1776E-12  ,3200  ,-40
94  ,5.441e+06   ,-1.1776E-12  ,3400  ,-40
95  ,5.267e+06   ,-1.1776E-12  ,3600  ,-40
96  ,5.437e+06   ,-1.1776E-12  ,3800  ,-40
97  ,5.436e+06   ,-1.1776E-12  ,4000  ,-40
98  ,5.333e+06   ,-1.1776E-12  ,4200  ,-40
99  ,5.638e+06   ,-1.1776E-12  ,4400  ,-40
100  ,5.455e+06   ,-1.1776E-12  ,4600  ,-40
101  ,5.439e+06   ,-1.1776E-12  ,4800  ,-40
102  ,5.391e+06   ,-1.1776E-12  ,5000  ,-40
103  ,5.364e+06   ,-1.1776E-12  ,5200  ,-40
104  ,5.445e+06   ,-1.1776E-12  ,5400  ,-40
105  ,5.441e+06   ,-1.1776E-12  ,5600  ,-40
106  ,5.440e+06   ,-1.1776E-12  ,5800  ,-40
107  ,5.391e+06   ,-1.1776E-12  ,6000  ,-40
108  ,5.355e+06   ,-1.1776E-12  ,6200  ,-40
109  ,5.353e+06   ,-1.1776E-12  ,6400  ,-40
110  ,5.342e+06   ,-1.1776E-12  ,6600  ,-40
111  ,5.141e+06   ,-1.1776E-12  ,6800  ,-40
112  ,5.519e+06   ,-1.1776E-12  ,7000  ,-40
113  ,5.415e+06   ,-1.1776E-12  ,7200  ,-40
114  ,5.414e+06   ,-1.1776E-12  ,7400  ,-40
115  ,5.223e+06   ,-1.1776E-12  ,7600  ,-40
116  ,5.376e+06   ,-1.1776E-12  ,7800  ,-40
117  ,5.438e+06   ,-1.1776E-12  ,8000  ,-40
118  ,5.130e+06   ,-1.1776E-12  ,8200  ,-40
119  ,5.378e+06   ,-1.1776E-12  ,8400  ,-40
120  ,5.001e+06   ,-1.1776E-12  ,8600  ,-40
121  ,5.042e+06   ,-1.1776E-12  ,8800  ,-40
122  ,4.864e+06   ,-1.1776E-12  ,9000  ,-40
123  ,4.623e+06   ,-1.1776E-12  ,9200  ,-40
124  ,4.176e+06   ,-1.1776E-12  ,9400  ,-40
125  ,3.551e+06   ,-1.1776E-12  ,9600  ,-40
