Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,4.686e+06   ,1500  ,0  ,25
2  ,4.705e+06   ,1500  ,0  ,-25
3  ,1.494e+06   ,-1.1776E-12  ,0  ,25
4  ,1.782e+06   ,-1.1776E-12  ,0  ,-25
5  ,1.682e+06   ,3000  ,0  ,-25
6  ,1.476e+06   ,3000  ,10000  ,-25
7  ,1.924e+06   ,-1.1776E-12  ,10000  ,-25
8  ,1.873e+06   ,-1.1776E-12  ,10000  ,25
9  ,1.734e+06   ,3000  ,0  ,25
10  ,1.734e+06   ,3000  ,10000  ,25
11  ,2.669e+06   ,214.29  ,0  ,25
12  ,3.763e+06   ,428.57  ,0  ,25
13  ,4.443e+06   ,642.86  ,0  ,25
14  ,4.741e+06   ,857.14  ,0  ,25
15  ,4.825e+06   ,1071.4  ,0  ,25
16  ,4.724e+06   ,1285.7  ,0  ,25
17  ,2.877e+06   ,214.29  ,0  ,-25
18  ,3.847e+06   ,428.57  ,0  ,-25
19  ,4.305e+06   ,642.86  ,0  ,-25
20  ,4.645e+06   ,857.14  ,0  ,-25
21  ,4.763e+06   ,1071.4  ,0  ,-25
22  ,4.799e+06   ,1285.7  ,0  ,-25
23  ,2.014e+06   ,3000  ,200  ,-25
24  ,2.818e+06   ,3000  ,400  ,-25
25  ,3.284e+06   ,3000  ,600  ,-25
26  ,3.499e+06   ,3000  ,800  ,-25
27  ,3.609e+06   ,3000  ,1000  ,-25
28  ,3.821e+06   ,3000  ,1200  ,-25
29  ,3.770e+06   ,3000  ,1400  ,-25
30  ,3.948e+06   ,3000  ,1600  ,-25
31  ,3.929e+06   ,3000  ,1800  ,-25
32  ,3.954e+06   ,3000  ,2000  ,-25
33  ,3.990e+06   ,3000  ,2200  ,-25
34  ,3.921e+06   ,3000  ,2400  ,-25
35  ,4.097e+06   ,3000  ,2600  ,-25
36  ,3.981e+06   ,3000  ,2800  ,-25
37  ,4.026e+06   ,3000  ,3000  ,-25
38  ,4.043e+06   ,3000  ,3200  ,-25
39  ,3.897e+06   ,3000  ,3400  ,-25
40  ,4.068e+06   ,3000  ,3600  ,-25
41  ,4.009e+06   ,3000  ,3800  ,-25
42  ,4.047e+06   ,3000  ,4000  ,-25
43  ,4.024e+06   ,3000  ,4200  ,-25
44  ,3.986e+06   ,3000  ,4400  ,-25
45  ,4.043e+06   ,3000  ,4600  ,-25
46  ,3.937e+06   ,3000  ,4800  ,-25
47  ,4.057e+06   ,3000  ,5000  ,-25
48  ,4.048e+06   ,3000  ,5200  ,-25
49  ,4.006e+06   ,3000  ,5400  ,-25
50  ,4.002e+06   ,3000  ,5600  ,-25
51  ,4.031e+06   ,3000  ,5800  ,-25
52  ,4.041e+06   ,3000  ,6000  ,-25
53  ,3.893e+06   ,3000  ,6200  ,-25
54  ,4.062e+06   ,3000  ,6400  ,-25
55  ,3.995e+06   ,3000  ,6600  ,-25
