Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,4.658e+07   ,1500  ,0  ,30
2  ,4.648e+07   ,1500  ,0  ,-30
3  ,1.082e+07   ,-1.1776E-12  ,0  ,30
4  ,1.346e+07   ,-1.1776E-12  ,0  ,-30
5  ,1.328e+07   ,3000  ,0  ,-30
6  ,1.049e+07   ,3000  ,10000  ,-30
7  ,1.301e+07   ,-1.1776E-12  ,10000  ,-30
8  ,1.336e+07   ,-1.1776E-12  ,10000  ,30
9  ,1.077e+07   ,3000  ,0  ,30
10  ,1.315e+07   ,3000  ,10000  ,30
11  ,2.256e+07   ,214.29  ,0  ,30
12  ,3.162e+07   ,428.57  ,0  ,30
13  ,3.724e+07   ,642.86  ,0  ,30
14  ,4.025e+07   ,857.14  ,0  ,30
15  ,4.193e+07   ,1071.4  ,0  ,30
16  ,4.167e+07   ,1285.7  ,0  ,30
17  ,2.102e+07   ,214.29  ,0  ,-30
18  ,2.867e+07   ,428.57  ,0  ,-30
19  ,3.351e+07   ,642.86  ,0  ,-30
20  ,3.738e+07   ,857.14  ,0  ,-30
21  ,3.931e+07   ,1071.4  ,0  ,-30
22  ,4.201e+07   ,1285.7  ,0  ,-30
23  ,1.658e+07   ,3000  ,200  ,-30
24  ,2.287e+07   ,3000  ,400  ,-30
25  ,2.639e+07   ,3000  ,600  ,-30
26  ,2.796e+07   ,3000  ,800  ,-30
27  ,2.978e+07   ,3000  ,1000  ,-30
28  ,3.080e+07   ,3000  ,1200  ,-30
29  ,3.174e+07   ,3000  ,1400  ,-30
30  ,3.196e+07   ,3000  ,1600  ,-30
31  ,3.200e+07   ,3000  ,1800  ,-30
32  ,3.268e+07   ,3000  ,2000  ,-30
33  ,3.235e+07   ,3000  ,2200  ,-30
34  ,3.265e+07   ,3000  ,2400  ,-30
35  ,3.276e+07   ,3000  ,2600  ,-30
36  ,3.276e+07   ,3000  ,2800  ,-30
37  ,3.215e+07   ,3000  ,3000  ,-30
38  ,3.291e+07   ,3000  ,3200  ,-30
39  ,3.208e+07   ,3000  ,3400  ,-30
40  ,3.284e+07   ,3000  ,3600  ,-30
41  ,3.243e+07   ,3000  ,3800  ,-30
42  ,3.172e+07   ,3000  ,4000  ,-30
43  ,3.292e+07   ,3000  ,4200  ,-30
44  ,3.270e+07   ,3000  ,4400  ,-30
45  ,3.265e+07   ,3000  ,4600  ,-30
46  ,3.284e+07   ,3000  ,4800  ,-30
47  ,3.134e+07   ,3000  ,5000  ,-30
48  ,3.336e+07   ,3000  ,5200  ,-30
49  ,3.303e+07   ,3000  ,5400  ,-30
50  ,3.224e+07   ,3000  ,5600  ,-30
51  ,3.163e+07   ,3000  ,5800  ,-30
52  ,3.223e+07   ,3000  ,6000  ,-30
53  ,3.284e+07   ,3000  ,6200  ,-30
54  ,3.288e+07   ,3000  ,6400  ,-30
55  ,3.323e+07   ,3000  ,6600  ,-30
56  ,3.264e+07   ,3000  ,6800  ,-30
57  ,3.138e+07   ,3000  ,7000  ,-30
58  ,3.361e+07   ,3000  ,7200  ,-30
59  ,3.242e+07   ,3000  ,7400  ,-30
60  ,3.249e+07   ,3000  ,7600  ,-30
61  ,3.249e+07   ,3000  ,7800  ,-30
62  ,3.240e+07   ,3000  ,8000  ,-30
63  ,3.163e+07   ,3000  ,8200  ,-30
64  ,3.197e+07   ,3000  ,8400  ,-30
65  ,3.145e+07   ,3000  ,8600  ,-30
66  ,3.027e+07   ,3000  ,8800  ,-30
67  ,2.962e+07   ,3000  ,9000  ,-30
68  ,2.743e+07   ,3000  ,9200  ,-30
69  ,2.538e+07   ,3000  ,9400  ,-30
70  ,2.148e+07   ,3000  ,9600  ,-30
71  ,1.816e+07   ,3000  ,9800  ,-30
72  ,4.137e+07   ,1714.3  ,0  ,-30
73  ,4.103e+07   ,1928.6  ,0  ,-30
74  ,4.016e+07   ,2142.9  ,0  ,-30
75  ,3.786e+07   ,2357.1  ,0  ,-30
76  ,3.199e+07   ,2571.4  ,0  ,-30
77  ,2.209e+07   ,2785.7  ,0  ,-30
78  ,1.493e+07   ,-1.1776E-12  ,200  ,-30
79  ,2.201e+07   ,-1.1776E-12  ,400  ,-30
80  ,2.449e+07   ,-1.1776E-12  ,600  ,-30
81  ,2.731e+07   ,-1.1776E-12  ,800  ,-30
82  ,2.930e+07   ,-1.1776E-12  ,1000  ,-30
83  ,3.014e+07   ,-1.1776E-12  ,1200  ,-30
84  ,3.132e+07   ,-1.1776E-12  ,1400  ,-30
85  ,3.070e+07   ,-1.1776E-12  ,1600  ,-30
86  ,3.292e+07   ,-1.1776E-12  ,1800  ,-30
87  ,3.151e+07   ,-1.1776E-12  ,2000  ,-30
88  ,3.280e+07   ,-1.1776E-12  ,2200  ,-30
89  ,3.287e+07   ,-1.1776E-12  ,2400  ,-30
90  ,3.202e+07   ,-1.1776E-12  ,2600  ,-30
91  ,3.242e+07   ,-1.1776E-12  ,2800  ,-30
92  ,3.363e+07   ,-1.1776E-12  ,3000  ,-30
93  ,3.226e+07   ,-1.1776E-12  ,3200  ,-30
94  ,3.151e+07   ,-1.1776E-12  ,3400  ,-30
95  ,3.350e+07   ,-1.1776E-12  ,3600  ,-30
96  ,3.290e+07   ,-1.1776E-12  ,3800  ,-30
97  ,3.268e+07   ,-1.1776E-12  ,4000  ,-30
98  ,3.279e+07   ,-1.1776E-12  ,4200  ,-30
99  ,3.223e+07   ,-1.1776E-12  ,4400  ,-30
100  ,3.209e+07   ,-1.1776E-12  ,4600  ,-30
101  ,3.322e+07   ,-1.1776E-12  ,4800  ,-30
102  ,3.276e+07   ,-1.1776E-12  ,5000  ,-30
103  ,3.272e+07   ,-1.1776E-12  ,5200  ,-30
104  ,3.172e+07   ,-1.1776E-12  ,5400  ,-30
105  ,3.317e+07   ,-1.1776E-12  ,5600  ,-30
106  ,3.291e+07   ,-1.1776E-12  ,5800  ,-30
107  ,3.194e+07   ,-1.1776E-12  ,6000  ,-30
108  ,3.319e+07   ,-1.1776E-12  ,6200  ,-30
109  ,3.241e+07   ,-1.1776E-12  ,6400  ,-30
110  ,3.154e+07   ,-1.1776E-12  ,6600  ,-30
111  ,3.346e+07   ,-1.1776E-12  ,6800  ,-30
112  ,3.245e+07   ,-1.1776E-12  ,7000  ,-30
113  ,3.209e+07   ,-1.1776E-12  ,7200  ,-30
