Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,4.946e+07   ,1500  ,0  ,35
2  ,4.717e+07   ,1500  ,0  ,-35
3  ,9.566e+06   ,-1.1776E-12  ,0  ,35
4  ,9.789e+06   ,-1.1776E-12  ,0  ,-35
5  ,8.661e+06   ,3000  ,0  ,-35
6  ,8.991e+06   ,3000  ,10000  ,-35
7  ,1.016e+07   ,-1.1776E-12  ,10000  ,-35
8  ,9.727e+06   ,-1.1776E-12  ,10000  ,35
9  ,8.638e+06   ,3000  ,0  ,35
10  ,8.502e+06   ,3000  ,10000  ,35
11  ,1.729e+07   ,214.29  ,0  ,35
12  ,2.422e+07   ,428.57  ,0  ,35
13  ,2.789e+07   ,642.86  ,0  ,35
14  ,2.999e+07   ,857.14  ,0  ,35
15  ,3.152e+07   ,1071.4  ,0  ,35
16  ,3.613e+07   ,1285.7  ,0  ,35
17  ,1.532e+07   ,214.29  ,0  ,-35
18  ,2.254e+07   ,428.57  ,0  ,-35
19  ,2.605e+07   ,642.86  ,0  ,-35
20  ,2.808e+07   ,857.14  ,0  ,-35
21  ,2.940e+07   ,1071.4  ,0  ,-35
22  ,3.129e+07   ,1285.7  ,0  ,-35
23  ,1.076e+07   ,3000  ,200  ,-35
24  ,1.670e+07   ,3000  ,400  ,-35
25  ,1.964e+07   ,3000  ,600  ,-35
26  ,2.007e+07   ,3000  ,800  ,-35
27  ,2.241e+07   ,3000  ,1000  ,-35
28  ,2.230e+07   ,3000  ,1200  ,-35
29  ,2.399e+07   ,3000  ,1400  ,-35
30  ,2.374e+07   ,3000  ,1600  ,-35
31  ,2.546e+07   ,3000  ,1800  ,-35
32  ,2.454e+07   ,3000  ,2000  ,-35
33  ,2.402e+07   ,3000  ,2200  ,-35
34  ,2.493e+07   ,3000  ,2400  ,-35
35  ,2.579e+07   ,3000  ,2600  ,-35
36  ,2.398e+07   ,3000  ,2800  ,-35
37  ,2.559e+07   ,3000  ,3000  ,-35
38  ,2.625e+07   ,3000  ,3200  ,-35
39  ,2.457e+07   ,3000  ,3400  ,-35
40  ,2.544e+07   ,3000  ,3600  ,-35
41  ,2.592e+07   ,3000  ,3800  ,-35
42  ,2.539e+07   ,3000  ,4000  ,-35
43  ,2.480e+07   ,3000  ,4200  ,-35
44  ,2.574e+07   ,3000  ,4400  ,-35
45  ,2.530e+07   ,3000  ,4600  ,-35
46  ,2.439e+07   ,3000  ,4800  ,-35
47  ,2.502e+07   ,3000  ,5000  ,-35
48  ,2.618e+07   ,3000  ,5200  ,-35
49  ,2.537e+07   ,3000  ,5400  ,-35
50  ,2.442e+07   ,3000  ,5600  ,-35
51  ,2.518e+07   ,3000  ,5800  ,-35
52  ,2.519e+07   ,3000  ,6000  ,-35
53  ,2.520e+07   ,3000  ,6200  ,-35
54  ,2.517e+07   ,3000  ,6400  ,-35
55  ,2.503e+07   ,3000  ,6600  ,-35
56  ,2.566e+07   ,3000  ,6800  ,-35
57  ,2.606e+07   ,3000  ,7000  ,-35
58  ,2.572e+07   ,3000  ,7200  ,-35
59  ,2.518e+07   ,3000  ,7400  ,-35
60  ,2.470e+07   ,3000  ,7600  ,-35
61  ,2.600e+07   ,3000  ,7800  ,-35
62  ,2.374e+07   ,3000  ,8000  ,-35
63  ,2.538e+07   ,3000  ,8200  ,-35
64  ,2.359e+07   ,3000  ,8400  ,-35
65  ,2.388e+07   ,3000  ,8600  ,-35
66  ,2.355e+07   ,3000  ,8800  ,-35
