Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,2.445e+07   ,1500  ,0  ,25
2  ,2.463e+07   ,1500  ,0  ,-25
3  ,7.556e+06   ,-1.1776E-12  ,0  ,25
4  ,9.182e+06   ,-1.1776E-12  ,0  ,-25
5  ,8.555e+06   ,3000  ,0  ,-25
6  ,7.528e+06   ,3000  ,10000  ,-25
7  ,9.759e+06   ,-1.1776E-12  ,10000  ,-25
8  ,9.586e+06   ,-1.1776E-12  ,10000  ,25
9  ,8.977e+06   ,3000  ,0  ,25
10  ,8.797e+06   ,3000  ,10000  ,25
11  ,1.371e+07   ,214.29  ,0  ,25
12  ,1.949e+07   ,428.57  ,0  ,25
13  ,2.308e+07   ,642.86  ,0  ,25
14  ,2.454e+07   ,857.14  ,0  ,25
15  ,2.493e+07   ,1071.4  ,0  ,25
16  ,2.442e+07   ,1285.7  ,0  ,25
17  ,1.457e+07   ,214.29  ,0  ,-25
18  ,1.929e+07   ,428.57  ,0  ,-25
19  ,2.147e+07   ,642.86  ,0  ,-25
20  ,2.326e+07   ,857.14  ,0  ,-25
21  ,2.403e+07   ,1071.4  ,0  ,-25
22  ,2.461e+07   ,1285.7  ,0  ,-25
23  ,1.033e+07   ,3000  ,200  ,-25
24  ,1.444e+07   ,3000  ,400  ,-25
25  ,1.675e+07   ,3000  ,600  ,-25
26  ,1.778e+07   ,3000  ,800  ,-25
27  ,1.833e+07   ,3000  ,1000  ,-25
28  ,1.938e+07   ,3000  ,1200  ,-25
29  ,1.914e+07   ,3000  ,1400  ,-25
30  ,2.000e+07   ,3000  ,1600  ,-25
31  ,1.989e+07   ,3000  ,1800  ,-25
32  ,2.000e+07   ,3000  ,2000  ,-25
33  ,2.012e+07   ,3000  ,2200  ,-25
34  ,1.984e+07   ,3000  ,2400  ,-25
35  ,2.067e+07   ,3000  ,2600  ,-25
36  ,2.010e+07   ,3000  ,2800  ,-25
37  ,2.027e+07   ,3000  ,3000  ,-25
38  ,2.039e+07   ,3000  ,3200  ,-25
39  ,1.967e+07   ,3000  ,3400  ,-25
40  ,2.050e+07   ,3000  ,3600  ,-25
41  ,2.020e+07   ,3000  ,3800  ,-25
42  ,2.038e+07   ,3000  ,4000  ,-25
43  ,2.026e+07   ,3000  ,4200  ,-25
44  ,2.008e+07   ,3000  ,4400  ,-25
45  ,2.034e+07   ,3000  ,4600  ,-25
46  ,1.980e+07   ,3000  ,4800  ,-25
47  ,2.046e+07   ,3000  ,5000  ,-25
48  ,2.037e+07   ,3000  ,5200  ,-25
49  ,2.013e+07   ,3000  ,5400  ,-25
50  ,2.019e+07   ,3000  ,5600  ,-25
51  ,2.027e+07   ,3000  ,5800  ,-25
52  ,2.037e+07   ,3000  ,6000  ,-25
53  ,1.965e+07   ,3000  ,6200  ,-25
54  ,2.048e+07   ,3000  ,6400  ,-25
55  ,2.016e+07   ,3000  ,6600  ,-25
56  ,2.014e+07   ,3000  ,6800  ,-25
57  ,1.990e+07   ,3000  ,7000  ,-25
58  ,2.026e+07   ,3000  ,7200  ,-25
59  ,2.020e+07   ,3000  ,7400  ,-25
60  ,2.027e+07   ,3000  ,7600  ,-25
61  ,2.022e+07   ,3000  ,7800  ,-25
62  ,2.013e+07   ,3000  ,8000  ,-25
