Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,9.607e+07   ,1500  ,0  ,40
2  ,9.272e+07   ,1500  ,0  ,-40
3  ,1.035e+07   ,-1.1776E-12  ,0  ,40
4  ,1.485e+07   ,-1.1776E-12  ,0  ,-40
5  ,1.349e+07   ,3000  ,0  ,-40
6  ,1.333e+07   ,3000  ,10000  ,-40
7  ,1.471e+07   ,-1.1776E-12  ,10000  ,-40
8  ,1.054e+07   ,-1.1776E-12  ,10000  ,40
9  ,1.027e+07   ,3000  ,0  ,40
10  ,9.875e+06   ,3000  ,10000  ,40
11  ,2.394e+07   ,214.29  ,0  ,40
12  ,3.659e+07   ,428.57  ,0  ,40
13  ,4.039e+07   ,642.86  ,0  ,40
14  ,4.616e+07   ,857.14  ,0  ,40
15  ,4.685e+07   ,1071.4  ,0  ,40
16  ,5.319e+07   ,1285.7  ,0  ,40
17  ,2.528e+07   ,214.29  ,0  ,-40
18  ,3.274e+07   ,428.57  ,0  ,-40
19  ,3.996e+07   ,642.86  ,0  ,-40
20  ,4.046e+07   ,857.14  ,0  ,-40
21  ,4.530e+07   ,1071.4  ,0  ,-40
22  ,5.970e+07   ,1285.7  ,0  ,-40
23  ,1.727e+07   ,3000  ,200  ,-40
24  ,2.508e+07   ,3000  ,400  ,-40
25  ,2.862e+07   ,3000  ,600  ,-40
26  ,3.116e+07   ,3000  ,800  ,-40
27  ,3.156e+07   ,3000  ,1000  ,-40
28  ,3.515e+07   ,3000  ,1200  ,-40
29  ,3.609e+07   ,3000  ,1400  ,-40
30  ,3.814e+07   ,3000  ,1600  ,-40
31  ,3.520e+07   ,3000  ,1800  ,-40
32  ,3.785e+07   ,3000  ,2000  ,-40
33  ,3.599e+07   ,3000  ,2200  ,-40
34  ,3.839e+07   ,3000  ,2400  ,-40
35  ,3.770e+07   ,3000  ,2600  ,-40
36  ,3.636e+07   ,3000  ,2800  ,-40
37  ,3.860e+07   ,3000  ,3000  ,-40
38  ,3.625e+07   ,3000  ,3200  ,-40
39  ,3.977e+07   ,3000  ,3400  ,-40
40  ,3.748e+07   ,3000  ,3600  ,-40
41  ,3.862e+07   ,3000  ,3800  ,-40
42  ,3.962e+07   ,3000  ,4000  ,-40
43  ,3.871e+07   ,3000  ,4200  ,-40
44  ,3.905e+07   ,3000  ,4400  ,-40
45  ,3.645e+07   ,3000  ,4600  ,-40
46  ,3.906e+07   ,3000  ,4800  ,-40
47  ,3.836e+07   ,3000  ,5000  ,-40
48  ,3.798e+07   ,3000  ,5200  ,-40
49  ,3.658e+07   ,3000  ,5400  ,-40
50  ,3.804e+07   ,3000  ,5600  ,-40
51  ,3.885e+07   ,3000  ,5800  ,-40
52  ,3.710e+07   ,3000  ,6000  ,-40
53  ,3.940e+07   ,3000  ,6200  ,-40
54  ,3.801e+07   ,3000  ,6400  ,-40
55  ,3.662e+07   ,3000  ,6600  ,-40
56  ,3.888e+07   ,3000  ,6800  ,-40
57  ,3.844e+07   ,3000  ,7000  ,-40
58  ,3.841e+07   ,3000  ,7200  ,-40
59  ,3.881e+07   ,3000  ,7400  ,-40
60  ,3.630e+07   ,3000  ,7600  ,-40
61  ,3.934e+07   ,3000  ,7800  ,-40
62  ,3.773e+07   ,3000  ,8000  ,-40
63  ,3.752e+07   ,3000  ,8200  ,-40
64  ,3.522e+07   ,3000  ,8400  ,-40
65  ,3.798e+07   ,3000  ,8600  ,-40
66  ,3.485e+07   ,3000  ,8800  ,-40
67  ,3.466e+07   ,3000  ,9000  ,-40
68  ,3.281e+07   ,3000  ,9200  ,-40
69  ,3.025e+07   ,3000  ,9400  ,-40
70  ,2.623e+07   ,3000  ,9600  ,-40
71  ,2.179e+07   ,3000  ,9800  ,-40
72  ,6.330e+07   ,1714.3  ,0  ,-40
73  ,4.851e+07   ,1928.6  ,0  ,-40
74  ,4.393e+07   ,2142.9  ,0  ,-40
75  ,4.127e+07   ,2357.1  ,0  ,-40
76  ,3.599e+07   ,2571.4  ,0  ,-40
77  ,2.273e+07   ,2785.7  ,0  ,-40
78  ,2.025e+07   ,-1.1776E-12  ,200  ,-40
79  ,2.541e+07   ,-1.1776E-12  ,400  ,-40
80  ,2.988e+07   ,-1.1776E-12  ,600  ,-40
81  ,3.186e+07   ,-1.1776E-12  ,800  ,-40
82  ,3.308e+07   ,-1.1776E-12  ,1000  ,-40
83  ,3.528e+07   ,-1.1776E-12  ,1200  ,-40
84  ,3.587e+07   ,-1.1776E-12  ,1400  ,-40
85  ,3.825e+07   ,-1.1776E-12  ,1600  ,-40
86  ,3.595e+07   ,-1.1776E-12  ,1800  ,-40
87  ,3.893e+07   ,-1.1776E-12  ,2000  ,-40
88  ,3.841e+07   ,-1.1776E-12  ,2200  ,-40
89  ,3.855e+07   ,-1.1776E-12  ,2400  ,-40
90  ,3.813e+07   ,-1.1776E-12  ,2600  ,-40
91  ,3.661e+07   ,-1.1776E-12  ,2800  ,-40
92  ,3.880e+07   ,-1.1776E-12  ,3000  ,-40
93  ,3.818e+07   ,-1.1776E-12  ,3200  ,-40
94  ,3.884e+07   ,-1.1776E-12  ,3400  ,-40
95  ,3.750e+07   ,-1.1776E-12  ,3600  ,-40
96  ,3.863e+07   ,-1.1776E-12  ,3800  ,-40
97  ,3.852e+07   ,-1.1776E-12  ,4000  ,-40
98  ,3.794e+07   ,-1.1776E-12  ,4200  ,-40
99  ,4.010e+07   ,-1.1776E-12  ,4400  ,-40
100  ,3.876e+07   ,-1.1776E-12  ,4600  ,-40
101  ,3.864e+07   ,-1.1776E-12  ,4800  ,-40
102  ,3.818e+07   ,-1.1776E-12  ,5000  ,-40
103  ,3.811e+07   ,-1.1776E-12  ,5200  ,-40
104  ,3.881e+07   ,-1.1776E-12  ,5400  ,-40
105  ,3.866e+07   ,-1.1776E-12  ,5600  ,-40
106  ,3.864e+07   ,-1.1776E-12  ,5800  ,-40
107  ,3.819e+07   ,-1.1776E-12  ,6000  ,-40
108  ,3.806e+07   ,-1.1776E-12  ,6200  ,-40
109  ,3.804e+07   ,-1.1776E-12  ,6400  ,-40
110  ,3.800e+07   ,-1.1776E-12  ,6600  ,-40
111  ,3.659e+07   ,-1.1776E-12  ,6800  ,-40
112  ,3.935e+07   ,-1.1776E-12  ,7000  ,-40
113  ,3.853e+07   ,-1.1776E-12  ,7200  ,-40
114  ,3.853e+07   ,-1.1776E-12  ,7400  ,-40
115  ,3.718e+07   ,-1.1776E-12  ,7600  ,-40
116  ,3.816e+07   ,-1.1776E-12  ,7800  ,-40
117  ,3.885e+07   ,-1.1776E-12  ,8000  ,-40
118  ,3.660e+07   ,-1.1776E-12  ,8200  ,-40
119  ,3.834e+07   ,-1.1776E-12  ,8400  ,-40
120  ,3.572e+07   ,-1.1776E-12  ,8600  ,-40
121  ,3.602e+07   ,-1.1776E-12  ,8800  ,-40
122  ,3.479e+07   ,-1.1776E-12  ,9000  ,-40
123  ,3.307e+07   ,-1.1776E-12  ,9200  ,-40
124  ,2.992e+07   ,-1.1776E-12  ,9400  ,-40
125  ,2.531e+07   ,-1.1776E-12  ,9600  ,-40
126  ,2.000e+07   ,-1.1776E-12  ,9800  ,-40
127  ,2.603e+07   ,200  ,10000  ,-40
128  ,3.713e+07   ,400  ,10000  ,-40
129  ,4.266e+07   ,600  ,10000  ,-40
130  ,4.821e+07   ,800  ,10000  ,-40
131  ,4.914e+07   ,1000  ,10000  ,-40
132  ,4.864e+07   ,1200  ,10000  ,-40
133  ,5.023e+07   ,1400  ,10000  ,-40
134  ,4.985e+07   ,1600  ,10000  ,-40
135  ,4.784e+07   ,1800  ,10000  ,-40
136  ,4.818e+07   ,2000  ,10000  ,-40
137  ,4.431e+07   ,2200  ,10000  ,-40
138  ,3.974e+07   ,2400  ,10000  ,-40
139  ,3.344e+07   ,2600  ,10000  ,-40
140  ,2.267e+07   ,2800  ,10000  ,-40
141  ,2.932e+07   ,2813.7  ,312.27  ,-40
142  ,3.346e+07   ,2812.6  ,492.89  ,-40
143  ,3.533e+07   ,2826.8  ,700  ,-40
144  ,3.798e+07   ,2826.8  ,900  ,-40
145  ,4.021e+07   ,2826.8  ,1100  ,-40
146  ,4.219e+07   ,2826.8  ,1300  ,-40
147  ,4.309e+07   ,2826.8  ,1500  ,-40
148  ,4.473e+07   ,173.21  ,2300  ,-40
149  ,4.465e+07   ,173.21  ,2500  ,-40
150  ,4.348e+07   ,173.21  ,2700  ,-40
151  ,4.390e+07   ,173.21  ,2900  ,-40
152  ,4.372e+07   ,173.21  ,3100  ,-40
153  ,4.354e+07   ,173.21  ,3300  ,-40
154  ,4.485e+07   ,173.21  ,3500  ,-40
155  ,4.488e+07   ,173.21  ,3700  ,-40
156  ,4.521e+07   ,173.21  ,3900  ,-40
157  ,4.378e+07   ,173.21  ,4100  ,-40
158  ,4.514e+07   ,173.21  ,4500  ,-40
159  ,4.354e+07   ,2826.8  ,4700  ,-40
160  ,4.508e+07   ,173.21  ,4700  ,-40
161  ,4.484e+07   ,173.21  ,4900  ,-40
162  ,4.385e+07   ,2826.8  ,5300  ,-40
163  ,4.350e+07   ,173.21  ,5300  ,-40
164  ,4.468e+07   ,173.21  ,5700  ,-40
165  ,4.356e+07   ,2826.8  ,5900  ,-40
166  ,4.484e+07   ,173.21  ,5900  ,-40
167  ,4.350e+07   ,2826.8  ,6300  ,-40
168  ,4.365e+07   ,173.21  ,6500  ,-40
169  ,4.346e+07   ,173.21  ,6900  ,-40
170  ,4.516e+07   ,173.21  ,7100  ,-40
171  ,4.309e+07   ,2826.8  ,7300  ,-40
172  ,4.481e+07   ,173.21  ,7300  ,-40
173  ,4.471e+07   ,173.21  ,7500  ,-40
174  ,4.501e+07   ,173.21  ,7700  ,-40
175  ,4.311e+07   ,173.21  ,7900  ,-40
176  ,4.464e+07   ,173.21  ,8100  ,-40
177  ,4.442e+07   ,173.21  ,8300  ,-40
178  ,4.419e+07   ,173.21  ,8500  ,-40
179  ,5.735e+07   ,1300  ,9826.8  ,-40
180  ,5.038e+07   ,700  ,9826.8  ,-40
181  ,4.373e+07   ,491.39  ,9816.8  ,-40
182  ,3.424e+07   ,173.21  ,9500  ,-40
183  ,3.379e+07   ,277.99  ,9823.5  ,-40
184  ,7.148e+07   ,1607.1  ,170.09  ,-40
185  ,5.643e+07   ,1821.4  ,170.09  ,-40
186  ,5.192e+07   ,2035.7  ,170.09  ,-40
187  ,4.928e+07   ,2250  ,170.09  ,-40
188  ,4.316e+07   ,2465.3  ,171.46  ,-40
189  ,3.288e+07   ,2678.6  ,170.09  ,-40
190  ,4.391e+07   ,2826.8  ,6500  ,-40
191  ,4.350e+07   ,2826.8  ,2300  ,-40
192  ,4.294e+07   ,2826.8  ,2100  ,-40
193  ,2.776e+07   ,186.31  ,312.27  ,-40
194  ,4.284e+07   ,2826.8  ,1900  ,-40
195  ,3.116e+07   ,187.42  ,492.89  ,-40
196  ,3.564e+07   ,173.21  ,700  ,-40
197  ,3.695e+07   ,173.21  ,900  ,-40
198  ,4.295e+07   ,2826.8  ,1700  ,-40
199  ,3.136e+07   ,321.43  ,170.09  ,-40
200  ,5.415e+07   ,1178.6  ,170.09  ,-40
201  ,3.886e+07   ,534.76  ,171.49  ,-40
202  ,4.422e+07   ,750  ,170.09  ,-40
203  ,7.003e+07   ,1392.9  ,170.09  ,-40
204  ,4.839e+07   ,964.29  ,170.09  ,-40
205  ,4.014e+07   ,173.21  ,1100  ,-40
206  ,4.042e+07   ,173.21  ,1300  ,-40
207  ,4.166e+07   ,173.21  ,1500  ,-40
208  ,4.198e+07   ,173.21  ,1700  ,-40
209  ,4.279e+07   ,173.21  ,1900  ,-40
210  ,4.463e+07   ,173.21  ,2100  ,-40
