Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,6.225e+06   ,1500  ,0  ,30
2  ,6.237e+06   ,1500  ,0  ,-30
3  ,1.493e+06   ,-1.1776E-12  ,0  ,30
4  ,1.830e+06   ,-1.1776E-12  ,0  ,-30
5  ,1.860e+06   ,3000  ,0  ,-30
6  ,1.415e+06   ,3000  ,10000  ,-30
7  ,1.832e+06   ,-1.1776E-12  ,10000  ,-30
8  ,1.854e+06   ,-1.1776E-12  ,10000  ,30
9  ,1.464e+06   ,3000  ,0  ,30
10  ,1.828e+06   ,3000  ,10000  ,30
11  ,3.099e+06   ,214.29  ,0  ,30
12  ,4.320e+06   ,428.57  ,0  ,30
13  ,5.050e+06   ,642.86  ,0  ,30
14  ,5.462e+06   ,857.14  ,0  ,30
15  ,5.707e+06   ,1071.4  ,0  ,30
16  ,5.655e+06   ,1285.7  ,0  ,30
17  ,2.942e+06   ,214.29  ,0  ,-30
18  ,4.079e+06   ,428.57  ,0  ,-30
19  ,4.819e+06   ,642.86  ,0  ,-30
20  ,5.372e+06   ,857.14  ,0  ,-30
21  ,5.600e+06   ,1071.4  ,0  ,-30
22  ,5.877e+06   ,1285.7  ,0  ,-30
23  ,2.290e+06   ,3000  ,200  ,-30
24  ,3.167e+06   ,3000  ,400  ,-30
25  ,3.672e+06   ,3000  ,600  ,-30
26  ,3.902e+06   ,3000  ,800  ,-30
27  ,4.175e+06   ,3000  ,1000  ,-30
28  ,4.319e+06   ,3000  ,1200  ,-30
29  ,4.452e+06   ,3000  ,1400  ,-30
30  ,4.492e+06   ,3000  ,1600  ,-30
31  ,4.510e+06   ,3000  ,1800  ,-30
32  ,4.594e+06   ,3000  ,2000  ,-30
33  ,4.567e+06   ,3000  ,2200  ,-30
34  ,4.603e+06   ,3000  ,2400  ,-30
35  ,4.621e+06   ,3000  ,2600  ,-30
36  ,4.622e+06   ,3000  ,2800  ,-30
37  ,4.523e+06   ,3000  ,3000  ,-30
38  ,4.663e+06   ,3000  ,3200  ,-30
39  ,4.516e+06   ,3000  ,3400  ,-30
40  ,4.639e+06   ,3000  ,3600  ,-30
41  ,4.582e+06   ,3000  ,3800  ,-30
42  ,4.480e+06   ,3000  ,4000  ,-30
43  ,4.670e+06   ,3000  ,4200  ,-30
44  ,4.625e+06   ,3000  ,4400  ,-30
45  ,4.602e+06   ,3000  ,4600  ,-30
46  ,4.646e+06   ,3000  ,4800  ,-30
47  ,4.425e+06   ,3000  ,5000  ,-30
