Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,2.026e+07   ,1500  ,0  ,30
2  ,2.012e+07   ,1500  ,0  ,-30
3  ,4.584e+06   ,-1.1776E-12  ,0  ,30
4  ,5.616e+06   ,-1.1776E-12  ,0  ,-30
5  ,5.645e+06   ,3000  ,0  ,-30
6  ,4.269e+06   ,3000  ,10000  ,-30
7  ,5.730e+06   ,-1.1776E-12  ,10000  ,-30
8  ,5.876e+06   ,-1.1776E-12  ,10000  ,30
9  ,4.524e+06   ,3000  ,0  ,30
10  ,5.435e+06   ,3000  ,10000  ,30
11  ,9.419e+06   ,214.29  ,0  ,30
12  ,1.320e+07   ,428.57  ,0  ,30
13  ,1.533e+07   ,642.86  ,0  ,30
14  ,1.637e+07   ,857.14  ,0  ,30
15  ,1.709e+07   ,1071.4  ,0  ,30
16  ,1.715e+07   ,1285.7  ,0  ,30
17  ,8.889e+06   ,214.29  ,0  ,-30
18  ,1.233e+07   ,428.57  ,0  ,-30
19  ,1.436e+07   ,642.86  ,0  ,-30
20  ,1.585e+07   ,857.14  ,0  ,-30
21  ,1.646e+07   ,1071.4  ,0  ,-30
22  ,1.779e+07   ,1285.7  ,0  ,-30
23  ,6.962e+06   ,3000  ,200  ,-30
24  ,9.562e+06   ,3000  ,400  ,-30
25  ,1.104e+07   ,3000  ,600  ,-30
26  ,1.172e+07   ,3000  ,800  ,-30
27  ,1.251e+07   ,3000  ,1000  ,-30
28  ,1.295e+07   ,3000  ,1200  ,-30
29  ,1.335e+07   ,3000  ,1400  ,-30
30  ,1.346e+07   ,3000  ,1600  ,-30
31  ,1.351e+07   ,3000  ,1800  ,-30
32  ,1.378e+07   ,3000  ,2000  ,-30
33  ,1.368e+07   ,3000  ,2200  ,-30
34  ,1.380e+07   ,3000  ,2400  ,-30
35  ,1.385e+07   ,3000  ,2600  ,-30
36  ,1.386e+07   ,3000  ,2800  ,-30
37  ,1.357e+07   ,3000  ,3000  ,-30
38  ,1.396e+07   ,3000  ,3200  ,-30
39  ,1.355e+07   ,3000  ,3400  ,-30
40  ,1.391e+07   ,3000  ,3600  ,-30
41  ,1.374e+07   ,3000  ,3800  ,-30
