Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,3.001e+07   ,1500  ,0  ,35
2  ,2.845e+07   ,1500  ,0  ,-35
3  ,5.630e+06   ,-1.1776E-12  ,0  ,35
4  ,5.786e+06   ,-1.1776E-12  ,0  ,-35
5  ,5.127e+06   ,3000  ,0  ,-35
6  ,5.428e+06   ,3000  ,10000  ,-35
7  ,5.960e+06   ,-1.1776E-12  ,10000  ,-35
8  ,5.380e+06   ,-1.1776E-12  ,10000  ,35
9  ,5.090e+06   ,3000  ,0  ,35
10  ,5.190e+06   ,3000  ,10000  ,35
11  ,1.021e+07   ,214.29  ,0  ,35
12  ,1.430e+07   ,428.57  ,0  ,35
13  ,1.645e+07   ,642.86  ,0  ,35
14  ,1.767e+07   ,857.14  ,0  ,35
15  ,1.857e+07   ,1071.4  ,0  ,35
16  ,2.138e+07   ,1285.7  ,0  ,35
17  ,8.957e+06   ,214.29  ,0  ,-35
18  ,1.343e+07   ,428.57  ,0  ,-35
19  ,1.560e+07   ,642.86  ,0  ,-35
20  ,1.681e+07   ,857.14  ,0  ,-35
21  ,1.761e+07   ,1071.4  ,0  ,-35
22  ,1.881e+07   ,1285.7  ,0  ,-35
23  ,6.353e+06   ,3000  ,200  ,-35
24  ,9.874e+06   ,3000  ,400  ,-35
25  ,1.163e+07   ,3000  ,600  ,-35
26  ,1.189e+07   ,3000  ,800  ,-35
27  ,1.330e+07   ,3000  ,1000  ,-35
28  ,1.324e+07   ,3000  ,1200  ,-35
29  ,1.426e+07   ,3000  ,1400  ,-35
30  ,1.413e+07   ,3000  ,1600  ,-35
31  ,1.515e+07   ,3000  ,1800  ,-35
32  ,1.461e+07   ,3000  ,2000  ,-35
33  ,1.431e+07   ,3000  ,2200  ,-35
34  ,1.485e+07   ,3000  ,2400  ,-35
35  ,1.538e+07   ,3000  ,2600  ,-35
36  ,1.429e+07   ,3000  ,2800  ,-35
37  ,1.527e+07   ,3000  ,3000  ,-35
38  ,1.566e+07   ,3000  ,3200  ,-35
39  ,1.467e+07   ,3000  ,3400  ,-35
40  ,1.518e+07   ,3000  ,3600  ,-35
41  ,1.546e+07   ,3000  ,3800  ,-35
42  ,1.517e+07   ,3000  ,4000  ,-35
43  ,1.478e+07   ,3000  ,4200  ,-35
44  ,1.538e+07   ,3000  ,4400  ,-35
45  ,1.509e+07   ,3000  ,4600  ,-35
46  ,1.455e+07   ,3000  ,4800  ,-35
47  ,1.494e+07   ,3000  ,5000  ,-35
48  ,1.565e+07   ,3000  ,5200  ,-35
49  ,1.513e+07   ,3000  ,5400  ,-35
50  ,1.457e+07   ,3000  ,5600  ,-35
51  ,1.503e+07   ,3000  ,5800  ,-35
52  ,1.504e+07   ,3000  ,6000  ,-35
53  ,1.505e+07   ,3000  ,6200  ,-35
54  ,1.503e+07   ,3000  ,6400  ,-35
55  ,1.495e+07   ,3000  ,6600  ,-35
56  ,1.533e+07   ,3000  ,6800  ,-35
57  ,1.556e+07   ,3000  ,7000  ,-35
58  ,1.535e+07   ,3000  ,7200  ,-35
59  ,1.505e+07   ,3000  ,7400  ,-35
60  ,1.474e+07   ,3000  ,7600  ,-35
61  ,1.551e+07   ,3000  ,7800  ,-35
62  ,1.416e+07   ,3000  ,8000  ,-35
63  ,1.515e+07   ,3000  ,8200  ,-35
64  ,1.408e+07   ,3000  ,8400  ,-35
65  ,1.428e+07   ,3000  ,8600  ,-35
66  ,1.407e+07   ,3000  ,8800  ,-35
67  ,1.376e+07   ,3000  ,9000  ,-35
68  ,1.291e+07   ,3000  ,9200  ,-35
69  ,1.191e+07   ,3000  ,9400  ,-35
70  ,1.028e+07   ,3000  ,9600  ,-35
71  ,8.417e+06   ,3000  ,9800  ,-35
72  ,2.156e+07   ,1714.3  ,0  ,-35
73  ,1.858e+07   ,1928.6  ,0  ,-35
74  ,1.761e+07   ,2142.9  ,0  ,-35
75  ,1.627e+07   ,2357.1  ,0  ,-35
76  ,1.423e+07   ,2571.4  ,0  ,-35
77  ,9.070e+06   ,2785.7  ,0  ,-35
78  ,8.194e+06   ,-1.1776E-12  ,200  ,-35
79  ,1.065e+07   ,-1.1776E-12  ,400  ,-35
80  ,1.160e+07   ,-1.1776E-12  ,600  ,-35
81  ,1.325e+07   ,-1.1776E-12  ,800  ,-35
82  ,1.363e+07   ,-1.1776E-12  ,1000  ,-35
83  ,1.415e+07   ,-1.1776E-12  ,1200  ,-35
84  ,1.414e+07   ,-1.1776E-12  ,1400  ,-35
85  ,1.474e+07   ,-1.1776E-12  ,1600  ,-35
86  ,1.492e+07   ,-1.1776E-12  ,1800  ,-35
87  ,1.533e+07   ,-1.1776E-12  ,2000  ,-35
88  ,1.459e+07   ,-1.1776E-12  ,2200  ,-35
89  ,1.570e+07   ,-1.1776E-12  ,2400  ,-35
90  ,1.445e+07   ,-1.1776E-12  ,2600  ,-35
91  ,1.493e+07   ,-1.1776E-12  ,2800  ,-35
92  ,1.576e+07   ,-1.1776E-12  ,3000  ,-35
