Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,1.062e+07   ,1500  ,0  ,5
2  ,1.053e+07   ,1500  ,0  ,-5
3  ,4.720e+06   ,-1.1776E-12  ,0  ,5
4  ,4.935e+06   ,-1.1776E-12  ,0  ,-5
5  ,7.373e+06   ,3000  ,0  ,-5
6  ,7.320e+06   ,3000  ,10000  ,-5
7  ,5.487e+06   ,-1.1776E-12  ,10000  ,-5
8  ,6.097e+06   ,-1.1776E-12  ,10000  ,5
9  ,7.969e+06   ,3000  ,0  ,5
10  ,6.851e+06   ,3000  ,10000  ,5
11  ,5.210e+06   ,214.29  ,0  ,5
12  ,5.376e+06   ,428.57  ,0  ,5
13  ,6.059e+06   ,642.86  ,0  ,5
14  ,7.295e+06   ,857.14  ,0  ,5
15  ,8.542e+06   ,1071.4  ,0  ,5
16  ,9.714e+06   ,1285.7  ,0  ,5
17  ,5.058e+06   ,214.29  ,0  ,-5
18  ,5.355e+06   ,428.57  ,0  ,-5
19  ,6.025e+06   ,642.86  ,0  ,-5
20  ,7.082e+06   ,857.14  ,0  ,-5
21  ,8.319e+06   ,1071.4  ,0  ,-5
22  ,9.577e+06   ,1285.7  ,0  ,-5
23  ,8.086e+06   ,3000  ,200  ,-5
24  ,9.075e+06   ,3000  ,400  ,-5
25  ,9.542e+06   ,3000  ,600  ,-5
26  ,9.837e+06   ,3000  ,800  ,-5
27  ,1.008e+07   ,3000  ,1000  ,-5
28  ,1.032e+07   ,3000  ,1200  ,-5
29  ,1.034e+07   ,3000  ,1400  ,-5
30  ,1.035e+07   ,3000  ,1600  ,-5
31  ,1.024e+07   ,3000  ,1800  ,-5
32  ,1.007e+07   ,3000  ,2000  ,-5
33  ,9.801e+06   ,3000  ,2200  ,-5
34  ,9.476e+06   ,3000  ,2400  ,-5
35  ,9.162e+06   ,3000  ,2600  ,-5
36  ,8.873e+06   ,3000  ,2800  ,-5
37  ,8.609e+06   ,3000  ,3000  ,-5
38  ,8.281e+06   ,3000  ,3200  ,-5
39  ,7.952e+06   ,3000  ,3400  ,-5
40  ,7.648e+06   ,3000  ,3600  ,-5
41  ,7.362e+06   ,3000  ,3800  ,-5
42  ,7.113e+06   ,3000  ,4000  ,-5
43  ,6.872e+06   ,3000  ,4200  ,-5
44  ,6.637e+06   ,3000  ,4400  ,-5
45  ,6.385e+06   ,3000  ,4600  ,-5
46  ,6.199e+06   ,3000  ,4800  ,-5
47  ,5.995e+06   ,3000  ,5000  ,-5
48  ,5.844e+06   ,3000  ,5200  ,-5
49  ,5.713e+06   ,3000  ,5400  ,-5
50  ,5.609e+06   ,3000  ,5600  ,-5
