Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,7.180e+07   ,1500  ,0  ,35
2  ,6.810e+07   ,1500  ,0  ,-35
3  ,1.329e+07   ,-1.1776E-12  ,0  ,35
4  ,1.386e+07   ,-1.1776E-12  ,0  ,-35
5  ,1.212e+07   ,3000  ,0  ,-35
6  ,1.319e+07   ,3000  ,10000  ,-35
7  ,1.321e+07   ,-1.1776E-12  ,10000  ,-35
8  ,1.273e+07   ,-1.1776E-12  ,10000  ,35
9  ,1.217e+07   ,3000  ,0  ,35
10  ,1.249e+07   ,3000  ,10000  ,35
11  ,2.429e+07   ,214.29  ,0  ,35
12  ,3.429e+07   ,428.57  ,0  ,35
13  ,3.959e+07   ,642.86  ,0  ,35
14  ,4.258e+07   ,857.14  ,0  ,35
15  ,4.480e+07   ,1071.4  ,0  ,35
16  ,5.188e+07   ,1285.7  ,0  ,35
17  ,2.102e+07   ,214.29  ,0  ,-35
18  ,3.141e+07   ,428.57  ,0  ,-35
19  ,3.631e+07   ,642.86  ,0  ,-35
20  ,3.915e+07   ,857.14  ,0  ,-35
21  ,4.101e+07   ,1071.4  ,0  ,-35
22  ,4.379e+07   ,1285.7  ,0  ,-35
23  ,1.508e+07   ,3000  ,200  ,-35
24  ,2.342e+07   ,3000  ,400  ,-35
25  ,2.754e+07   ,3000  ,600  ,-35
26  ,2.818e+07   ,3000  ,800  ,-35
27  ,3.146e+07   ,3000  ,1000  ,-35
28  ,3.134e+07   ,3000  ,1200  ,-35
29  ,3.371e+07   ,3000  ,1400  ,-35
30  ,3.335e+07   ,3000  ,1600  ,-35
31  ,3.580e+07   ,3000  ,1800  ,-35
32  ,3.452e+07   ,3000  ,2000  ,-35
33  ,3.381e+07   ,3000  ,2200  ,-35
34  ,3.508e+07   ,3000  ,2400  ,-35
35  ,3.626e+07   ,3000  ,2600  ,-35
36  ,3.376e+07   ,3000  ,2800  ,-35
37  ,3.597e+07   ,3000  ,3000  ,-35
38  ,3.692e+07   ,3000  ,3200  ,-35
39  ,3.455e+07   ,3000  ,3400  ,-35
40  ,3.579e+07   ,3000  ,3600  ,-35
41  ,3.649e+07   ,3000  ,3800  ,-35
42  ,3.567e+07   ,3000  ,4000  ,-35
43  ,3.492e+07   ,3000  ,4200  ,-35
44  ,3.617e+07   ,3000  ,4400  ,-35
45  ,3.562e+07   ,3000  ,4600  ,-35
46  ,3.433e+07   ,3000  ,4800  ,-35
47  ,3.522e+07   ,3000  ,5000  ,-35
48  ,3.680e+07   ,3000  ,5200  ,-35
49  ,3.573e+07   ,3000  ,5400  ,-35
50  ,3.440e+07   ,3000  ,5600  ,-35
51  ,3.546e+07   ,3000  ,5800  ,-35
52  ,3.546e+07   ,3000  ,6000  ,-35
53  ,3.550e+07   ,3000  ,6200  ,-35
54  ,3.545e+07   ,3000  ,6400  ,-35
55  ,3.527e+07   ,3000  ,6600  ,-35
56  ,3.613e+07   ,3000  ,6800  ,-35
57  ,3.674e+07   ,3000  ,7000  ,-35
58  ,3.631e+07   ,3000  ,7200  ,-35
59  ,3.552e+07   ,3000  ,7400  ,-35
60  ,3.492e+07   ,3000  ,7600  ,-35
61  ,3.678e+07   ,3000  ,7800  ,-35
62  ,3.365e+07   ,3000  ,8000  ,-35
63  ,3.596e+07   ,3000  ,8200  ,-35
64  ,3.347e+07   ,3000  ,8400  ,-35
65  ,3.389e+07   ,3000  ,8600  ,-35
66  ,3.349e+07   ,3000  ,8800  ,-35
67  ,3.267e+07   ,3000  ,9000  ,-35
68  ,3.071e+07   ,3000  ,9200  ,-35
69  ,2.838e+07   ,3000  ,9400  ,-35
70  ,2.457e+07   ,3000  ,9600  ,-35
71  ,2.030e+07   ,3000  ,9800  ,-35
72  ,5.244e+07   ,1714.3  ,0  ,-35
73  ,4.486e+07   ,1928.6  ,0  ,-35
74  ,4.230e+07   ,2142.9  ,0  ,-35
75  ,3.895e+07   ,2357.1  ,0  ,-35
76  ,3.395e+07   ,2571.4  ,0  ,-35
77  ,2.154e+07   ,2785.7  ,0  ,-35
78  ,1.960e+07   ,-1.1776E-12  ,200  ,-35
79  ,2.532e+07   ,-1.1776E-12  ,400  ,-35
80  ,2.756e+07   ,-1.1776E-12  ,600  ,-35
81  ,3.146e+07   ,-1.1776E-12  ,800  ,-35
82  ,3.244e+07   ,-1.1776E-12  ,1000  ,-35
83  ,3.367e+07   ,-1.1776E-12  ,1200  ,-35
84  ,3.367e+07   ,-1.1776E-12  ,1400  ,-35
85  ,3.506e+07   ,-1.1776E-12  ,1600  ,-35
86  ,3.547e+07   ,-1.1776E-12  ,1800  ,-35
87  ,3.638e+07   ,-1.1776E-12  ,2000  ,-35
88  ,3.457e+07   ,-1.1776E-12  ,2200  ,-35
89  ,3.716e+07   ,-1.1776E-12  ,2400  ,-35
90  ,3.423e+07   ,-1.1776E-12  ,2600  ,-35
91  ,3.534e+07   ,-1.1776E-12  ,2800  ,-35
92  ,3.721e+07   ,-1.1776E-12  ,3000  ,-35
93  ,3.428e+07   ,-1.1776E-12  ,3200  ,-35
94  ,3.576e+07   ,-1.1776E-12  ,3400  ,-35
95  ,3.667e+07   ,-1.1776E-12  ,3600  ,-35
96  ,3.598e+07   ,-1.1776E-12  ,3800  ,-35
97  ,3.506e+07   ,-1.1776E-12  ,4000  ,-35
98  ,3.665e+07   ,-1.1776E-12  ,4200  ,-35
99  ,3.588e+07   ,-1.1776E-12  ,4400  ,-35
100  ,3.459e+07   ,-1.1776E-12  ,4600  ,-35
101  ,3.699e+07   ,-1.1776E-12  ,4800  ,-35
102  ,3.615e+07   ,-1.1776E-12  ,5000  ,-35
103  ,3.578e+07   ,-1.1776E-12  ,5200  ,-35
104  ,3.494e+07   ,-1.1776E-12  ,5400  ,-35
105  ,3.591e+07   ,-1.1776E-12  ,5600  ,-35
106  ,3.663e+07   ,-1.1776E-12  ,5800  ,-35
107  ,3.589e+07   ,-1.1776E-12  ,6000  ,-35
108  ,3.500e+07   ,-1.1776E-12  ,6200  ,-35
109  ,3.657e+07   ,-1.1776E-12  ,6400  ,-35
110  ,3.542e+07   ,-1.1776E-12  ,6600  ,-35
111  ,3.434e+07   ,-1.1776E-12  ,6800  ,-35
112  ,3.633e+07   ,-1.1776E-12  ,7000  ,-35
113  ,3.439e+07   ,-1.1776E-12  ,7200  ,-35
114  ,3.583e+07   ,-1.1776E-12  ,7400  ,-35
115  ,3.676e+07   ,-1.1776E-12  ,7600  ,-35
116  ,3.520e+07   ,-1.1776E-12  ,7800  ,-35
117  ,3.389e+07   ,-1.1776E-12  ,8000  ,-35
118  ,3.519e+07   ,-1.1776E-12  ,8200  ,-35
119  ,3.330e+07   ,-1.1776E-12  ,8400  ,-35
120  ,3.379e+07   ,-1.1776E-12  ,8600  ,-35
121  ,3.314e+07   ,-1.1776E-12  ,8800  ,-35
122  ,3.198e+07   ,-1.1776E-12  ,9000  ,-35
123  ,3.010e+07   ,-1.1776E-12  ,9200  ,-35
124  ,2.848e+07   ,-1.1776E-12  ,9400  ,-35
125  ,2.235e+07   ,-1.1776E-12  ,9600  ,-35
126  ,1.681e+07   ,-1.1776E-12  ,9800  ,-35
127  ,2.241e+07   ,200  ,10000  ,-35
128  ,3.452e+07   ,400  ,10000  ,-35
129  ,4.080e+07   ,600  ,10000  ,-35
130  ,4.383e+07   ,800  ,10000  ,-35
131  ,4.613e+07   ,1000  ,10000  ,-35
132  ,4.448e+07   ,1200  ,10000  ,-35
133  ,4.566e+07   ,1400  ,10000  ,-35
134  ,4.621e+07   ,1600  ,10000  ,-35
135  ,4.399e+07   ,1800  ,10000  ,-35
136  ,4.143e+07   ,2000  ,10000  ,-35
137  ,4.124e+07   ,2200  ,10000  ,-35
138  ,3.667e+07   ,2400  ,10000  ,-35
139  ,3.095e+07   ,2600  ,10000  ,-35
140  ,1.984e+07   ,2800  ,10000  ,-35
141  ,2.734e+07   ,2813.7  ,312.27  ,-35
142  ,3.113e+07   ,2812.6  ,492.89  ,-35
143  ,3.331e+07   ,2826.8  ,700  ,-35
144  ,3.511e+07   ,2826.8  ,900  ,-35
145  ,3.662e+07   ,2826.8  ,1100  ,-35
146  ,3.767e+07   ,2826.8  ,1300  ,-35
147  ,3.838e+07   ,2826.8  ,1500  ,-35
148  ,3.963e+07   ,173.21  ,2300  ,-35
149  ,3.987e+07   ,173.21  ,2500  ,-35
150  ,3.962e+07   ,173.21  ,2700  ,-35
151  ,3.998e+07   ,173.21  ,2900  ,-35
152  ,4.002e+07   ,173.21  ,3100  ,-35
153  ,3.957e+07   ,173.21  ,3300  ,-35
154  ,4.037e+07   ,173.21  ,3500  ,-35
155  ,4.070e+07   ,173.21  ,3700  ,-35
156  ,4.073e+07   ,173.21  ,3900  ,-35
157  ,4.035e+07   ,173.21  ,4100  ,-35
158  ,4.046e+07   ,173.21  ,4500  ,-35
159  ,3.940e+07   ,2826.8  ,4700  ,-35
160  ,3.983e+07   ,173.21  ,4700  ,-35
161  ,4.051e+07   ,173.21  ,4900  ,-35
162  ,4.067e+07   ,2826.8  ,5300  ,-35
163  ,4.045e+07   ,173.21  ,5300  ,-35
164  ,4.061e+07   ,173.21  ,5700  ,-35
165  ,3.947e+07   ,2826.8  ,5900  ,-35
166  ,4.062e+07   ,173.21  ,5900  ,-35
167  ,3.948e+07   ,2826.8  ,6300  ,-35
168  ,4.047e+07   ,173.21  ,6500  ,-35
169  ,3.938e+07   ,173.21  ,6900  ,-35
170  ,4.048e+07   ,173.21  ,7100  ,-35
171  ,3.977e+07   ,2826.8  ,7300  ,-35
172  ,3.987e+07   ,173.21  ,7300  ,-35
173  ,3.973e+07   ,173.21  ,7500  ,-35
174  ,4.062e+07   ,173.21  ,7700  ,-35
175  ,3.927e+07   ,173.21  ,7900  ,-35
176  ,3.932e+07   ,173.21  ,8100  ,-35
177  ,3.914e+07   ,173.21  ,8300  ,-35
178  ,3.903e+07   ,173.21  ,8500  ,-35
179  ,5.032e+07   ,1300  ,9826.8  ,-35
180  ,4.560e+07   ,700  ,9826.8  ,-35
