Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,1.506e+07   ,1500  ,0  ,25
2  ,1.514e+07   ,1500  ,0  ,-25
3  ,4.542e+06   ,-1.1776E-12  ,0  ,25
4  ,5.433e+06   ,-1.1776E-12  ,0  ,-25
5  ,5.054e+06   ,3000  ,0  ,-25
6  ,4.414e+06   ,3000  ,10000  ,-25
7  ,6.039e+06   ,-1.1776E-12  ,10000  ,-25
8  ,5.283e+06   ,-1.1776E-12  ,10000  ,25
9  ,5.245e+06   ,3000  ,0  ,25
10  ,5.174e+06   ,3000  ,10000  ,25
11  ,7.979e+06   ,214.29  ,0  ,25
12  ,1.128e+07   ,428.57  ,0  ,25
13  ,1.329e+07   ,642.86  ,0  ,25
14  ,1.426e+07   ,857.14  ,0  ,25
15  ,1.463e+07   ,1071.4  ,0  ,25
16  ,1.445e+07   ,1285.7  ,0  ,25
17  ,8.521e+06   ,214.29  ,0  ,-25
18  ,1.127e+07   ,428.57  ,0  ,-25
19  ,1.261e+07   ,642.86  ,0  ,-25
20  ,1.370e+07   ,857.14  ,0  ,-25
21  ,1.417e+07   ,1071.4  ,0  ,-25
22  ,1.467e+07   ,1285.7  ,0  ,-25
23  ,6.067e+06   ,3000  ,200  ,-25
24  ,8.456e+06   ,3000  ,400  ,-25
25  ,9.838e+06   ,3000  ,600  ,-25
26  ,1.048e+07   ,3000  ,800  ,-25
27  ,1.082e+07   ,3000  ,1000  ,-25
28  ,1.146e+07   ,3000  ,1200  ,-25
29  ,1.132e+07   ,3000  ,1400  ,-25
30  ,1.185e+07   ,3000  ,1600  ,-25
31  ,1.179e+07   ,3000  ,1800  ,-25
32  ,1.187e+07   ,3000  ,2000  ,-25
33  ,1.196e+07   ,3000  ,2200  ,-25
34  ,1.178e+07   ,3000  ,2400  ,-25
35  ,1.230e+07   ,3000  ,2600  ,-25
36  ,1.195e+07   ,3000  ,2800  ,-25
37  ,1.207e+07   ,3000  ,3000  ,-25
38  ,1.214e+07   ,3000  ,3200  ,-25
39  ,1.170e+07   ,3000  ,3400  ,-25
40  ,1.221e+07   ,3000  ,3600  ,-25
41  ,1.203e+07   ,3000  ,3800  ,-25
42  ,1.214e+07   ,3000  ,4000  ,-25
43  ,1.207e+07   ,3000  ,4200  ,-25
44  ,1.196e+07   ,3000  ,4400  ,-25
45  ,1.213e+07   ,3000  ,4600  ,-25
46  ,1.180e+07   ,3000  ,4800  ,-25
47  ,1.218e+07   ,3000  ,5000  ,-25
48  ,1.214e+07   ,3000  ,5200  ,-25
49  ,1.200e+07   ,3000  ,5400  ,-25
50  ,1.202e+07   ,3000  ,5600  ,-25
51  ,1.208e+07   ,3000  ,5800  ,-25
52  ,1.213e+07   ,3000  ,6000  ,-25
53  ,1.168e+07   ,3000  ,6200  ,-25
54  ,1.218e+07   ,3000  ,6400  ,-25
55  ,1.198e+07   ,3000  ,6600  ,-25
56  ,1.197e+07   ,3000  ,6800  ,-25
57  ,1.182e+07   ,3000  ,7000  ,-25
58  ,1.202e+07   ,3000  ,7200  ,-25
59  ,1.197e+07   ,3000  ,7400  ,-25
60  ,1.201e+07   ,3000  ,7600  ,-25
61  ,1.195e+07   ,3000  ,7800  ,-25
62  ,1.190e+07   ,3000  ,8000  ,-25
63  ,1.155e+07   ,3000  ,8200  ,-25
64  ,1.149e+07   ,3000  ,8400  ,-25
65  ,1.155e+07   ,3000  ,8600  ,-25
66  ,1.115e+07   ,3000  ,8800  ,-25
67  ,1.060e+07   ,3000  ,9000  ,-25
68  ,1.000e+07   ,3000  ,9200  ,-25
69  ,9.558e+06   ,3000  ,9400  ,-25
70  ,7.930e+06   ,3000  ,9600  ,-25
71  ,6.962e+06   ,3000  ,9800  ,-25
72  ,1.462e+07   ,1714.3  ,0  ,-25
73  ,1.439e+07   ,1928.6  ,0  ,-25
74  ,1.384e+07   ,2142.9  ,0  ,-25
75  ,1.352e+07   ,2357.1  ,0  ,-25
76  ,1.159e+07   ,2571.4  ,0  ,-25
77  ,7.989e+06   ,2785.7  ,0  ,-25
78  ,6.321e+06   ,-1.1776E-12  ,200  ,-25
79  ,8.446e+06   ,-1.1776E-12  ,400  ,-25
80  ,9.791e+06   ,-1.1776E-12  ,600  ,-25
81  ,1.031e+07   ,-1.1776E-12  ,800  ,-25
82  ,1.061e+07   ,-1.1776E-12  ,1000  ,-25
83  ,1.133e+07   ,-1.1776E-12  ,1200  ,-25
84  ,1.152e+07   ,-1.1776E-12  ,1400  ,-25
85  ,1.174e+07   ,-1.1776E-12  ,1600  ,-25
86  ,1.153e+07   ,-1.1776E-12  ,1800  ,-25
87  ,1.213e+07   ,-1.1776E-12  ,2000  ,-25
88  ,1.204e+07   ,-1.1776E-12  ,2200  ,-25
89  ,1.168e+07   ,-1.1776E-12  ,2400  ,-25
90  ,1.204e+07   ,-1.1776E-12  ,2600  ,-25
91  ,1.179e+07   ,-1.1776E-12  ,2800  ,-25
92  ,1.218e+07   ,-1.1776E-12  ,3000  ,-25
93  ,1.183e+07   ,-1.1776E-12  ,3200  ,-25
94  ,1.221e+07   ,-1.1776E-12  ,3400  ,-25
95  ,1.209e+07   ,-1.1776E-12  ,3600  ,-25
96  ,1.208e+07   ,-1.1776E-12  ,3800  ,-25
97  ,1.187e+07   ,-1.1776E-12  ,4000  ,-25
98  ,1.217e+07   ,-1.1776E-12  ,4200  ,-25
99  ,1.207e+07   ,-1.1776E-12  ,4400  ,-25
100  ,1.181e+07   ,-1.1776E-12  ,4600  ,-25
101  ,1.229e+07   ,-1.1776E-12  ,4800  ,-25
102  ,1.213e+07   ,-1.1776E-12  ,5000  ,-25
103  ,1.169e+07   ,-1.1776E-12  ,5200  ,-25
104  ,1.229e+07   ,-1.1776E-12  ,5400  ,-25
105  ,1.214e+07   ,-1.1776E-12  ,5600  ,-25
106  ,1.195e+07   ,-1.1776E-12  ,5800  ,-25
107  ,1.190e+07   ,-1.1776E-12  ,6000  ,-25
108  ,1.227e+07   ,-1.1776E-12  ,6200  ,-25
109  ,1.196e+07   ,-1.1776E-12  ,6400  ,-25
110  ,1.214e+07   ,-1.1776E-12  ,6600  ,-25
111  ,1.209e+07   ,-1.1776E-12  ,6800  ,-25
112  ,1.208e+07   ,-1.1776E-12  ,7000  ,-25
113  ,1.208e+07   ,-1.1776E-12  ,7200  ,-25
114  ,1.204e+07   ,-1.1776E-12  ,7400  ,-25
115  ,1.208e+07   ,-1.1776E-12  ,7600  ,-25
116  ,1.206e+07   ,-1.1776E-12  ,7800  ,-25
117  ,1.175e+07   ,-1.1776E-12  ,8000  ,-25
118  ,1.202e+07   ,-1.1776E-12  ,8200  ,-25
119  ,1.194e+07   ,-1.1776E-12  ,8400  ,-25
120  ,1.163e+07   ,-1.1776E-12  ,8600  ,-25
