Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,9.980e+06   ,1500  ,0  ,35
2  ,9.450e+06   ,1500  ,0  ,-35
3  ,1.891e+06   ,-1.1776E-12  ,0  ,35
4  ,1.914e+06   ,-1.1776E-12  ,0  ,-35
5  ,1.689e+06   ,3000  ,0  ,-35
6  ,1.781e+06   ,3000  ,10000  ,-35
7  ,1.976e+06   ,-1.1776E-12  ,10000  ,-35
8  ,1.876e+06   ,-1.1776E-12  ,10000  ,35
9  ,1.670e+06   ,3000  ,0  ,35
10  ,1.714e+06   ,3000  ,10000  ,35
11  ,3.401e+06   ,214.29  ,0  ,35
12  ,4.739e+06   ,428.57  ,0  ,35
13  ,5.441e+06   ,642.86  ,0  ,35
14  ,5.842e+06   ,857.14  ,0  ,35
15  ,6.137e+06   ,1071.4  ,0  ,35
16  ,7.036e+06   ,1285.7  ,0  ,35
17  ,3.036e+06   ,214.29  ,0  ,-35
18  ,4.514e+06   ,428.57  ,0  ,-35
19  ,5.250e+06   ,642.86  ,0  ,-35
20  ,5.668e+06   ,857.14  ,0  ,-35
21  ,5.928e+06   ,1071.4  ,0  ,-35
22  ,6.322e+06   ,1285.7  ,0  ,-35
23  ,2.099e+06   ,3000  ,200  ,-35
24  ,3.267e+06   ,3000  ,400  ,-35
25  ,3.853e+06   ,3000  ,600  ,-35
26  ,3.943e+06   ,3000  ,800  ,-35
27  ,4.413e+06   ,3000  ,1000  ,-35
28  ,4.398e+06   ,3000  ,1200  ,-35
29  ,4.738e+06   ,3000  ,1400  ,-35
30  ,4.699e+06   ,3000  ,1600  ,-35
31  ,5.034e+06   ,3000  ,1800  ,-35
32  ,4.856e+06   ,3000  ,2000  ,-35
33  ,4.757e+06   ,3000  ,2200  ,-35
34  ,4.938e+06   ,3000  ,2400  ,-35
35  ,5.119e+06   ,3000  ,2600  ,-35
36  ,4.754e+06   ,3000  ,2800  ,-35
37  ,5.084e+06   ,3000  ,3000  ,-35
38  ,5.207e+06   ,3000  ,3200  ,-35
39  ,4.884e+06   ,3000  ,3400  ,-35
40  ,5.050e+06   ,3000  ,3600  ,-35
41  ,5.137e+06   ,3000  ,3800  ,-35
42  ,5.054e+06   ,3000  ,4000  ,-35
43  ,4.913e+06   ,3000  ,4200  ,-35
44  ,5.124e+06   ,3000  ,4400  ,-35
45  ,5.014e+06   ,3000  ,4600  ,-35
46  ,4.841e+06   ,3000  ,4800  ,-35
47  ,4.968e+06   ,3000  ,5000  ,-35
48  ,5.209e+06   ,3000  ,5200  ,-35
49  ,5.029e+06   ,3000  ,5400  ,-35
50  ,4.845e+06   ,3000  ,5600  ,-35
51  ,4.999e+06   ,3000  ,5800  ,-35
52  ,5.003e+06   ,3000  ,6000  ,-35
53  ,5.003e+06   ,3000  ,6200  ,-35
54  ,4.997e+06   ,3000  ,6400  ,-35
55  ,4.968e+06   ,3000  ,6600  ,-35
56  ,5.101e+06   ,3000  ,6800  ,-35
57  ,5.171e+06   ,3000  ,7000  ,-35
58  ,5.095e+06   ,3000  ,7200  ,-35
59  ,5.001e+06   ,3000  ,7400  ,-35
60  ,4.892e+06   ,3000  ,7600  ,-35
61  ,5.143e+06   ,3000  ,7800  ,-35
62  ,4.696e+06   ,3000  ,8000  ,-35
63  ,5.020e+06   ,3000  ,8200  ,-35
64  ,4.666e+06   ,3000  ,8400  ,-35
65  ,4.733e+06   ,3000  ,8600  ,-35
66  ,4.655e+06   ,3000  ,8800  ,-35
67  ,4.557e+06   ,3000  ,9000  ,-35
68  ,4.273e+06   ,3000  ,9200  ,-35
69  ,3.939e+06   ,3000  ,9400  ,-35
70  ,3.397e+06   ,3000  ,9600  ,-35
71  ,2.770e+06   ,3000  ,9800  ,-35
72  ,7.082e+06   ,1714.3  ,0  ,-35
73  ,6.109e+06   ,1928.6  ,0  ,-35
74  ,5.800e+06   ,2142.9  ,0  ,-35
75  ,5.372e+06   ,2357.1  ,0  ,-35
76  ,4.704e+06   ,2571.4  ,0  ,-35
77  ,2.996e+06   ,2785.7  ,0  ,-35
78  ,2.699e+06   ,-1.1776E-12  ,200  ,-35
79  ,3.524e+06   ,-1.1776E-12  ,400  ,-35
80  ,3.842e+06   ,-1.1776E-12  ,600  ,-35
81  ,4.391e+06   ,-1.1776E-12  ,800  ,-35
82  ,4.517e+06   ,-1.1776E-12  ,1000  ,-35
83  ,4.693e+06   ,-1.1776E-12  ,1200  ,-35
84  ,4.691e+06   ,-1.1776E-12  ,1400  ,-35
85  ,4.892e+06   ,-1.1776E-12  ,1600  ,-35
86  ,4.954e+06   ,-1.1776E-12  ,1800  ,-35
87  ,5.092e+06   ,-1.1776E-12  ,2000  ,-35
88  ,4.849e+06   ,-1.1776E-12  ,2200  ,-35
89  ,5.217e+06   ,-1.1776E-12  ,2400  ,-35
90  ,4.801e+06   ,-1.1776E-12  ,2600  ,-35
91  ,4.963e+06   ,-1.1776E-12  ,2800  ,-35
92  ,5.240e+06   ,-1.1776E-12  ,3000  ,-35
93  ,4.820e+06   ,-1.1776E-12  ,3200  ,-35
94  ,5.025e+06   ,-1.1776E-12  ,3400  ,-35
95  ,5.174e+06   ,-1.1776E-12  ,3600  ,-35
96  ,5.075e+06   ,-1.1776E-12  ,3800  ,-35
97  ,4.945e+06   ,-1.1776E-12  ,4000  ,-35
98  ,5.178e+06   ,-1.1776E-12  ,4200  ,-35
99  ,5.067e+06   ,-1.1776E-12  ,4400  ,-35
100  ,4.893e+06   ,-1.1776E-12  ,4600  ,-35
101  ,5.221e+06   ,-1.1776E-12  ,4800  ,-35
102  ,5.117e+06   ,-1.1776E-12  ,5000  ,-35
103  ,5.038e+06   ,-1.1776E-12  ,5200  ,-35
104  ,4.931e+06   ,-1.1776E-12  ,5400  ,-35
105  ,5.074e+06   ,-1.1776E-12  ,5600  ,-35
106  ,5.178e+06   ,-1.1776E-12  ,5800  ,-35
107  ,5.069e+06   ,-1.1776E-12  ,6000  ,-35
108  ,4.941e+06   ,-1.1776E-12  ,6200  ,-35
109  ,5.169e+06   ,-1.1776E-12  ,6400  ,-35
110  ,5.013e+06   ,-1.1776E-12  ,6600  ,-35
111  ,4.844e+06   ,-1.1776E-12  ,6800  ,-35
112  ,5.113e+06   ,-1.1776E-12  ,7000  ,-35
113  ,4.859e+06   ,-1.1776E-12  ,7200  ,-35
114  ,5.055e+06   ,-1.1776E-12  ,7400  ,-35
115  ,5.179e+06   ,-1.1776E-12  ,7600  ,-35
116  ,4.971e+06   ,-1.1776E-12  ,7800  ,-35
117  ,4.770e+06   ,-1.1776E-12  ,8000  ,-35
118  ,4.954e+06   ,-1.1776E-12  ,8200  ,-35
119  ,4.679e+06   ,-1.1776E-12  ,8400  ,-35
120  ,4.754e+06   ,-1.1776E-12  ,8600  ,-35
121  ,4.657e+06   ,-1.1776E-12  ,8800  ,-35
122  ,4.494e+06   ,-1.1776E-12  ,9000  ,-35
123  ,4.234e+06   ,-1.1776E-12  ,9200  ,-35
124  ,4.026e+06   ,-1.1776E-12  ,9400  ,-35
125  ,3.224e+06   ,-1.1776E-12  ,9600  ,-35
126  ,2.558e+06   ,-1.1776E-12  ,9800  ,-35
127  ,2.987e+06   ,200  ,10000  ,-35
128  ,4.515e+06   ,400  ,10000  ,-35
129  ,5.477e+06   ,600  ,10000  ,-35
130  ,5.965e+06   ,800  ,10000  ,-35
131  ,6.328e+06   ,1000  ,10000  ,-35
132  ,6.152e+06   ,1200  ,10000  ,-35
133  ,6.399e+06   ,1400  ,10000  ,-35
134  ,6.526e+06   ,1600  ,10000  ,-35
135  ,6.276e+06   ,1800  ,10000  ,-35
136  ,5.978e+06   ,2000  ,10000  ,-35
137  ,5.974e+06   ,2200  ,10000  ,-35
138  ,5.284e+06   ,2400  ,10000  ,-35
139  ,4.387e+06   ,2600  ,10000  ,-35
140  ,2.754e+06   ,2800  ,10000  ,-35
141  ,3.704e+06   ,2813.7  ,312.27  ,-35
142  ,4.218e+06   ,2812.6  ,492.89  ,-35
143  ,4.540e+06   ,2826.8  ,700  ,-35
144  ,4.816e+06   ,2826.8  ,900  ,-35
145  ,5.061e+06   ,2826.8  ,1100  ,-35
146  ,5.242e+06   ,2826.8  ,1300  ,-35
147  ,5.369e+06   ,2826.8  ,1500  ,-35
148  ,5.631e+06   ,173.21  ,2300  ,-35
149  ,5.663e+06   ,173.21  ,2500  ,-35
150  ,5.633e+06   ,173.21  ,2700  ,-35
151  ,5.692e+06   ,173.21  ,2900  ,-35
152  ,5.691e+06   ,173.21  ,3100  ,-35
153  ,5.635e+06   ,173.21  ,3300  ,-35
154  ,5.753e+06   ,173.21  ,3500  ,-35
155  ,5.800e+06   ,173.21  ,3700  ,-35
156  ,5.807e+06   ,173.21  ,3900  ,-35
157  ,5.755e+06   ,173.21  ,4100  ,-35
158  ,5.773e+06   ,173.21  ,4500  ,-35
159  ,5.625e+06   ,2826.8  ,4700  ,-35
160  ,5.682e+06   ,173.21  ,4700  ,-35
161  ,5.780e+06   ,173.21  ,4900  ,-35
