Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,7.473e+05   ,1500  ,0  ,5
2  ,7.369e+05   ,1500  ,0  ,-5
3  ,7.365e+05   ,-1.1776E-12  ,0  ,5
4  ,7.304e+05   ,-1.1776E-12  ,0  ,-5
5  ,8.038e+05   ,3000  ,0  ,-5
6  ,7.429e+05   ,3000  ,10000  ,-5
7  ,6.534e+05   ,-1.1776E-12  ,10000  ,-5
8  ,6.574e+05   ,-1.1776E-12  ,10000  ,5
9  ,8.151e+05   ,3000  ,0  ,5
10  ,7.367e+05   ,3000  ,10000  ,5
11  ,7.789e+05   ,214.29  ,0  ,5
12  ,7.868e+05   ,428.57  ,0  ,5
13  ,7.656e+05   ,642.86  ,0  ,5
14  ,7.546e+05   ,857.14  ,0  ,5
15  ,7.661e+05   ,1071.4  ,0  ,5
16  ,7.724e+05   ,1285.7  ,0  ,5
17  ,7.736e+05   ,214.29  ,0  ,-5
18  ,7.806e+05   ,428.57  ,0  ,-5
19  ,7.553e+05   ,642.86  ,0  ,-5
20  ,7.423e+05   ,857.14  ,0  ,-5
21  ,7.438e+05   ,1071.4  ,0  ,-5
22  ,7.634e+05   ,1285.7  ,0  ,-5
23  ,8.226e+05   ,3000  ,200  ,-5
24  ,8.622e+05   ,3000  ,400  ,-5
25  ,8.888e+05   ,3000  ,600  ,-5
26  ,9.105e+05   ,3000  ,800  ,-5
27  ,9.230e+05   ,3000  ,1000  ,-5
28  ,9.412e+05   ,3000  ,1200  ,-5
29  ,9.579e+05   ,3000  ,1400  ,-5
30  ,9.681e+05   ,3000  ,1600  ,-5
31  ,9.706e+05   ,3000  ,1800  ,-5
32  ,9.724e+05   ,3000  ,2000  ,-5
33  ,9.732e+05   ,3000  ,2200  ,-5
34  ,9.746e+05   ,3000  ,2400  ,-5
35  ,9.738e+05   ,3000  ,2600  ,-5
36  ,9.716e+05   ,3000  ,2800  ,-5
37  ,9.707e+05   ,3000  ,3000  ,-5
38  ,9.693e+05   ,3000  ,3200  ,-5
