Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,8.216e+06   ,1500  ,0  ,15
2  ,8.147e+06   ,1500  ,0  ,-15
3  ,4.807e+06   ,-1.1776E-12  ,0  ,15
4  ,4.543e+06   ,-1.1776E-12  ,0  ,-15
5  ,4.297e+06   ,3000  ,0  ,-15
6  ,4.217e+06   ,3000  ,10000  ,-15
7  ,5.053e+06   ,-1.1776E-12  ,10000  ,-15
8  ,4.489e+06   ,-1.1776E-12  ,10000  ,15
9  ,4.671e+06   ,3000  ,0  ,15
10  ,4.466e+06   ,3000  ,10000  ,15
11  ,6.383e+06   ,214.29  ,0  ,15
12  ,7.846e+06   ,428.57  ,0  ,15
13  ,8.539e+06   ,642.86  ,0  ,15
14  ,8.689e+06   ,857.14  ,0  ,15
15  ,8.705e+06   ,1071.4  ,0  ,15
16  ,8.454e+06   ,1285.7  ,0  ,15
17  ,6.171e+06   ,214.29  ,0  ,-15
18  ,7.773e+06   ,428.57  ,0  ,-15
19  ,8.247e+06   ,642.86  ,0  ,-15
20  ,8.576e+06   ,857.14  ,0  ,-15
21  ,8.539e+06   ,1071.4  ,0  ,-15
22  ,8.492e+06   ,1285.7  ,0  ,-15
23  ,5.135e+06   ,3000  ,200  ,-15
24  ,6.272e+06   ,3000  ,400  ,-15
25  ,6.797e+06   ,3000  ,600  ,-15
26  ,7.189e+06   ,3000  ,800  ,-15
27  ,7.391e+06   ,3000  ,1000  ,-15
28  ,7.470e+06   ,3000  ,1200  ,-15
29  ,7.625e+06   ,3000  ,1400  ,-15
30  ,7.680e+06   ,3000  ,1600  ,-15
31  ,7.733e+06   ,3000  ,1800  ,-15
32  ,7.745e+06   ,3000  ,2000  ,-15
33  ,7.704e+06   ,3000  ,2200  ,-15
34  ,7.804e+06   ,3000  ,2400  ,-15
35  ,7.843e+06   ,3000  ,2600  ,-15
36  ,7.810e+06   ,3000  ,2800  ,-15
37  ,7.763e+06   ,3000  ,3000  ,-15
38  ,7.816e+06   ,3000  ,3200  ,-15
39  ,7.789e+06   ,3000  ,3400  ,-15
40  ,7.787e+06   ,3000  ,3600  ,-15
41  ,7.722e+06   ,3000  ,3800  ,-15
42  ,7.830e+06   ,3000  ,4000  ,-15
43  ,7.815e+06   ,3000  ,4200  ,-15
44  ,7.779e+06   ,3000  ,4400  ,-15
45  ,7.807e+06   ,3000  ,4600  ,-15
46  ,7.819e+06   ,3000  ,4800  ,-15
47  ,7.708e+06   ,3000  ,5000  ,-15
48  ,7.859e+06   ,3000  ,5200  ,-15
49  ,7.770e+06   ,3000  ,5400  ,-15
50  ,7.722e+06   ,3000  ,5600  ,-15
51  ,7.831e+06   ,3000  ,5800  ,-15
52  ,7.750e+06   ,3000  ,6000  ,-15
53  ,7.792e+06   ,3000  ,6200  ,-15
54  ,7.782e+06   ,3000  ,6400  ,-15
55  ,7.869e+06   ,3000  ,6600  ,-15
56  ,7.850e+06   ,3000  ,6800  ,-15
57  ,7.806e+06   ,3000  ,7000  ,-15
58  ,7.848e+06   ,3000  ,7200  ,-15
59  ,7.814e+06   ,3000  ,7400  ,-15
60  ,7.859e+06   ,3000  ,7600  ,-15
61  ,7.835e+06   ,3000  ,7800  ,-15
62  ,7.795e+06   ,3000  ,8000  ,-15
63  ,7.729e+06   ,3000  ,8200  ,-15
64  ,7.801e+06   ,3000  ,8400  ,-15
65  ,7.700e+06   ,3000  ,8600  ,-15
66  ,7.607e+06   ,3000  ,8800  ,-15
67  ,7.457e+06   ,3000  ,9000  ,-15
68  ,7.152e+06   ,3000  ,9200  ,-15
69  ,6.831e+06   ,3000  ,9400  ,-15
70  ,6.091e+06   ,3000  ,9600  ,-15
71  ,5.350e+06   ,3000  ,9800  ,-15
72  ,8.521e+06   ,1714.3  ,0  ,-15
73  ,8.613e+06   ,1928.6  ,0  ,-15
74  ,8.706e+06   ,2142.9  ,0  ,-15
75  ,8.523e+06   ,2357.1  ,0  ,-15
76  ,7.722e+06   ,2571.4  ,0  ,-15
77  ,5.825e+06   ,2785.7  ,0  ,-15
78  ,5.288e+06   ,-1.1776E-12  ,200  ,-15
79  ,6.540e+06   ,-1.1776E-12  ,400  ,-15
80  ,6.983e+06   ,-1.1776E-12  ,600  ,-15
81  ,7.283e+06   ,-1.1776E-12  ,800  ,-15
82  ,7.505e+06   ,-1.1776E-12  ,1000  ,-15
83  ,7.622e+06   ,-1.1776E-12  ,1200  ,-15
84  ,7.701e+06   ,-1.1776E-12  ,1400  ,-15
85  ,7.685e+06   ,-1.1776E-12  ,1600  ,-15
86  ,7.772e+06   ,-1.1776E-12  ,1800  ,-15
87  ,7.765e+06   ,-1.1776E-12  ,2000  ,-15
88  ,7.726e+06   ,-1.1776E-12  ,2200  ,-15
89  ,7.790e+06   ,-1.1776E-12  ,2400  ,-15
90  ,7.706e+06   ,-1.1776E-12  ,2600  ,-15
91  ,7.798e+06   ,-1.1776E-12  ,2800  ,-15
92  ,7.776e+06   ,-1.1776E-12  ,3000  ,-15
93  ,7.793e+06   ,-1.1776E-12  ,3200  ,-15
94  ,7.721e+06   ,-1.1776E-12  ,3400  ,-15
95  ,7.764e+06   ,-1.1776E-12  ,3600  ,-15
96  ,7.798e+06   ,-1.1776E-12  ,3800  ,-15
97  ,7.736e+06   ,-1.1776E-12  ,4000  ,-15
98  ,7.752e+06   ,-1.1776E-12  ,4200  ,-15
99  ,7.725e+06   ,-1.1776E-12  ,4400  ,-15
100  ,7.654e+06   ,-1.1776E-12  ,4600  ,-15
101  ,7.753e+06   ,-1.1776E-12  ,4800  ,-15
102  ,7.735e+06   ,-1.1776E-12  ,5000  ,-15
103  ,7.623e+06   ,-1.1776E-12  ,5200  ,-15
104  ,7.708e+06   ,-1.1776E-12  ,5400  ,-15
105  ,7.746e+06   ,-1.1776E-12  ,5600  ,-15
106  ,7.698e+06   ,-1.1776E-12  ,5800  ,-15
