Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,1.702e+06   ,1500  ,0  ,10
2  ,1.714e+06   ,1500  ,0  ,-10
3  ,1.273e+06   ,-1.1776E-12  ,0  ,10
4  ,1.296e+06   ,-1.1776E-12  ,0  ,-10
5  ,1.272e+06   ,3000  ,0  ,-10
6  ,1.155e+06   ,3000  ,10000  ,-10
7  ,1.197e+06   ,-1.1776E-12  ,10000  ,-10
8  ,1.201e+06   ,-1.1776E-12  ,10000  ,10
9  ,1.234e+06   ,3000  ,0  ,10
10  ,1.119e+06   ,3000  ,10000  ,10
11  ,1.526e+06   ,214.29  ,0  ,10
12  ,1.757e+06   ,428.57  ,0  ,10
13  ,1.815e+06   ,642.86  ,0  ,10
14  ,1.803e+06   ,857.14  ,0  ,10
15  ,1.786e+06   ,1071.4  ,0  ,10
16  ,1.761e+06   ,1285.7  ,0  ,10
17  ,1.566e+06   ,214.29  ,0  ,-10
18  ,1.770e+06   ,428.57  ,0  ,-10
19  ,1.804e+06   ,642.86  ,0  ,-10
20  ,1.791e+06   ,857.14  ,0  ,-10
21  ,1.780e+06   ,1071.4  ,0  ,-10
22  ,1.747e+06   ,1285.7  ,0  ,-10
23  ,1.337e+06   ,3000  ,200  ,-10
24  ,1.555e+06   ,3000  ,400  ,-10
25  ,1.634e+06   ,3000  ,600  ,-10
26  ,1.683e+06   ,3000  ,800  ,-10
27  ,1.706e+06   ,3000  ,1000  ,-10
28  ,1.728e+06   ,3000  ,1200  ,-10
29  ,1.754e+06   ,3000  ,1400  ,-10
30  ,1.761e+06   ,3000  ,1600  ,-10
31  ,1.762e+06   ,3000  ,1800  ,-10
32  ,1.775e+06   ,3000  ,2000  ,-10
33  ,1.774e+06   ,3000  ,2200  ,-10
34  ,1.780e+06   ,3000  ,2400  ,-10
35  ,1.779e+06   ,3000  ,2600  ,-10
36  ,1.777e+06   ,3000  ,2800  ,-10
37  ,1.785e+06   ,3000  ,3000  ,-10
38  ,1.780e+06   ,3000  ,3200  ,-10
39  ,1.783e+06   ,3000  ,3400  ,-10
40  ,1.781e+06   ,3000  ,3600  ,-10
41  ,1.775e+06   ,3000  ,3800  ,-10
42  ,1.788e+06   ,3000  ,4000  ,-10
43  ,1.781e+06   ,3000  ,4200  ,-10
44  ,1.781e+06   ,3000  ,4400  ,-10
45  ,1.781e+06   ,3000  ,4600  ,-10
46  ,1.783e+06   ,3000  ,4800  ,-10
47  ,1.779e+06   ,3000  ,5000  ,-10
48  ,1.781e+06   ,3000  ,5200  ,-10
49  ,1.781e+06   ,3000  ,5400  ,-10
50  ,1.776e+06   ,3000  ,5600  ,-10
51  ,1.780e+06   ,3000  ,5800  ,-10
52  ,1.780e+06   ,3000  ,6000  ,-10
53  ,1.779e+06   ,3000  ,6200  ,-10
54  ,1.782e+06   ,3000  ,6400  ,-10
55  ,1.770e+06   ,3000  ,6600  ,-10
56  ,1.782e+06   ,3000  ,6800  ,-10
57  ,1.777e+06   ,3000  ,7000  ,-10
58  ,1.771e+06   ,3000  ,7200  ,-10
59  ,1.772e+06   ,3000  ,7400  ,-10
60  ,1.759e+06   ,3000  ,7600  ,-10
61  ,1.769e+06   ,3000  ,7800  ,-10
62  ,1.764e+06   ,3000  ,8000  ,-10
63  ,1.756e+06   ,3000  ,8200  ,-10
64  ,1.747e+06   ,3000  ,8400  ,-10
65  ,1.731e+06   ,3000  ,8600  ,-10
66  ,1.726e+06   ,3000  ,8800  ,-10
67  ,1.706e+06   ,3000  ,9000  ,-10
68  ,1.675e+06   ,3000  ,9200  ,-10
69  ,1.631e+06   ,3000  ,9400  ,-10
70  ,1.528e+06   ,3000  ,9600  ,-10
