Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,2.970e+06   ,1500  ,0  ,5
2  ,2.859e+06   ,1500  ,0  ,-5
3  ,2.323e+06   ,-1.1776E-12  ,0  ,5
4  ,2.345e+06   ,-1.1776E-12  ,0  ,-5
5  ,2.558e+06   ,3000  ,0  ,-5
6  ,2.505e+06   ,3000  ,10000  ,-5
7  ,2.961e+06   ,-1.1776E-12  ,10000  ,-5
8  ,3.248e+06   ,-1.1776E-12  ,10000  ,5
9  ,2.641e+06   ,3000  ,0  ,5
10  ,2.441e+06   ,3000  ,10000  ,5
11  ,2.527e+06   ,214.29  ,0  ,5
12  ,2.633e+06   ,428.57  ,0  ,5
13  ,2.668e+06   ,642.86  ,0  ,5
14  ,2.769e+06   ,857.14  ,0  ,5
15  ,2.881e+06   ,1071.4  ,0  ,5
16  ,2.960e+06   ,1285.7  ,0  ,5
17  ,2.475e+06   ,214.29  ,0  ,-5
18  ,2.586e+06   ,428.57  ,0  ,-5
19  ,2.617e+06   ,642.86  ,0  ,-5
20  ,2.690e+06   ,857.14  ,0  ,-5
21  ,2.768e+06   ,1071.4  ,0  ,-5
22  ,2.878e+06   ,1285.7  ,0  ,-5
23  ,2.670e+06   ,3000  ,200  ,-5
24  ,2.890e+06   ,3000  ,400  ,-5
25  ,3.028e+06   ,3000  ,600  ,-5
26  ,3.103e+06   ,3000  ,800  ,-5
27  ,3.147e+06   ,3000  ,1000  ,-5
28  ,3.189e+06   ,3000  ,1200  ,-5
29  ,3.213e+06   ,3000  ,1400  ,-5
30  ,3.223e+06   ,3000  ,1600  ,-5
31  ,3.217e+06   ,3000  ,1800  ,-5
32  ,3.210e+06   ,3000  ,2000  ,-5
33  ,3.194e+06   ,3000  ,2200  ,-5
34  ,3.168e+06   ,3000  ,2400  ,-5
35  ,3.144e+06   ,3000  ,2600  ,-5
36  ,3.119e+06   ,3000  ,2800  ,-5
37  ,3.099e+06   ,3000  ,3000  ,-5
38  ,3.075e+06   ,3000  ,3200  ,-5
39  ,3.049e+06   ,3000  ,3400  ,-5
40  ,3.027e+06   ,3000  ,3600  ,-5
41  ,3.005e+06   ,3000  ,3800  ,-5
42  ,2.985e+06   ,3000  ,4000  ,-5
43  ,2.966e+06   ,3000  ,4200  ,-5
44  ,2.949e+06   ,3000  ,4400  ,-5
45  ,2.930e+06   ,3000  ,4600  ,-5
46  ,2.915e+06   ,3000  ,4800  ,-5
47  ,2.901e+06   ,3000  ,5000  ,-5
48  ,2.886e+06   ,3000  ,5200  ,-5
49  ,2.876e+06   ,3000  ,5400  ,-5
50  ,2.865e+06   ,3000  ,5600  ,-5
51  ,2.857e+06   ,3000  ,5800  ,-5
52  ,2.850e+06   ,3000  ,6000  ,-5
53  ,2.845e+06   ,3000  ,6200  ,-5
54  ,2.843e+06   ,3000  ,6400  ,-5
55  ,2.842e+06   ,3000  ,6600  ,-5
56  ,2.852e+06   ,3000  ,6800  ,-5
57  ,2.862e+06   ,3000  ,7000  ,-5
58  ,2.875e+06   ,3000  ,7200  ,-5
59  ,2.897e+06   ,3000  ,7400  ,-5
60  ,2.911e+06   ,3000  ,7600  ,-5
61  ,2.940e+06   ,3000  ,7800  ,-5
