Noeud  ,Valeur (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,2.631e+06   ,1500  ,0  ,15
2  ,2.616e+06   ,1500  ,0  ,-15
3  ,1.631e+06   ,-1.1776E-12  ,0  ,15
4  ,1.534e+06   ,-1.1776E-12  ,0  ,-15
5  ,1.448e+06   ,3000  ,0  ,-15
6  ,1.371e+06   ,3000  ,10000  ,-15
7  ,1.461e+06   ,-1.1776E-12  ,10000  ,-15
8  ,1.458e+06   ,-1.1776E-12  ,10000  ,15
9  ,1.561e+06   ,3000  ,0  ,15
10  ,1.462e+06   ,3000  ,10000  ,15
11  ,2.135e+06   ,214.29  ,0  ,15
12  ,2.565e+06   ,428.57  ,0  ,15
13  ,2.741e+06   ,642.86  ,0  ,15
14  ,2.776e+06   ,857.14  ,0  ,15
15  ,2.794e+06   ,1071.4  ,0  ,15
16  ,2.728e+06   ,1285.7  ,0  ,15
17  ,2.098e+06   ,214.29  ,0  ,-15
18  ,2.584e+06   ,428.57  ,0  ,-15
19  ,2.705e+06   ,642.86  ,0  ,-15
20  ,2.771e+06   ,857.14  ,0  ,-15
21  ,2.755e+06   ,1071.4  ,0  ,-15
22  ,2.732e+06   ,1285.7  ,0  ,-15
23  ,1.716e+06   ,3000  ,200  ,-15
24  ,2.081e+06   ,3000  ,400  ,-15
25  ,2.248e+06   ,3000  ,600  ,-15
26  ,2.374e+06   ,3000  ,800  ,-15
27  ,2.437e+06   ,3000  ,1000  ,-15
28  ,2.461e+06   ,3000  ,1200  ,-15
29  ,2.512e+06   ,3000  ,1400  ,-15
30  ,2.532e+06   ,3000  ,1600  ,-15
31  ,2.552e+06   ,3000  ,1800  ,-15
32  ,2.554e+06   ,3000  ,2000  ,-15
33  ,2.543e+06   ,3000  ,2200  ,-15
34  ,2.580e+06   ,3000  ,2400  ,-15
35  ,2.594e+06   ,3000  ,2600  ,-15
36  ,2.584e+06   ,3000  ,2800  ,-15
37  ,2.569e+06   ,3000  ,3000  ,-15
38  ,2.591e+06   ,3000  ,3200  ,-15
39  ,2.580e+06   ,3000  ,3400  ,-15
40  ,2.581e+06   ,3000  ,3600  ,-15
41  ,2.560e+06   ,3000  ,3800  ,-15
42  ,2.597e+06   ,3000  ,4000  ,-15
43  ,2.593e+06   ,3000  ,4200  ,-15
44  ,2.583e+06   ,3000  ,4400  ,-15
45  ,2.591e+06   ,3000  ,4600  ,-15
46  ,2.594e+06   ,3000  ,4800  ,-15
47  ,2.556e+06   ,3000  ,5000  ,-15
48  ,2.608e+06   ,3000  ,5200  ,-15
49  ,2.577e+06   ,3000  ,5400  ,-15
50  ,2.560e+06   ,3000  ,5600  ,-15
51  ,2.596e+06   ,3000  ,5800  ,-15
52  ,2.567e+06   ,3000  ,6000  ,-15
53  ,2.580e+06   ,3000  ,6200  ,-15
54  ,2.575e+06   ,3000  ,6400  ,-15
55  ,2.603e+06   ,3000  ,6600  ,-15
56  ,2.591e+06   ,3000  ,6800  ,-15
57  ,2.572e+06   ,3000  ,7000  ,-15
58  ,2.583e+06   ,3000  ,7200  ,-15
59  ,2.567e+06   ,3000  ,7400  ,-15
60  ,2.577e+06   ,3000  ,7600  ,-15
61  ,2.564e+06   ,3000  ,7800  ,-15
62  ,2.546e+06   ,3000  ,8000  ,-15
63  ,2.521e+06   ,3000  ,8200  ,-15
64  ,2.543e+06   ,3000  ,8400  ,-15
65  ,2.508e+06   ,3000  ,8600  ,-15
66  ,2.478e+06   ,3000  ,8800  ,-15
67  ,2.430e+06   ,3000  ,9000  ,-15
68  ,2.336e+06   ,3000  ,9200  ,-15
69  ,2.234e+06   ,3000  ,9400  ,-15
70  ,1.995e+06   ,3000  ,9600  ,-15
71  ,1.752e+06   ,3000  ,9800  ,-15
72  ,2.724e+06   ,1714.3  ,0  ,-15
73  ,2.734e+06   ,1928.6  ,0  ,-15
74  ,2.777e+06   ,2142.9  ,0  ,-15
75  ,2.747e+06   ,2357.1  ,0  ,-15
76  ,2.529e+06   ,2571.4  ,0  ,-15
77  ,1.948e+06   ,2785.7  ,0  ,-15
78  ,1.753e+06   ,-1.1776E-12  ,200  ,-15
79  ,2.162e+06   ,-1.1776E-12  ,400  ,-15
80  ,2.304e+06   ,-1.1776E-12  ,600  ,-15
81  ,2.401e+06   ,-1.1776E-12  ,800  ,-15
82  ,2.472e+06   ,-1.1776E-12  ,1000  ,-15
83  ,2.510e+06   ,-1.1776E-12  ,1200  ,-15
84  ,2.537e+06   ,-1.1776E-12  ,1400  ,-15
85  ,2.533e+06   ,-1.1776E-12  ,1600  ,-15
86  ,2.564e+06   ,-1.1776E-12  ,1800  ,-15
87  ,2.565e+06   ,-1.1776E-12  ,2000  ,-15
88  ,2.555e+06   ,-1.1776E-12  ,2200  ,-15
89  ,2.579e+06   ,-1.1776E-12  ,2400  ,-15
90  ,2.554e+06   ,-1.1776E-12  ,2600  ,-15
91  ,2.587e+06   ,-1.1776E-12  ,2800  ,-15
92  ,2.584e+06   ,-1.1776E-12  ,3000  ,-15
93  ,2.590e+06   ,-1.1776E-12  ,3200  ,-15
94  ,2.569e+06   ,-1.1776E-12  ,3400  ,-15
95  ,2.586e+06   ,-1.1776E-12  ,3600  ,-15
96  ,2.600e+06   ,-1.1776E-12  ,3800  ,-15
97  ,2.578e+06   ,-1.1776E-12  ,4000  ,-15
98  ,2.587e+06   ,-1.1776E-12  ,4200  ,-15
99  ,2.578e+06   ,-1.1776E-12  ,4400  ,-15
100  ,2.554e+06   ,-1.1776E-12  ,4600  ,-15
101  ,2.588e+06   ,-1.1776E-12  ,4800  ,-15
102  ,2.585e+06   ,-1.1776E-12  ,5000  ,-15
103  ,2.546e+06   ,-1.1776E-12  ,5200  ,-15
104  ,2.576e+06   ,-1.1776E-12  ,5400  ,-15
105  ,2.590e+06   ,-1.1776E-12  ,5600  ,-15
106  ,2.574e+06   ,-1.1776E-12  ,5800  ,-15
107  ,2.559e+06   ,-1.1776E-12  ,6000  ,-15
108  ,2.587e+06   ,-1.1776E-12  ,6200  ,-15
109  ,2.584e+06   ,-1.1776E-12  ,6400  ,-15
110  ,2.553e+06   ,-1.1776E-12  ,6600  ,-15
111  ,2.588e+06   ,-1.1776E-12  ,6800  ,-15
112  ,2.573e+06   ,-1.1776E-12  ,7000  ,-15
113  ,2.541e+06   ,-1.1776E-12  ,7200  ,-15
114  ,2.583e+06   ,-1.1776E-12  ,7400  ,-15
115  ,2.575e+06   ,-1.1776E-12  ,7600  ,-15
116  ,2.554e+06   ,-1.1776E-12  ,7800  ,-15
117  ,2.540e+06   ,-1.1776E-12  ,8000  ,-15
118  ,2.553e+06   ,-1.1776E-12  ,8200  ,-15
119  ,2.531e+06   ,-1.1776E-12  ,8400  ,-15
120  ,2.517e+06   ,-1.1776E-12  ,8600  ,-15
121  ,2.493e+06   ,-1.1776E-12  ,8800  ,-15
122  ,2.418e+06   ,-1.1776E-12  ,9000  ,-15
123  ,2.385e+06   ,-1.1776E-12  ,9200  ,-15
124  ,2.236e+06   ,-1.1776E-12  ,9400  ,-15
125  ,2.100e+06   ,-1.1776E-12  ,9600  ,-15
126  ,1.782e+06   ,-1.1776E-12  ,9800  ,-15
127  ,1.876e+06   ,200  ,10000  ,-15
128  ,2.554e+06   ,400  ,10000  ,-15
129  ,2.751e+06   ,600  ,10000  ,-15
130  ,2.815e+06   ,800  ,10000  ,-15
131  ,2.776e+06   ,1000  ,10000  ,-15
132  ,2.716e+06   ,1200  ,10000  ,-15
133  ,2.723e+06   ,1400  ,10000  ,-15
134  ,2.722e+06   ,1600  ,10000  ,-15
135  ,2.745e+06   ,1800  ,10000  ,-15
136  ,2.773e+06   ,2000  ,10000  ,-15
137  ,2.791e+06   ,2200  ,10000  ,-15
138  ,2.705e+06   ,2400  ,10000  ,-15
139  ,2.454e+06   ,2600  ,10000  ,-15
140  ,1.898e+06   ,2800  ,10000  ,-15
141  ,2.169e+06   ,2813.7  ,312.27  ,-15
142  ,2.347e+06   ,2812.6  ,492.89  ,-15
143  ,2.429e+06   ,2826.8  ,700  ,-15
144  ,2.524e+06   ,2826.8  ,900  ,-15
145  ,2.564e+06   ,2826.8  ,1100  ,-15
146  ,2.582e+06   ,2826.8  ,1300  ,-15
147  ,2.609e+06   ,2826.8  ,1500  ,-15
148  ,2.640e+06   ,173.21  ,2300  ,-15
149  ,2.646e+06   ,173.21  ,2500  ,-15
150  ,2.651e+06   ,173.21  ,2700  ,-15
151  ,2.664e+06   ,173.21  ,2900  ,-15
152  ,2.646e+06   ,173.21  ,3100  ,-15
153  ,2.667e+06   ,173.21  ,3300  ,-15
154  ,2.665e+06   ,173.21  ,3500  ,-15
155  ,2.659e+06   ,173.21  ,3700  ,-15
156  ,2.654e+06   ,173.21  ,3900  ,-15
157  ,2.659e+06   ,173.21  ,4100  ,-15
158  ,2.656e+06   ,173.21  ,4500  ,-15
159  ,2.670e+06   ,2826.8  ,4700  ,-15
160  ,2.651e+06   ,173.21  ,4700  ,-15
161  ,2.664e+06   ,173.21  ,4900  ,-15
162  ,2.664e+06   ,2826.8  ,5300  ,-15
163  ,2.656e+06   ,173.21  ,5300  ,-15
164  ,2.644e+06   ,173.21  ,5700  ,-15
165  ,2.651e+06   ,2826.8  ,5900  ,-15
166  ,2.653e+06   ,173.21  ,5900  ,-15
167  ,2.652e+06   ,2826.8  ,6300  ,-15
168  ,2.652e+06   ,173.21  ,6500  ,-15
169  ,2.651e+06   ,173.21  ,6900  ,-15
170  ,2.657e+06   ,173.21  ,7100  ,-15
171  ,2.649e+06   ,2826.8  ,7300  ,-15
172  ,2.650e+06   ,173.21  ,7300  ,-15
173  ,2.641e+06   ,173.21  ,7500  ,-15
174  ,2.649e+06   ,173.21  ,7700  ,-15
175  ,2.642e+06   ,173.21  ,7900  ,-15
176  ,2.632e+06   ,173.21  ,8100  ,-15
177  ,2.632e+06   ,173.21  ,8300  ,-15
178  ,2.612e+06   ,173.21  ,8500  ,-15
179  ,2.815e+06   ,1300  ,9826.8  ,-15
180  ,2.856e+06   ,700  ,9826.8  ,-15
181  ,2.688e+06   ,491.39  ,9816.8  ,-15
182  ,2.360e+06   ,173.21  ,9500  ,-15
183  ,2.226e+06   ,277.99  ,9823.5  ,-15
184  ,2.739e+06   ,1607.1  ,170.09  ,-15
185  ,2.830e+06   ,1821.4  ,170.09  ,-15
186  ,2.848e+06   ,2035.7  ,170.09  ,-15
187  ,2.859e+06   ,2250  ,170.09  ,-15
188  ,2.717e+06   ,2465.3  ,171.46  ,-15
189  ,2.300e+06   ,2678.6  ,170.09  ,-15
190  ,2.663e+06   ,2826.8  ,6500  ,-15
191  ,2.649e+06   ,2826.8  ,2300  ,-15
192  ,2.637e+06   ,2826.8  ,2100  ,-15
193  ,2.152e+06   ,186.31  ,312.27  ,-15
194  ,2.650e+06   ,2826.8  ,1900  ,-15
195  ,2.347e+06   ,187.42  ,492.89  ,-15
196  ,2.421e+06   ,173.21  ,700  ,-15
197  ,2.484e+06   ,173.21  ,900  ,-15
198  ,2.619e+06   ,2826.8  ,1700  ,-15
199  ,2.417e+06   ,321.43  ,170.09  ,-15
200  ,2.809e+06   ,1178.6  ,170.09  ,-15
201  ,2.692e+06   ,534.76  ,171.49  ,-15
202  ,2.786e+06   ,750  ,170.09  ,-15
203  ,2.758e+06   ,1392.9  ,170.09  ,-15
204  ,2.815e+06   ,964.29  ,170.09  ,-15
205  ,2.560e+06   ,173.21  ,1100  ,-15
206  ,2.592e+06   ,173.21  ,1300  ,-15
207  ,2.616e+06   ,173.21  ,1500  ,-15
208  ,2.615e+06   ,173.21  ,1700  ,-15
209  ,2.627e+06   ,173.21  ,1900  ,-15
210  ,2.635e+06   ,173.21  ,2100  ,-15
211  ,2.656e+06   ,2826.8  ,2500  ,-15
212  ,2.660e+06   ,2826.8  ,2700  ,-15
213  ,2.663e+06   ,2826.8  ,2900  ,-15
214  ,2.649e+06   ,2826.8  ,3100  ,-15
